Hybridization REF	TCGA-B6-A0IQ-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.08516666666667
CREB3L1	-0.4015
RPS11	1.1135
PNMA1	-0.19025
MMP2	-1.30483333333333
C10orf90	-1.67475
ZHX3	-0.464333333333333
ERCC5	-0.30425
GPR98	-1.582625
RXFP3	0.55
APBB2	-0.29875
PRO0478	-0.943875
KLHL13	2.84325
PRSSL1	-1.0785
PDCL3	0.387
DECR1	-0.814375
SALL1	-3.70666666666667
CADM4	1.0525
RPS18	0.958928571428571
HNRPD	-0.285666666666667
CFHR5	0.3175
SLC10A7	0.011375
OR2K2	-0.3385
LMAN1	-0.954625
SUHW1	-2.22725
CHD8	-0.0371
SUMO1	0.7791
GP1BA	0.8883
DDB1	-0.161833333333333
MYO9B	-0.0795
MMP7	7.902
CRNKL1	0.243375
C9orf45	0.2475
XAB2	-0.010125
RTN1	1.42975
KLHL14	-0.9265
TBX10	-0.421
CENPQ	-0.1775
UTY	-1.02676923076923
ZBTB12	-0.411
DTNBP1	0.112875
KBTBD8	-1.391
ZEB1	-1.16283333333333
ZG16	-1.60225
MIER1	0.207
ADAM5P	0.9125
CHD9	-0.138875
STK16	1.1015
KIAA1486	-0.08
TOB2	0.493916666666667
BANK1	1.31925
OR2V2	-0.303
GRM2	-0.0346666666666667
PROSC	-0.948125
SPIN2B	0.40675
PIR	-1.54877777777778
IPO9	0.0981
EVC	0.560833333333333
CXCL13	5.33233333333333
KIAA1199	-0.6811
SORL1	-0.56475
NAT10	0.19675
CHD1	-0.1715
SYN3	-0.777
SLC22A2	-1.0635
SERPINF1	-1.2355
WDR34	0.508
OR7A17	0.1625
C9orf11	-0.438
RNF216L	-0.6326
LHB	0.2555
STK25	0.4205
TAOK3	0.369375
LOC152573	-2.09375
C3orf39	0.893125
C14orf108	0.1895
CDC25B	-2.04127272727273
BMP3	-0.117
TMEM180	-0.285
MAP1LC3C	-0.0915
CRYGC	-0.7345
POU3F1	-0.4319
C20orf32	-0.94
CCDC95	0.3495
HIGD1B	3.05225
USP6NL	1.966875
ABCD4	-0.466666666666667
DIMT1L	-1.36058333333333
TEK	0.557625
SLC25A46	-0.8075
LARP7	-1.3153
CD160	0.168
MT1JP	-0.629166666666667
PHF20	-0.4244375
CPNE4	-1.329
GTPBP1	-0.256785714285714
RAB33B	-0.0773333333333334
ALDOC	-1.698875
ZNF212	0.73925
NUDT1	-0.390666666666667
RFPL2	-0.77425
ZNF83	0.100833333333333
GDPD5	-0.669125
PDCD4	1.2902
CEP350	0.35725
OR10A2	0.00500000000000002
CST7	0.7905
CIAO1	-0.3445
SELL	0.586375
OR8J3	0.2655
LTBP4	-0.496
SIRT6	0.86175
CCL19	5.1685
PPIL1	-0.841166666666667
GBP7	0.4515
STK17A	-0.5869
ABR	-0.06625
OR9G1	0.5105
FOXE1	-0.602375
CNGA3	-0.448
GML	-0.1195
CD38	-0.4135
ZDHHC6	-0.290833333333333
NEFH	-2.6665
CTDSP2	0.526833333333333
PGBD5	-1.945
CCNY	0.587071428571429
RMND5B	-0.872583333333333
ZNF257	-1.7635
FLJ22167	-0.5085
EXOSC7	-0.742166666666667
ROR2	0.0135
MAOA	-1.76225
TNNT3	0.371
GYPC	-1.1285
C7orf33	0.125
PLIN	0.283333333333333
LOC90826	-0.5095
RNF4	-0.4159
F8A1	0.434666666666667
PLEKHG4	-0.252
GRB2	-0.389
HIST1H2AD	-0.288
DUS3L	-0.239166666666667
EIF1	-1.044
RP5-1077B9.4	0.560666666666667
FPGT	0.777
GDF10	2.85383333333333
COQ9	-0.47075
GCC2	0.167857142857143
RARRES3	1.703875
PLXNA1	0.1719
KIAA0100	-0.8957
PMF1	0.93775
FNDC1	3.827
HS2ST1	-0.0438333333333333
CRELD2	0.36425
C8G	-0.393
CD82	1.3755
LIM2	-1.45
UNQ6490	0.0585
MMP16	-0.15875
DRD3	0.1585
C5orf26	0.47975
C11orf73	-0.264
PTP4A2	-0.704375
OR4M2	-0.023
HPCA	-0.640333333333333
SEC14L1	-0.966333333333333
CHFR	-0.094375
EMILIN1	0.045375
NDUFS4	-1.411
COL18A1	-0.417
PDZD3	-0.1419
