Hybridization REF	TCGA-AN-A0AL-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.32175
CREB3L1	0.59275
RPS11	-0.073875
PNMA1	-1.23675
MMP2	0.494333333333333
C10orf90	0.5105
ZHX3	-0.431333333333333
ERCC5	0.47325
GPR98	-0.8485
RXFP3	1.002
APBB2	0.8955
PRO0478	-0.49675
KLHL13	-2.95925
PRSSL1	-0.9695
PDCL3	0.498
DECR1	0.588125
SALL1	-2.5145
CADM4	1.68916666666667
RPS18	-0.973
HNRPD	-0.368083333333333
CFHR5	0.8464
SLC10A7	-0.318625
OR2K2	0.708
LMAN1	-0.335375
SUHW1	-3.43225
CHD8	-0.331
SUMO1	1.4748
GP1BA	2.2133
DDB1	-0.652166666666667
MYO9B	0.0127
MMP7	8.15575
CRNKL1	-0.579875
C9orf45	-2.06166666666667
XAB2	-0.429
RTN1	1.48475
KLHL14	-0.809875
TBX10	-0.9295
CENPQ	-0.8175
UTY	-0.901285714285714
ZBTB12	0.3565
DTNBP1	-0.361
KBTBD8	0.218
ZEB1	1.00383333333333
ZG16	-1.75725
MIER1	0.609
ADAM5P	0.389
CHD9	0.0266875
STK16	-0.266
KIAA1486	0.355
TOB2	1.5815
BANK1	3.51125
OR2V2	0.43125
GRM2	0.1975
PROSC	0.701125
SPIN2B	-0.36625
PIR	0.0833333333333333
IPO9	-0.487
EVC	-0.0438333333333333
CXCL13	6.20033333333333
KIAA1199	-0.0021
SORL1	1.9065
NAT10	-0.72925
CHD1	-0.97775
SYN3	-0.4665
SLC22A2	-0.152333333333333
SERPINF1	1.00883333333333
WDR34	0.3785
OR7A17	0.52
C9orf11	-0.275
RNF216L	0.3327
LHB	0.7225
STK25	-0.426875
TAOK3	0.906375
LOC152573	-2.44025
C3orf39	0.0665
C14orf108	0.2946
CDC25B	-0.633909090909091
BMP3	-0.3985
TMEM180	-0.589
MAP1LC3C	0.522333333333333
CRYGC	-1.301
POU3F1	-1.1821
C20orf32	-1.1865
CCDC95	-0.5255
HIGD1B	4.88475
USP6NL	0.421875
ABCD4	-0.4755
DIMT1L	-1.2515
TEK	1.56525
SLC25A46	-0.9675
LARP7	-1.8635
CD160	1.013
MT1JP	0.714333333333333
PHF20	-0.6921875
CPNE4	-1.321
GTPBP1	0.390785714285714
RAB33B	0.459833333333333
ALDOC	-2.352875
ZNF212	-0.29225
NUDT1	0.1545
RFPL2	-1.252
ZNF83	-1.07016666666667
GDPD5	2.335
PDCD4	0.666
CEP350	0.17275
OR10A2	0.22675
CST7	0.94625
CIAO1	-0.23075
SELL	1.277625
OR8J3	1.493
LTBP4	-0.1655
SIRT6	-0.031
CCL19	5.30825
PPIL1	-0.6355
GBP7	0.352666666666667
STK17A	-0.4555
ABR	-0.01825
OR9G1	0.627
FOXE1	-0.422428571428571
CNGA3	-0.7485
GML	0.4585
CD38	0.7875
ZDHHC6	0.289166666666667
NEFH	-2.376
CTDSP2	-0.089
PGBD5	-2.35483333333333
CCNY	0.0924285714285714
RMND5B	-0.700083333333333
ZNF257	-2.20825
FLJ22167	-1.29271428571429
EXOSC7	-1.28533333333333
ROR2	0.977
MAOA	-0.967375
TNNT3	0.443166666666667
GYPC	-0.61575
C7orf33	-0.447
PLIN	0.378333333333333
LOC90826	-0.741
RNF4	0.0692
F8A1	1.04316666666667
PLEKHG4	-1.76
GRB2	0.4226
HIST1H2AD	0.37825
DUS3L	-1.20233333333333
EIF1	-0.262
RP5-1077B9.4	-0.972166666666667
FPGT	0.4075
GDF10	-0.451166666666667
COQ9	0.3945
GCC2	0.0577857142857143
RARRES3	2.216
PLXNA1	-0.2082
KIAA0100	-0.959
PMF1	-0.4955
FNDC1	5.5505
HS2ST1	1.14283333333333
CRELD2	0.375
C8G	-1.6135
CD82	2.95425
LIM2	-0.643
UNQ6490	0.8805
MMP16	-0.17325
DRD3	0.420333333333333
C5orf26	-2.46525
C11orf73	0.340125
PTP4A2	0.977125
OR4M2	0.563
HPCA	-0.292833333333333
SEC14L1	-0.497
CHFR	-0.48575
EMILIN1	1.489625
NDUFS4	-1.10625
COL18A1	0.879125
PDZD3	0.4631
C9orf16	0.125166666666667
ERBB2IP	-0.112666666666667
EMX2	1.70025
FUS	-1.337
TF	-1.2635
CLCN4	1.75083333333333
CXorf56	-0.12625
C11orf72	0.32075
ELAC2	-0.8635
NPR1	0.22125
ASS1	0.0373333333333333
USP42	0.833125
POLR2J	-1.581
SEC23IP	0.882833333333333
UQCRC1	-0.13975
LOC729603	0.09775
C1orf71	-0.21425
POLG	-1.5445
ADAM23	-2.608
TFR2	-0.7515
RICTOR	-1.7183
MGC39606	0.39375
C19orf55	-0.31475
SNAPC1	-0.1435
GNA11	0.827875
CCDC52	-0.607666666666667
FSIP1	-1.084
UPF3A	-0.522
IGSF11	-2.7585
LAGE3	0.4145
CHST6	0.504
UNC13B	0.839125
TTLL4	-0.196625
ZNF687	0.296875
SDC2	0.2637
COX7A2	0.40175
LAMB4	-0.2875
FAM24A	0.8395
LRRTM3	-0.3328
GPHB5	-0.00550000000000002
OR4C13	0.1065
EIF3EIP	0.642571428571429
HABP4	-0.062
TMEM125	4.469
CNTN2	-0.305125
ASNSD1	0.753
FUT4	0.69425
ACF	-3.031
LOC158381	-0.877
CDH8	-0.45375
AGPS	0.986
C4orf18	1.931375
PECI	-1.85241666666667
UNG	-0.624875
GSTP1	-1.003
DCUN1D5	-0.575333333333333
DKFZP564J0863	0.1495
SLC9A3R1	-0.276375
BCDO2	-0.717125
CHMP7	0.30525
REM2	0.953
DNHD1	-0.855142857142857
FKBP4	-0.98875
ZNF350	1.0105
MGC11102	0.874375
BST1	2.66325
KISS1R	2.2865
NCR2	0.8605
DEFB125	0.1155
UBE2W	1.0865
KRT15	-0.119375
C10orf99	0.5445
SCN11A	-0.018375
GFI1	-1.64225
RDHE2	-0.109666666666667
FHL1	-1.40866666666667
OSGEP	-0.4635
GATA1	-3.0695
SMC6	-0.2405
TTTY14	-0.93525
LPIN3	0.40775
RPL4	-0.9327
RBPMS	0.0732
PRPF3	0.0361666666666667
EMR1	-2.2995
SPATA19	0.35
XCR1	0.445
IRX3	2.0441
RBM6	-1.3295
KLF4	-0.4819
UNC5CL	-1.55575
SEBOX	-0.3355
BTK	-0.38925
KRCC1	1.287
C6orf27	0.747
SYTL5	-0.966
PRND	2.75316666666667
LOC653319	-1.451
PIGL	-2.489125
HUS1	0.662
SFRS6	-0.39875
C17orf77	0.909
UIMC1	-1.08233333333333
FXYD2	-1.6767
LOC283152	-0.00725000000000001
ZNF667	-0.87975
ZCCHC12	-0.51425
TFEC	2.1013
ATP7B	-1.94166666666667
POLD2	-1.2885
RG9MTD1	-0.3315
ACOT2	-0.390333333333333
HIST1H4I	-0.655
PPARGC1A	2.0931
ETFA	-0.7506
POLRMT	-0.855
ZNF146	0.05825
MIA2	-0.796
KLHL6	0.445
HOXB5	-0.263
NENF	0.00583333333333333
CUGBP1	0.90625
PRSS22	2.18116666666667
CASC4	2.0854
CUL4B	0.1178
CENPJ	-0.8081
PITX1	0.2415
FLJ31033	-0.0908333333333333
CELSR3	-2.46533333333333
ZNF568	-0.1135
ITSN1	-0.237
EHBP1L1	-0.288666666666667
C19orf2	-0.641
DCTN1	-0.29275
LIN28B	-2.33833333333333
TNKS2	-1.369
C1QBP	-0.955125
CADPS2	2.475
SRMS	0.94325
GJA9	0.444333333333333
MGC24975	-1.6725
TRIM45	-0.7515
TSP50	-0.343
