Hybridization REF	TCGA-E2-A15F-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.2285
CREB3L1	0.0855
RPS11	1.413
PNMA1	0.11075
MMP2	-0.783333333333333
C10orf90	-2.338
ZHX3	-0.898
ERCC5	-0.022
GPR98	-1.622
RXFP3	-0.073
APBB2	1.606
PRO0478	-0.9895
KLHL13	-1.92375
PRSSL1	-0.834166666666667
PDCL3	0.859666666666667
DECR1	0.1075
SALL1	1.289
CADM4	0.596333333333333
RPS18	-0.62
HNRPD	-0.319166666666667
CFHR5	1
SLC10A7	0.674875
OR2K2	0.36
LMAN1	-0.48675
SUHW1	-3.64525
CHD8	-0.5442
SUMO1	1.5585
GP1BA	1.5781
DDB1	-0.210833333333333
MYO9B	-0.7957
MMP7	6.56225
CRNKL1	0.9585
C9orf45	-1.41683333333333
XAB2	0.451125
RTN1	1.392875
KLHL14	-0.477375
TBX10	-1.5475
CENPQ	-1.13125
UTY	-1.77214285714286
ZBTB12	0.697
DTNBP1	0.114125
KBTBD8	-0.4365
ZEB1	-2.46533333333333
ZG16	-0.799
MIER1	-0.0345
ADAM5P	-0.7915
CHD9	-1.015375
STK16	0.30975
KIAA1486	-0.116
TOB2	-0.17375
BANK1	5.1185
OR2V2	-0.19025
GRM2	-0.187166666666667
PROSC	2.172375
SPIN2B	0.933
PIR	-1.00355555555556
IPO9	-0.9016
EVC	1.40716666666667
CXCL13	6.49816666666667
KIAA1199	-0.807888888888889
SORL1	0.07825
NAT10	-0.402
CHD1	-0.202
SYN3	-1.05175
SLC22A2	-0.801
SERPINF1	-0.217333333333333
WDR34	-1.101
OR7A17	0.56175
C9orf11	-0.0205
RNF216L	-0.2265
LHB	0.372
STK25	-0.814625
TAOK3	0.596625
LOC152573	-3.388
C3orf39	0.946125
C14orf108	0.6747
CDC25B	-1.56018181818182
BMP3	2.6
TMEM180	-0.396
MAP1LC3C	0.00724999999999998
CRYGC	-0.972
POU3F1	-1.2481
C20orf32	-1.668
CCDC95	-0.771
HIGD1B	3.749
USP6NL	-0.075
ABCD4	-1.21366666666667
DIMT1L	0.156666666666667
TEK	1.95025
SLC25A46	-0.10175
LARP7	-0.713
CD160	0.6495
MT1JP	0.707833333333333
PHF20	0.7575
CPNE4	-2.253
GTPBP1	-0.273785714285714
RAB33B	0.9425
ALDOC	-2.204125
ZNF212	0.2955
NUDT1	-0.275833333333333
RFPL2	-1.50125
ZNF83	0.812333333333333
GDPD5	-1.7125
PDCD4	2.39845
CEP350	-0.22875
OR10A2	0.44475
CST7	0.667
CIAO1	-0.484
SELL	2.2165
OR8J3	0.676
LTBP4	-0.784833333333333
SIRT6	-0.22875
CCL19	4.46575
PPIL1	-0.797333333333333
GBP7	0.604666666666667
STK17A	-1.1368
ABR	0.86625
OR9G1	-0.6085
FOXE1	-1.13025
CNGA3	0.601
GML	0.485
CD38	-1.90075
ZDHHC6	-0.119
NEFH	-1.41475
CTDSP2	0.2905
PGBD5	1.5845
CCNY	-0.0478571428571429
RMND5B	0.80525
ZNF257	-1.1205
FLJ22167	-0.923875
EXOSC7	0.2215
ROR2	0.860375
MAOA	3.226
