Hybridization REF	TCGA-B6-A0X4-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.159333333333333
CREB3L1	2.13725
RPS11	0.753625
PNMA1	0.59275
MMP2	-1.205
C10orf90	-2.3425
ZHX3	0.0548333333333333
ERCC5	0.53225
GPR98	0.665375
RXFP3	0.4005
APBB2	1.70475
PRO0478	-0.38975
KLHL13	-1.8645
PRSSL1	-0.537833333333333
PDCL3	-0.0296666666666667
DECR1	-0.290875
SALL1	-3.9065
CADM4	1.443
RPS18	0.578928571428571
HNRPD	-0.838583333333333
CFHR5	0.109666666666667
SLC10A7	-0.079375
OR2K2	0.1025
LMAN1	-0.640625
SUHW1	-2.84575
CHD8	-0.2248
SUMO1	0.0449
GP1BA	0.1111
DDB1	0.201833333333333
MYO9B	-0.542
MMP7	3.5925
CRNKL1	0.34
C9orf45	-0.187166666666667
XAB2	0.4855
RTN1	0.374875
KLHL14	-1.495625
TBX10	-0.414
CENPQ	-1.7535
UTY	-0.845
ZBTB12	0.2025
DTNBP1	-0.167
KBTBD8	-2.049
ZEB1	-1.48133333333333
ZG16	-1.219
MIER1	0.357
ADAM5P	0.4745
CHD9	0.114625
STK16	0.973
KIAA1486	0.0795
TOB2	0.462416666666667
BANK1	0.90425
OR2V2	0.186
GRM2	0.084
PROSC	0.490125
SPIN2B	0.18775
PIR	-3.14411111111111
IPO9	-0.3396
EVC	-0.631666666666667
CXCL13	0.262333333333333
KIAA1199	-1.5431
SORL1	0.70375
NAT10	-0.385
CHD1	-0.64575
SYN3	-0.43175
SLC22A2	-0.317
SERPINF1	-2.22866666666667
WDR34	-0.26575
OR7A17	0.398
C9orf11	-0.286
RNF216L	-0.4391
LHB	1.765
STK25	-0.406125
TAOK3	0.09175
LOC152573	-2.95225
C3orf39	0.736875
C14orf108	-0.0773
CDC25B	-1.37172727272727
BMP3	0.257
TMEM180	0.168
MAP1LC3C	-0.381
CRYGC	-0.2575
POU3F1	-0.9693
C20orf32	-1.0045
CCDC95	-0.199
HIGD1B	3.53675
USP6NL	-1.055
ABCD4	-0.6225
DIMT1L	-0.364583333333333
TEK	-0.51625
SLC25A46	-0.668
LARP7	-1.5606
CD160	0.0451666666666667
MT1JP	-0.391833333333333
PHF20	-0.31075
CPNE4	0.9025
GTPBP1	0.4335
RAB33B	0.841333333333333
ALDOC	0.073
ZNF212	-0.20125
NUDT1	-1.71816666666667
RFPL2	-1.23125
ZNF83	-0.0115
GDPD5	-0.6585
PDCD4	1.46385
CEP350	0.30475
OR10A2	0.46875
CST7	-1.46675
CIAO1	-0.99975
SELL	-0.225625
OR8J3	0.1145
LTBP4	-0.1855
SIRT6	0.03725
CCL19	1.19875
PPIL1	-1.10216666666667
GBP7	0.111333333333333
STK17A	-1.7834
ABR	1.08775
OR9G1	0.141
FOXE1	-0.43175
CNGA3	1.097
GML	0.152
CD38	-3.584
