Hybridization REF	TCGA-A8-A08Z-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.486166666666667
CREB3L1	1.355
RPS11	0.331625
PNMA1	0.8105
MMP2	1.814
C10orf90	-2.36
ZHX3	-0.232
ERCC5	0.1375
GPR98	0.817625
RXFP3	0.195
APBB2	1.01625
PRO0478	-0.743
KLHL13	-1.03625
PRSSL1	-1.3155
PDCL3	0.392166666666667
DECR1	-0.319875
SALL1	-2.419
CADM4	0.905666666666667
RPS18	-0.150571428571429
HNRPD	-0.631083333333333
CFHR5	0.134833333333333
SLC10A7	0.067375
OR2K2	0.604
LMAN1	-0.968375
SUHW1	-3.95325
CHD8	-0.0027
SUMO1	0.2608
GP1BA	0.0235
DDB1	-0.0706666666666667
MYO9B	0.3527
MMP7	7.02925
CRNKL1	0.594
C9orf45	-0.529833333333333
XAB2	-0.123375
RTN1	2.250875
KLHL14	-0.95775
TBX10	-1.6985
CENPQ	-1.50725
UTY	-1.48721428571429
ZBTB12	-0.3535
DTNBP1	-0.17825
KBTBD8	-0.1465
ZEB1	1.60283333333333
ZG16	-1.88525
MIER1	0.5129
ADAM5P	0.051
CHD9	-0.102
STK16	0.29325
KIAA1486	-1.122
TOB2	0.555333333333333
BANK1	2.01425
OR2V2	0.28575
GRM2	-0.0288333333333333
PROSC	0.622875
SPIN2B	0.124
PIR	-3.00633333333333
IPO9	0.1906
EVC	1.78266666666667
CXCL13	2.559
KIAA1199	0.9255
SORL1	1.76125
NAT10	0.08175
CHD1	-0.72175
SYN3	-0.75725
SLC22A2	-0.11225
SERPINF1	2.2685
WDR34	-0.36075
OR7A17	0.55625
C9orf11	-0.8435
RNF216L	-0.8324
LHB	-0.184
STK25	0.247
TAOK3	1.11575
LOC152573	-2.90575
C3orf39	0.648625
C14orf108	0.2075
CDC25B	-1.80818181818182
BMP3	0.798
TMEM180	0.1355
MAP1LC3C	0.4955
CRYGC	-0.5605
POU3F1	-1.2156
C20orf32	-1.4835
CCDC95	-0.2175
HIGD1B	4.3655
USP6NL	-0.2475
ABCD4	-0.527166666666667
DIMT1L	-0.7125
TEK	1.237875
SLC25A46	-0.50525
LARP7	-1.3953
CD160	0.154166666666667
MT1JP	-0.332333333333333
PHF20	0.435375
CPNE4	-1.9025
GTPBP1	-0.989285714285714
RAB33B	1.05366666666667
ALDOC	-2.16375
ZNF212	-0.20625
NUDT1	-1.52566666666667
RFPL2	-1.402
ZNF83	0.39
GDPD5	-0.911375
PDCD4	1.91675
CEP350	0.9255
OR10A2	0.28475
CST7	0.84
CIAO1	-0.9095
SELL	0.60725
OR8J3	0.161
LTBP4	-0.288333333333333
SIRT6	-0.2045
CCL19	2.24175
PPIL1	-1.37133333333333
GBP7	0.512166666666667
STK17A	-0.6351
ABR	0.676
OR9G1	-0.1225
FOXE1	-1.03525
CNGA3	0.5175
GML	0.2665
CD38	-3.66875
ZDHHC6	0.256
NEFH	-2.36775
CTDSP2	1.454
PGBD5	-0.623166666666667
CCNY	0.941
RMND5B	0.458083333333333
ZNF257	-0.517
FLJ22167	0.55175
EXOSC7	-0.5815
ROR2	2.8895
MAOA	-0.886875
TNNT3	1.20533333333333
GYPC	-0.4515
C7orf33	0.6315
PLIN	1.06833333333333
LOC90826	-0.27625
RNF4	-0.1548
F8A1	0.457333333333333
PLEKHG4	-0.59825
GRB2	0.5984
HIST1H2AD	-0.21425
DUS3L	-0.762833333333333
EIF1	0.0418333333333333
RP5-1077B9.4	-1.04583333333333
FPGT	1.6735
GDF10	0.2065
COQ9	-0.38375
GCC2	-0.258428571428571
RARRES3	3.020875
PLXNA1	0.0398
KIAA0100	-0.0408
PMF1	0.23525
FNDC1	5.8665
HS2ST1	0.0595833333333333
CRELD2	0.3495
C8G	-1.8305
CD82	1.36
LIM2	-1.4075
UNQ6490	-0.355
MMP16	0.12475
DRD3	0.35225
C5orf26	-0.67325
C11orf73	-0.383375
PTP4A2	1.157375
OR4M2	0.1465
HPCA	-1.344
SEC14L1	-0.229666666666667
CHFR	0.385125
EMILIN1	1.587875
NDUFS4	-0.3075
COL18A1	0.527875
PDZD3	0.1875
C9orf16	-0.722666666666667
ERBB2IP	0.0561666666666667
EMX2	4.63675
FUS	-0.57025
TF	-3.8214
CLCN4	0.0508333333333333
CXorf56	0.4575
C11orf72	0.163
ELAC2	-0.0985833333333333
NPR1	-0.9565
ASS1	-2.69283333333333
USP42	-0.162625
POLR2J	-0.851
SEC23IP	0.8355
UQCRC1	-0.12825
LOC729603	-0.2155
C1orf71	0.513
POLG	-2.0515
ADAM23	-3.058
TFR2	-1.667
RICTOR	-0.8159
MGC39606	0.32875
C19orf55	-0.045375
SNAPC1	-0.888166666666666
GNA11	1.166
CCDC52	0.386333333333333
FSIP1	5.044
UPF3A	0.298875
IGSF11	-1.76533333333333
LAGE3	0.4915
CHST6	-0.884
UNC13B	1.513375
TTLL4	-0.586375
ZNF687	0.199125
SDC2	1.4322
COX7A2	-0.582
LAMB4	-0.04575
FAM24A	0.3455
LRRTM3	-0.411666666666667
GPHB5	0.03025
OR4C13	0.276
EIF3EIP	-0.1015
HABP4	0.4425
TMEM125	3.13075
CNTN2	-0.339375
ASNSD1	-0.09225
FUT4	0.84025
ACF	-3.92075
LOC158381	0.415
CDH8	1.64875
AGPS	-0.384166666666667
C4orf18	3.171125
PECI	-0.706666666666667
UNG	-0.296
GSTP1	-1.512125
DCUN1D5	-1.02666666666667
DKFZP564J0863	-0.8065
SLC9A3R1	0.559375
BCDO2	-0.333875
CHMP7	-0.032625
REM2	2.66
DNHD1	-0.73025
FKBP4	-0.8175
ZNF350	1.6075
MGC11102	-0.37025
BST1	1.9025
KISS1R	0.4965
NCR2	0.4135
DEFB125	-0.274
UBE2W	1.109125
KRT15	1.508125
C10orf99	0.3825
SCN11A	-0.16175
GFI1	-2.4885
RDHE2	2.51066666666667
FHL1	0.4215
OSGEP	-0.00633333333333333
GATA1	-3.53316666666667
SMC6	-0.5995
TTTY14	-1.4965
LPIN3	-0.212
RPL4	0.2326
RBPMS	0.9919
PRPF3	-0.2675
EMR1	-1.922
SPATA19	0.08725
XCR1	0.766
IRX3	1.3399
RBM6	-0.022
KLF4	-0.66
UNC5CL	-0.5345
SEBOX	0.243
BTK	0.6175
KRCC1	1.0135
C6orf27	0.471
SYTL5	0.049
PRND	1.789875
LOC653319	-1.3595
PIGL	-1.610125
HUS1	-0.141166666666667
SFRS6	0.857833333333333
C17orf77	0.1425
UIMC1	-0.460333333333333
FXYD2	-1.88
LOC283152	1.96
ZNF667	-0.31975
ZCCHC12	-0.92525
TFEC	3.8419
ATP7B	0.770833333333333
POLD2	-0.794333333333333
RG9MTD1	0.28975
ACOT2	0.0085
HIST1H4I	-1.117375
PPARGC1A	-2.1276
ETFA	-1.4566
POLRMT	-0.10625
ZNF146	0.075875
MIA2	-1.5875
KLHL6	0.321833333333333
HOXB5	1.47375
NENF	0.799833333333333
CUGBP1	0.1185
PRSS22	1.1095
CASC4	1.0907
CUL4B	-0.0352
CENPJ	-1.0628
PITX1	-0.140666666666667
FLJ31033	0.5455
CELSR3	-0.647166666666667
ZNF568	0.8475
ITSN1	0.42575
EHBP1L1	-0.203166666666667
C19orf2	-0.383
DCTN1	0.3275
LIN28B	-3.08866666666667
TNKS2	0.46975
C1QBP	0.112875
CADPS2	1.74325
SRMS	0.477
GJA9	0.392666666666667
MGC24975	-0.950833333333333
TRIM45	-0.246333333333333
TSP50	-0.04525
TCP1	-0.79075
TMED7	0.449
CMA1	0.6985
CENPL	-0.718833333333333
PTCRA	0.05
FST	-2.0045
VWCE	-3.86925
PAWR	-0.1665
ABCC12	0.865666666666667
LDLR	-1.2884
ASTN2	2.1951
LOC441212	-0.91525
GPATCH8	-0.01525
TANC2	0.14225
