Hybridization REF	TCGA-A2-A0D1-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.137416666666667
CREB3L1	1.56525
RPS11	0.592625
PNMA1	0.177
MMP2	-0.256333333333333
C10orf90	-2.51175
ZHX3	0.0315
ERCC5	-0.971
GPR98	-2.02325
RXFP3	1.2105
APBB2	2.294
PRO0478	-0.7585
KLHL13	-4.7545
PRSSL1	-0.618333333333333
PDCL3	1.28566666666667
DECR1	0.0915
SALL1	-4.64716666666667
CADM4	1.08566666666667
RPS18	0.713214285714286
HNRPD	-0.375416666666667
CFHR5	0.6982
SLC10A7	0.445714285714286
OR2K2	1.102
LMAN1	-0.207125
SUHW1	-4.51925
CHD8	0.5954
SUMO1	0.8678
GP1BA	0.3909
DDB1	0.0215
MYO9B	0.0499
MMP7	5.5345
CRNKL1	0.5155
C9orf45	-0.1565
XAB2	0.7695
RTN1	0.259875
KLHL14	-0.922625
TBX10	-1.597
CENPQ	-2.30075
UTY	-1.28385714285714
ZBTB12	-0.2385
DTNBP1	-0.2055
KBTBD8	-2.736
ZEB1	0.235666666666667
ZG16	0.448
MIER1	0.421
ADAM5P	0.672
CHD9	0.4600625
STK16	1.19675
KIAA1486	-0.811
TOB2	1.33975
BANK1	0.86575
OR2V2	0.37625
GRM2	0.160166666666667
PROSC	1.4225
SPIN2B	-0.3725
PIR	-1.31855555555556
IPO9	-0.0824
EVC	1.58433333333333
CXCL13	2.854
KIAA1199	-1.0663
SORL1	1.51825
NAT10	-1.379
CHD1	-0.7055
SYN3	-1.09975
SLC22A2	-0.7155
SERPINF1	-0.776
WDR34	0.88225
OR7A17	0.0105
C9orf11	0.0225
RNF216L	-0.643
LHB	-0.106
STK25	0.157625
TAOK3	-0.141625
LOC152573	-3.46
C3orf39	0.07825
C14orf108	0.4182
CDC25B	-1.48436363636364
BMP3	-0.415
TMEM180	0.0435
MAP1LC3C	-0.77325
CRYGC	-0.8425
POU3F1	-1.3849
C20orf32	-1.6475
CCDC95	-0.3115
HIGD1B	4.7285
USP6NL	0.626125
ABCD4	0.2295
DIMT1L	-1.6585
TEK	0.751571428571428
SLC25A46	-1.3335
LARP7	-0.8813
CD160	0.783166666666667
MT1JP	-1.02266666666667
PHF20	0.250375
CPNE4	-2.30633333333333
GTPBP1	-0.0793571428571429
RAB33B	1.42616666666667
ALDOC	-2.903875
ZNF212	0.3915
NUDT1	-0.647166666666667
RFPL2	1.39125
ZNF83	-0.539
