Hybridization REF	TCGA-A1-A0SD-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.507083333333333
CREB3L1	1.4345
RPS11	0.765
PNMA1	0.526
MMP2	1.506
C10orf90	-2.01825
ZHX3	0.0433333333333333
ERCC5	-0.10725
GPR98	0.103125
RXFP3	-0.062
APBB2	1.856
PRO0478	-1.007
KLHL13	-0.85075
PRSSL1	-0.450333333333333
PDCL3	0.0885
DECR1	-0.236
SALL1	-2.73
CADM4	0.481
RPS18	0.238357142857143
HNRPD	-0.206416666666667
CFHR5	0.364166666666667
SLC10A7	0.652875
OR2K2	0.655
LMAN1	-0.597375
SUHW1	-3.5815
CHD8	-0.1353
SUMO1	0.6816
GP1BA	-0.1768
DDB1	-0.8875
MYO9B	-0.5298
MMP7	5.38025
CRNKL1	1.811375
C9orf45	-0.583333333333333
XAB2	0.304
RTN1	1.733
KLHL14	-0.637125
TBX10	-1.032
CENPQ	-1.13375
UTY	-1.36246153846154
ZBTB12	-0.574
DTNBP1	0.22875
KBTBD8	-1.1745
ZEB1	1.12433333333333
ZG16	-1.22675
MIER1	0.7738
ADAM5P	0.556
CHD9	0.2584375
STK16	0.971
KIAA1486	-0.048
TOB2	0.470416666666667
BANK1	4.24225
OR2V2	0.374
GRM2	0.254
PROSC	2.71225
SPIN2B	2.22075
PIR	-2.55277777777778
IPO9	-0.892
EVC	1.433
CXCL13	3.2725
KIAA1199	0.1769
SORL1	0.83825
NAT10	-1.22425
CHD1	-0.182
SYN3	0.19225
SLC22A2	1.07575
SERPINF1	1.55233333333333
WDR34	-0.7335
OR7A17	1.06875
C9orf11	-0.627
RNF216L	-0.0521
LHB	-0.377
STK25	-1.106875
TAOK3	0.90975
LOC152573	-3.664
C3orf39	0.589125
C14orf108	0.5837
CDC25B	-0.659272727272727
BMP3	-0.3495
TMEM180	0.236
MAP1LC3C	1.365
CRYGC	-1.0265
POU3F1	-1.3885
C20orf32	-1.6045
CCDC95	-0.622
HIGD1B	4.66525
USP6NL	0.143
ABCD4	-0.0196666666666667
DIMT1L	-0.436666666666667
TEK	0.825375
SLC25A46	-0.284
LARP7	-1.0614
CD160	-0.8445
MT1JP	0.556
PHF20	0.16225
CPNE4	-1.93225
GTPBP1	-0.166785714285714
RAB33B	1.22466666666667
ALDOC	-1.339125
ZNF212	-0.02175
NUDT1	-0.4815
RFPL2	0.85275
ZNF83	0.488
GDPD5	-1.902875
PDCD4	1.40205
CEP350	0.2885
OR10A2	0.472
CST7	0.506
CIAO1	-1.26625
SELL	1.43825
OR8J3	1.45
LTBP4	-0.3595
SIRT6	-0.5765
CCL19	1.79975
PPIL1	-1.1015
GBP7	-0.579666666666667
STK17A	-0.5817
ABR	-0.00325
OR9G1	-0.5525
FOXE1	-0.37025
CNGA3	1.563
GML	0.8545
CD38	-4.05625
ZDHHC6	0.130333333333333
NEFH	-0.58525
CTDSP2	0.747333333333333
PGBD5	-1.5195
CCNY	-0.0138571428571428
RMND5B	0.19975
ZNF257	-3.25175
FLJ22167	-0.035125
EXOSC7	-0.273833333333333
ROR2	1.182125
MAOA	0.432375
TNNT3	0.6315
GYPC	-1.3555
C7orf33	0.6255
PLIN	1.0295
LOC90826	0.47125
RNF4	0.2982
F8A1	1.00983333333333
PLEKHG4	-0.30675
GRB2	-0.4726
HIST1H2AD	1.748
DUS3L	-1.416
EIF1	-0.0666666666666667
RP5-1077B9.4	-1.3955
FPGT	1.39125
GDF10	-1.4425
COQ9	-0.5585
GCC2	0.933714285714286
RARRES3	2.538125
PLXNA1	-0.3906
KIAA0100	0.1038
PMF1	-0.349
FNDC1	5.7485
HS2ST1	-0.358666666666667
CRELD2	0.578
C8G	-2.1555
CD82	0.96375
LIM2	-1.0785
UNQ6490	0.638
MMP16	-0.24025
DRD3	-0.203
C5orf26	0.39825
C11orf73	-0.483625
PTP4A2	0.823625
OR4M2	0.6745
HPCA	-1.61833333333333
SEC14L1	-0.561
CHFR	-0.74075
EMILIN1	0.957125
NDUFS4	0.4155
COL18A1	0.37825
PDZD3	0.00560000000000002
C9orf16	0.253666666666667
ERBB2IP	-0.0648333333333333
EMX2	3.41175
FUS	-1.7185
TF	-3.9568
CLCN4	-0.263833333333333
CXorf56	2.288
C11orf72	-0.07175
ELAC2	-1.55341666666667
NPR1	-1.6005
ASS1	-3.28733333333333
USP42	-0.261875
POLR2J	-0.9275
SEC23IP	0.626
UQCRC1	-0.672
LOC729603	-0.76475
C1orf71	-0.43375
POLG	-1.797
ADAM23	-3.05225
TFR2	-1.1975
RICTOR	0.024
MGC39606	0.0855
C19orf55	-0.472625
SNAPC1	-1.07966666666667
GNA11	0.04625
CCDC52	-0.3285
FSIP1	2.943
UPF3A	-0.3695
IGSF11	-2.308
LAGE3	-0.148
CHST6	0.304
UNC13B	0.331
TTLL4	-1.96
ZNF687	-0.485375
SDC2	0.5338
COX7A2	-0.9665
LAMB4	-0.3385
FAM24A	-0.6125
LRRTM3	-0.617
GPHB5	0.5405
OR4C13	-1.1845
EIF3EIP	0.125357142857143
HABP4	0.162
TMEM125	3.779
CNTN2	-0.1415
ASNSD1	0.3935
FUT4	-0.9205
ACF	-3.59175
LOC158381	1.333
CDH8	-0.1955
AGPS	-0.338166666666667
C4orf18	4.02125
PECI	-0.180083333333333
UNG	-0.85925
GSTP1	-1.74125
DCUN1D5	-2.0035
DKFZP564J0863	-1.64325
SLC9A3R1	-0.10675
BCDO2	-0.854
CHMP7	-1.287125
REM2	1.584
DNHD1	-0.018125
FKBP4	-1.241125
ZNF350	1.41325
MGC11102	-0.013125
BST1	1.442
KISS1R	-0.001
NCR2	0.1275
DEFB125	-0.253
UBE2W	0.9185
KRT15	1.985
C10orf99	-0.14
SCN11A	0.142875
GFI1	-3.45625
RDHE2	4.7975
FHL1	-0.666666666666667
OSGEP	0.333166666666667
GATA1	-3.65166666666667
SMC6	-0.87325
TTTY14	-1.11725
LPIN3	-0.36425
RPL4	-0.5207
RBPMS	-0.8663
PRPF3	-1.07533333333333
EMR1	-1.7455
SPATA19	0.30175
XCR1	0.5065
IRX3	1.9922
RBM6	-0.91175
KLF4	-1.4762
UNC5CL	1.26575
SEBOX	0.56
BTK	-1.1365
KRCC1	1.911
C6orf27	0.0435
SYTL5	-0.806
PRND	4.08625
LOC653319	-0.573
PIGL	-1.645
HUS1	-0.366666666666667
SFRS6	-0.0864166666666667
C17orf77	0.44
UIMC1	-0.0413333333333333
FXYD2	-2.0395
LOC283152	0.41525
ZNF667	-0.913
ZCCHC12	-0.31125
TFEC	2.243
ATP7B	-0.61
POLD2	-1.21516666666667
RG9MTD1	-0.54375
ACOT2	-0.163
HIST1H4I	-1.193125
PPARGC1A	-1.3092
ETFA	-1.5557
POLRMT	-0.938
ZNF146	0.1915
MIA2	-2.847
KLHL6	-1.40966666666667
HOXB5	0.27975
NENF	0.606
CUGBP1	-0.2875
PRSS22	1.2035
CASC4	2.2923
CUL4B	0.8246
CENPJ	-1.2106
PITX1	-2.65516666666667
FLJ31033	0.916
CELSR3	-0.877166666666667
ZNF568	1.309
ITSN1	-0.192333333333333
EHBP1L1	-1.653
C19orf2	-0.62725
DCTN1	0.17225
LIN28B	-3.8255
TNKS2	0.10725
C1QBP	-1.567875
CADPS2	2.9365
SRMS	-0.04525
GJA9	0.685666666666667
MGC24975	-1.13433333333333
TRIM45	-0.7725
TSP50	1.472
TCP1	-0.9385
TMED7	0.5952
CMA1	1.1815
CENPL	-1.2835
PTCRA	-0.1145
FST	-1.5395
VWCE	-3.18325
PAWR	-0.0285
ABCC12	0.37
LDLR	-2.6994
ASTN2	1.3897
LOC441212	-0.31775
GPATCH8	0.382
TANC2	-0.531
KIF4A	-2.06975
C18orf18	0.04225
PGM1	-0.9465
KIAA0258	0.78425
CPD	0.487125
SNCAIP	0.29625
DCT	-4.36916666666667
HLA-DOA	2.40572727272727
OR11L1	0.34
UPK1B	-0.820333333333333
DNAJB4	0.01175
UGT1A8	-0.45825
HIST1H4L	-2.9595
PECR	-0.4495
HSPA2	1.23175
WFIKKN1	-3.0795
SERP1	0.461125
SYDE2	1.47975
TACR2	0.438
NUP85	-1.08125
CD177	-0.331
LGR5	-1.90866666666667
PIGG	-0.324333333333333
PTHR1	0.265666666666667
RAB5A	0.6433
FLJ13224	-0.2645
USP9Y	-1.8354
C7orf53	-0.076
LRP1B	0.37475
XAF1	1.6355
ABCG8	-0.697
ANKDD1A	-0.425
DAND5	-1.725
SPAG6	1.13
LINCR	0.46725
ZDHHC22	-1.305625
CCDC60	0.763
THOC7	-0.596166666666667
