Hybridization REF	TCGA-BH-A0B0-01A-21R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.352
CREB3L1	2.26325
RPS11	0.54425
PNMA1	-0.36875
MMP2	2.80116666666667
C10orf90	-1.144
ZHX3	-0.6115
ERCC5	0.26925
GPR98	-2.5955
RXFP3	0.751
APBB2	1.3615
PRO0478	-0.2195
KLHL13	-1.476
PRSSL1	-0.473166666666667
PDCL3	-0.310666666666667
DECR1	0.132875
SALL1	-2.00466666666667
CADM4	0.7725
RPS18	-0.247642857142857
HNRPD	-1.13916666666667
CFHR5	0.549333333333333
SLC10A7	-0.59375
OR2K2	0.2915
LMAN1	-1.587625
SUHW1	-3.27975
CHD8	0.508
SUMO1	0.1702
GP1BA	1.6803
DDB1	0.310333333333333
MYO9B	0.2259
MMP7	6.6735
CRNKL1	0.44375
C9orf45	-0.624166666666667
XAB2	1.016125
RTN1	1.506
KLHL14	-0.955875
TBX10	-1.1485
CENPQ	-2.61975
UTY	-1.11216666666667
ZBTB12	0.2075
DTNBP1	-0.768625
KBTBD8	-0.89
ZEB1	1.45483333333333
ZG16	-1.6475
MIER1	1.0784
ADAM5P	1.448
CHD9	-0.0108125000000001
STK16	-0.72325
KIAA1486	-0.612
TOB2	0.769416666666667
BANK1	4.445
OR2V2	0.0505
GRM2	0.279
PROSC	0.533125
SPIN2B	-0.548
PIR	-2.38466666666667
IPO9	-0.1978
EVC	0.975666666666667
CXCL13	5.73683333333333
KIAA1199	0.0784
SORL1	1.908
NAT10	-0.561
CHD1	-0.495
SYN3	-0.87175
SLC22A2	1.20875
SERPINF1	2.24383333333333
WDR34	-0.004
OR7A17	0.282
C9orf11	-0.672
RNF216L	-0.0536
LHB	0.08
STK25	-0.36375
TAOK3	0.440375
LOC152573	-2.17925
C3orf39	0.27875
C14orf108	0.5126
CDC25B	-1.77190909090909
BMP3	0.263
TMEM180	0.2945
MAP1LC3C	1.81925
CRYGC	-0.402
POU3F1	-0.9291
C20orf32	-1.289
CCDC95	0.048
HIGD1B	4.43675
USP6NL	-0.172125
ABCD4	-1.681
DIMT1L	-1.08783333333333
TEK	1.6495
SLC25A46	-1.034
LARP7	-1.7636
CD160	0.8695
MT1JP	0.4045
PHF20	0.02
CPNE4	-2.168
GTPBP1	-0.322928571428572
RAB33B	0.7554
ALDOC	-1.858625
ZNF212	-0.419
NUDT1	-1.1185
RFPL2	0.38225
ZNF83	0.091
GDPD5	0.704375
PDCD4	1.14935
CEP350	0.6185
OR10A2	0.402
CST7	1.7365
CIAO1	-0.907
SELL	2.0725
OR8J3	-0.384
LTBP4	0.2855
SIRT6	0.01775
CCL19	5.09575
PPIL1	-1.9485
GBP7	0.8535
STK17A	-0.5588
ABR	-0.151
OR9G1	0.12
FOXE1	-0.679625
CNGA3	0.394
GML	0.5005
CD38	-2.259
ZDHHC6	0.0453333333333333
NEFH	0.33675
CTDSP2	0.7865
PGBD5	-0.721
CCNY	0.637785714285714
RMND5B	0.379166666666667
ZNF257	-0.73825
FLJ22167	-0.115375
EXOSC7	-0.338833333333333
ROR2	2.125875
MAOA	0.93
TNNT3	2.6115
GYPC	-0.28475
C7orf33	0.5305
PLIN	4.8505
LOC90826	-1.00475
RNF4	-0.4442
F8A1	-0.310166666666667
PLEKHG4	-1.7595
GRB2	-0.28545
HIST1H2AD	1.42575
DUS3L	-0.934333333333333
EIF1	-0.926333333333333
RP5-1077B9.4	-0.584833333333333
FPGT	1.7955
GDF10	2.65033333333333
COQ9	-0.69225
GCC2	0.387571428571429
RARRES3	3.252
PLXNA1	-0.3576
KIAA0100	-0.2149
PMF1	0.29025
FNDC1	6.746
HS2ST1	-0.0805833333333332
CRELD2	0.37675
C8G	-2.1465
CD82	2.24025
LIM2	-1.3155
UNQ6490	1.169
MMP16	0.914
DRD3	-0.23425
C5orf26	-0.832
C11orf73	-0.494625
PTP4A2	0.457
OR4M2	0.9445
HPCA	-0.270333333333333
SEC14L1	-0.544
CHFR	-0.739875
EMILIN1	1.281875
NDUFS4	-0.05075
COL18A1	0.356125
PDZD3	0.1423
C9orf16	0.8525
ERBB2IP	0.166166666666667
EMX2	4.6955
FUS	-0.3455
TF	-2.454
CLCN4	-0.421
CXorf56	-0.106
C11orf72	-0.21425
ELAC2	-1.44433333333333
NPR1	1.406
ASS1	-0.708833333333333
USP42	0.639625
POLR2J	-0.3
SEC23IP	1.208
UQCRC1	0.3345
LOC729603	0.2685
C1orf71	-0.33325
POLG	-2.0565
ADAM23	-2.758
TFR2	-1.08025
RICTOR	-1.43044444444444
MGC39606	0.90575
C19orf55	-0.16325
SNAPC1	-1.37633333333333
GNA11	1.2465
CCDC52	0.0711666666666667
FSIP1	2.0275
UPF3A	-0.788
IGSF11	-2.49116666666667
LAGE3	0.064
CHST6	0.5965
UNC13B	-0.226125
TTLL4	-0.276375
ZNF687	1.137125
SDC2	0.0633
COX7A2	-0.555
LAMB4	0.7135
