Hybridization REF	TCGA-E2-A15S-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.351166666666667
CREB3L1	0.20625
RPS11	-0.32875
PNMA1	0.14925
MMP2	-1.5675
C10orf90	-2.2415
ZHX3	-0.218666666666667
ERCC5	-0.40575
GPR98	1.2205
RXFP3	0.2005
APBB2	0.38275
PRO0478	-0.090875
KLHL13	-2.81275
PRSSL1	-1.03083333333333
PDCL3	0.305166666666667
DECR1	-0.498875
SALL1	-4.47133333333333
CADM4	0.609166666666667
RPS18	0.584214285714286
HNRPD	-1.28941666666667
CFHR5	0.518666666666667
SLC10A7	-0.286
OR2K2	-0.813
LMAN1	-0.543
SUHW1	-3.5625
CHD8	0.8437
SUMO1	0.3523
GP1BA	0.0694
DDB1	0.68
MYO9B	-0.9234
MMP7	4.76575
CRNKL1	1.531875
C9orf45	0.520333333333333
XAB2	-0.126
RTN1	0.0455
KLHL14	-0.321625
TBX10	-0.817
CENPQ	-0.392
UTY	-1.37335714285714
ZBTB12	0.348
DTNBP1	0.206
KBTBD8	-2.81666666666667
ZEB1	0.312333333333333
ZG16	2.129
MIER1	0.6577
ADAM5P	-0.211
CHD9	-0.0408125
STK16	0.25025
KIAA1486	-0.067
TOB2	0.959833333333333
BANK1	0.28525
OR2V2	-0.277
GRM2	0.1685
PROSC	0.736375
SPIN2B	-0.81175
PIR	-1.51955555555556
IPO9	-0.4864
EVC	0.0485
CXCL13	1.33033333333333
KIAA1199	-1.3178
SORL1	1.7015
NAT10	-0.04175
CHD1	-0.1695
SYN3	1.27125
SLC22A2	-0.701
SERPINF1	-1.48133333333333
WDR34	0.2955
OR7A17	0.282
C9orf11	-0.017
RNF216L	0.0787
LHB	-0.267
STK25	-1.325375
TAOK3	0.754
LOC152573	-1.31225
C3orf39	-0.096
C14orf108	0.6241
CDC25B	-1.21854545454545
BMP3	0.127
TMEM180	0.107
MAP1LC3C	-0.12475
CRYGC	0.2235
POU3F1	-1.4627
C20orf32	-1.8955
CCDC95	0.0505
HIGD1B	3.99275
USP6NL	-0.727
ABCD4	-0.781833333333333
DIMT1L	-0.571083333333333
TEK	0.459
SLC25A46	-0.544
LARP7	-0.8543
CD160	0.531333333333333
MT1JP	-0.0981666666666667
PHF20	0.05475
CPNE4	-1.773
GTPBP1	0.006
RAB33B	0.540333333333333
ALDOC	-0.878375
ZNF212	-0.392
NUDT1	-1.04966666666667
RFPL2	-1.39725
ZNF83	1.30316666666667
GDPD5	-1.958125
PDCD4	0.4492
CEP350	0.567
OR10A2	-0.08825
CST7	-0.4945
CIAO1	-0.219
SELL	-0.16975
OR8J3	1.774
LTBP4	0.152833333333333
SIRT6	-0.71525
CCL19	3.141
PPIL1	-0.541
GBP7	2.44466666666667
STK17A	-2.0333
ABR	-1.10075
OR9G1	0.3215
FOXE1	2.156
CNGA3	1.51
GML	0.299
CD38	-3.25175
ZDHHC6	0.1505
NEFH	-3.20675
CTDSP2	0.967166666666667
PGBD5	-0.368333333333333
CCNY	-0.318928571428572
RMND5B	1.26475
ZNF257	0.145
FLJ22167	-0.208125
EXOSC7	-0.9885
ROR2	0.3945
MAOA	0.363
TNNT3	1.22233333333333
GYPC	-1.98175
C7orf33	0.355
PLIN	1.52433333333333
LOC90826	0.34325
RNF4	1.1
F8A1	0.387833333333333
PLEKHG4	-1.34
GRB2	3.12535
HIST1H2AD	0.98925
DUS3L	-1.03483333333333
EIF1	-0.214333333333333
RP5-1077B9.4	-1.2095
FPGT	1.50525
GDF10	-0.696833333333333
COQ9	-1.119
GCC2	1.50485714285714
RARRES3	0.866375
PLXNA1	-0.1037
KIAA0100	0.6175
PMF1	-0.50975
FNDC1	3.8435
HS2ST1	-0.722333333333333
CRELD2	-0.000750000000000001
C8G	-1.46
CD82	-0.9275
LIM2	-0.971
UNQ6490	0.0045
MMP16	-0.02675
DRD3	-0.23425
C5orf26	0.347
C11orf73	-0.644375
PTP4A2	1.549375
OR4M2	0.1025
HPCA	-0.684166666666667
SEC14L1	-0.203833333333333
CHFR	-0.0535
EMILIN1	0.6965
NDUFS4	-0.07125
COL18A1	-0.59575
PDZD3	-0.2098
C9orf16	-0.805833333333333
ERBB2IP	0.308333333333333
EMX2	1.273
FUS	-0.90775
TF	-3.7052
CLCN4	-0.925833333333333
CXorf56	0.03675
C11orf72	0.269
ELAC2	-0.9045
NPR1	-0.622
ASS1	-2.28933333333333
USP42	0.055375
POLR2J	-0.4655
SEC23IP	-0.0191666666666667
UQCRC1	-0.392
LOC729603	-0.80125
C1orf71	0.11875
POLG	0.382
ADAM23	-3.771
TFR2	-1.2975
RICTOR	-0.2536
MGC39606	2.45175
C19orf55	0.062625
SNAPC1	-0.663333333333333
GNA11	-0.0985
CCDC52	0.105166666666667
FSIP1	6.008
UPF3A	-0.337625
IGSF11	-1.17183333333333
LAGE3	-0.01525
CHST6	-2.5665
UNC13B	0.560625
TTLL4	-1.448375
