Hybridization REF	TCGA-D8-A13Z-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.384666666666667
CREB3L1	2.3075
RPS11	0.087375
PNMA1	-0.166
MMP2	0.9215
C10orf90	-0.34525
ZHX3	-0.724
ERCC5	-0.1535
GPR98	-0.911125
RXFP3	0.5145
APBB2	0.20975
PRO0478	-1.00375
KLHL13	-0.44325
PRSSL1	-0.701333333333333
PDCL3	1.37666666666667
DECR1	-0.01125
SALL1	-3.36766666666667
CADM4	1.97016666666667
RPS18	-0.604
HNRPD	-0.663666666666667
CFHR5	0.3575
SLC10A7	0.473
OR2K2	0.061
LMAN1	-0.8985
SUHW1	-4.049
CHD8	0.5984
SUMO1	0.8693
GP1BA	1.5933
DDB1	-0.507833333333333
MYO9B	0.1155
MMP7	6.49775
CRNKL1	1.06375
C9orf45	-2.1815
XAB2	0.756375
RTN1	1.168
KLHL14	-1.212875
TBX10	-1.233
CENPQ	-0.42525
UTY	-1.35378571428571
ZBTB12	-0.161
DTNBP1	0.379625
KBTBD8	-0.333833333333333
ZEB1	-1.41683333333333
ZG16	-1.24475
MIER1	-0.1727
ADAM5P	-0.8475
CHD9	-0.3729375
STK16	-0.816
KIAA1486	-0.7555
TOB2	0.542583333333333
BANK1	4.0615
OR2V2	0.465
GRM2	0.135333333333333
PROSC	1.966125
SPIN2B	-0.76975
PIR	-1.66555555555556
IPO9	-0.0945
EVC	1.09033333333333
CXCL13	5.731
KIAA1199	0.7305
SORL1	0.764
NAT10	-0.65375
CHD1	-0.4025
SYN3	-0.69275
SLC22A2	-0.6505
SERPINF1	1.08816666666667
WDR34	0.12925
OR7A17	0.70725
C9orf11	0.1255
RNF216L	-0.0997
LHB	0.124
STK25	-0.1855
TAOK3	0.3155
LOC152573	-3.5585
C3orf39	0.449
C14orf108	1.5226
CDC25B	-0.390727272727273
BMP3	0.304
TMEM180	0.2125
MAP1LC3C	0.21675
CRYGC	-1.3875
