Hybridization REF	TCGA-A2-A0T7-01A-21R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.749916666666666
CREB3L1	0.60525
RPS11	-0.519875
PNMA1	0.46375
MMP2	1.76866666666667
C10orf90	-0.92175
ZHX3	-0.178333333333333
ERCC5	0.11375
GPR98	0.524
RXFP3	-0.171
APBB2	2.475
PRO0478	-0.984625
KLHL13	0.82425
PRSSL1	-0.747833333333333
PDCL3	1.25216666666667
DECR1	0.46
SALL1	-2.08316666666667
CADM4	0.441333333333333
RPS18	-0.453071428571429
HNRPD	-0.201833333333333
CFHR5	0.405833333333333
SLC10A7	0.47975
OR2K2	-0.586
LMAN1	-0.78075
SUHW1	-3.568
CHD8	0.1471
SUMO1	0.2452
GP1BA	0.0897
DDB1	0.387166666666667
MYO9B	-0.119
MMP7	6.72875
CRNKL1	1.229875
C9orf45	-1.44766666666667
XAB2	-0.0615
RTN1	1.180375
KLHL14	-1.219
TBX10	1.2205
CENPQ	-1.0185
UTY	-0.8585
ZBTB12	-0.007
DTNBP1	-0.1995
KBTBD8	-0.803833333333333
ZEB1	0.358166666666667
ZG16	-1.097
MIER1	0.298
ADAM5P	1.0135
CHD9	-0.096375
STK16	0.91925
KIAA1486	-0.299
TOB2	-0.0461666666666667
BANK1	1.98725
OR2V2	0.10875
GRM2	0.0183333333333333
PROSC	0.273625
SPIN2B	0.37625
PIR	-1.49688888888889
IPO9	-0.0216
EVC	1.28866666666667
CXCL13	1.73716666666667
KIAA1199	-0.261
SORL1	0.95125
NAT10	-0.30375
CHD1	-0.10875
SYN3	-0.463
SLC22A2	-0.121
SERPINF1	0.930166666666667
WDR34	-0.0945
OR7A17	0.44425
C9orf11	0.2055
RNF216L	-0.3842
LHB	-0.69
STK25	-0.303125
TAOK3	1.570375
LOC152573	-2.3865
C3orf39	1.151625
C14orf108	0.597
CDC25B	-1.13454545454545
BMP3	0.4275
TMEM180	0.4395
MAP1LC3C	0.95425
CRYGC	-0.7035
POU3F1	-1.4701
C20orf32	-1.219
CCDC95	-0.537
HIGD1B	3.4015
USP6NL	0.932
ABCD4	-0.1445
DIMT1L	-0.675083333333333
TEK	1.146875
SLC25A46	-0.549
LARP7	-1.8397
CD160	0.623666666666667
MT1JP	-0.325666666666667
PHF20	0.444375
CPNE4	-0.89325
GTPBP1	-0.655
RAB33B	1.02383333333333
ALDOC	-1.7195
ZNF212	-0.41325
NUDT1	-0.880666666666667
RFPL2	-0.0125
ZNF83	0.403666666666667
GDPD5	-0.51425
PDCD4	1.20715
CEP350	0.8255
OR10A2	0.01975
CST7	0.59325
CIAO1	-0.9925
SELL	0.844125
OR8J3	0.0835
LTBP4	-0.611833333333333
SIRT6	-0.51075
CCL19	3.887
PPIL1	-0.842833333333333
GBP7	-0.180333333333333
STK17A	-0.7969
ABR	0.60225
OR9G1	-0.0855
FOXE1	-0.693375
CNGA3	0.68
GML	0.1015
CD38	-2.9965
ZDHHC6	0.281166666666667
NEFH	-1.677
CTDSP2	1.53883333333333
PGBD5	-0.359333333333333
CCNY	0.485071428571428
RMND5B	0.93175
ZNF257	-1.16625
FLJ22167	-0.0285
EXOSC7	0.0213333333333333
ROR2	2.65525
MAOA	-1.300125
TNNT3	0.9845
GYPC	-0.934
C7orf33	0.1675
PLIN	1.85866666666667
LOC90826	-0.13325
RNF4	0.2931
F8A1	0.826333333333333
PLEKHG4	-1.5865
GRB2	0.20195
HIST1H2AD	-0.07325
DUS3L	-0.815166666666667
EIF1	0.273166666666667
RP5-1077B9.4	-1.52233333333333
FPGT	1.2275
GDF10	0.7135
COQ9	-0.445
GCC2	0.166
RARRES3	2.855875
PLXNA1	0.1754
KIAA0100	0.1486
PMF1	0.479
FNDC1	4.7695
HS2ST1	-0.0974166666666667
CRELD2	0.227
C8G	-2.105
CD82	1.418
LIM2	-1.1395
UNQ6490	-0.0675
MMP16	0.6495
DRD3	0.1495
C5orf26	-0.74275
C11orf73	-0.687
PTP4A2	0.3005
OR4M2	-0.3475
HPCA	-0.622666666666667
SEC14L1	-0.275166666666667
CHFR	0.397625
EMILIN1	0.911625
NDUFS4	0.128
COL18A1	0.780875
PDZD3	-0.1826
C9orf16	-0.794833333333333
ERBB2IP	0.343333333333333
EMX2	4.0085
FUS	0.0835
TF	-3.0171
CLCN4	0.947666666666667
CXorf56	0.466
C11orf72	0.16725
ELAC2	-0.63675
NPR1	-0.704
ASS1	-1.56333333333333
USP42	0.212
POLR2J	-0.9325
SEC23IP	0.951333333333333
UQCRC1	0.43525
LOC729603	-0.289
C1orf71	0.0915
POLG	-2.165
ADAM23	-2.85425
TFR2	-1.90225
RICTOR	-0.357
MGC39606	1.5425
C19orf55	-0.670875
SNAPC1	-1.18316666666667
GNA11	0.79075
CCDC52	0.663
FSIP1	1.308
UPF3A	0.125875
IGSF11	-2.38716666666667
LAGE3	-0.35575
CHST6	-1.642
UNC13B	0.339625
TTLL4	-0.558
ZNF687	0.673375
SDC2	1.0169
COX7A2	-0.925
LAMB4	-0.45675
FAM24A	0.1155
LRRTM3	-0.985666666666667
GPHB5	-0.33175
OR4C13	-0.013
EIF3EIP	-0.427142857142857
HABP4	0.464
TMEM125	3.508
CNTN2	0.524625
ASNSD1	-0.1685
FUT4	0.258625
ACF	-4.452
LOC158381	0.449
CDH8	0.2325
AGPS	-1.14616666666667
C4orf18	2.95275
PECI	-1.04391666666667
UNG	0.295
GSTP1	-1.323125
DCUN1D5	-1.52883333333333
DKFZP564J0863	-0.714
SLC9A3R1	1.510125
BCDO2	-1.0365
CHMP7	0.220625
REM2	0.7255
DNHD1	-0.5365
FKBP4	-0.51075
ZNF350	1.202
MGC11102	0.2145
BST1	1.59025
KISS1R	-0.7785
NCR2	0.082
DEFB125	0.1435
UBE2W	1.816875
KRT15	3.054875
C10orf99	0.094
SCN11A	0.289625
GFI1	-1.61275
RDHE2	2.20783333333333
FHL1	-0.4965
OSGEP	-0.735833333333333
GATA1	-3.85083333333333
SMC6	-0.9795
TTTY14	-1.29125
LPIN3	0.16975
RPL4	-0.4135
RBPMS	0.1057
PRPF3	-0.274166666666667
EMR1	-2.256
SPATA19	-0.0855
XCR1	0.3445
IRX3	0.9499
RBM6	-0.1025
KLF4	0.0227
UNC5CL	-0.98475
SEBOX	-0.103
BTK	-0.52
KRCC1	1.44925
C6orf27	-0.2935
SYTL5	-0.58
PRND	2.699125
LOC653319	-1.7235
PIGL	-0.70825
HUS1	-0.205
SFRS6	0.259416666666667
C17orf77	0.3935
UIMC1	-0.325666666666667
FXYD2	-2.1246
LOC283152	0.42025
ZNF667	0.94725
ZCCHC12	-0.27325
TFEC	2.9107
ATP7B	1.07716666666667
POLD2	-1.16316666666667
RG9MTD1	0.16275
ACOT2	0.186
HIST1H4I	-1.173875
PPARGC1A	-2.2535
ETFA	-2.0549
POLRMT	-1.09925
ZNF146	0.102625
MIA2	-1.3175
KLHL6	-0.0926666666666667
HOXB5	-1.204375
NENF	0.077
CUGBP1	-0.39775
PRSS22	1.23433333333333
CASC4	1.1911
CUL4B	-0.2401
CENPJ	-1.4592
PITX1	0.914166666666667
FLJ31033	1.24566666666667
CELSR3	-1.01083333333333
ZNF568	0.587
ITSN1	-0.280916666666667
EHBP1L1	-0.819
C19orf2	-0.68825
DCTN1	0.065
LIN28B	-3.62983333333333
TNKS2	0.094
C1QBP	-1.044125
CADPS2	1.052
SRMS	0.0155
GJA9	0.0993333333333333
MGC24975	-1.374
TRIM45	-0.199
TSP50	0.444
TCP1	-1.16825
TMED7	0.3475
CMA1	1.3045
CENPL	0.122166666666667
PTCRA	-0.111
FST	-3.08175
VWCE	-3.878
PAWR	-0.24625
ABCC12	0.316833333333333
LDLR	-1.9505
ASTN2	1.6892
LOC441212	-1.358625
GPATCH8	0.2465
TANC2	-0.31975
KIF4A	-1.9825
C18orf18	-1.86125
PGM1	-0.31925
KIAA0258	-0.51525
CPD	1.318
SNCAIP	0.469
DCT	-4.23766666666667
HLA-DOA	2.51131818181818
OR11L1	0.1765
UPK1B	-0.4215
DNAJB4	0.409
UGT1A8	0.0505
HIST1H4L	-2.9875
PECR	-0.704333333333333
HSPA2	1.42725
WFIKKN1	-2.8715
SERP1	0.463375
SYDE2	1.58375
TACR2	0.1825
NUP85	-0.33
CD177	-0.18
LGR5	-1.501
PIGG	-0.474666666666667
PTHR1	-0.98
RAB5A	0.9388
FLJ13224	-0.2325
USP9Y	-1.44483333333333
C7orf53	-1.537
LRP1B	1.2125
XAF1	2.4661
ABCG8	-0.529
ANKDD1A	-0.3965
DAND5	-2.1155
SPAG6	0.671833333333333
LINCR	1.95875
ZDHHC22	-1.856125
CCDC60	-0.17
THOC7	-0.686333333333333
TCTA	0.9734
OR8K3	0.0515
NY-REN-7	-0.0857499999999999
B2M	1.05133333333333
C6orf141	0.495875
LPPR4	2.18725
SQLE	0.303375
SEPHS1	-0.51025
BTBD14B	-0.387357142857143
PLRG1	-0.288
SPG7	-0.5464375
ZNF614	0.225666666666667
PARD6G	0.547333333333333
INPP5B	0.1422
GRPEL2	-0.097625
PPID	-0.7771
TRIM56	0.03825
UBE2J1	0.104
IL20RA	2.86925
LOC387856	0.9075
C1orf107	1.1065
UTS2R	-0.6695
C19orf22	0.6935
SAFB2	-0.250625
KIAA0652	0.4245
KLRG1	-0.7415
MS4A8B	0.588
FRAG1	0.76175
KIAA1546	0.53575
E2F4	-0.7665
CLEC4M	-0.293833333333333
BTBD14A	-0.7825
KIAA0999	-0.0456
GYPA	-3.503
TAC1	1.5881
TRAIP	-1.149
KIAA0232	0.9954
ERCC8	-0.7675
GPX4	-0.081875
KIAA0368	-0.13275
GPR157	-1.07233333333333
CTAGE4	0.474
C9orf30	-0.761833333333333
OR52A1	0.1
HSP90B3P	1.1265
ALG9	-0.5207
BTBD10	0.9085
SDK2	0.31675
BAIAP3	0.982
RABGGTB	-0.897
ANKRD40	-0.146666666666667
KRT74	0.4845
CALCOCO2	0.758642857142857
SNCA	-1.7175
TMSL8	-4.07125
C2orf53	-0.0035
ESRRB	0.028
ARHGAP26	-0.207875
TDRD9	-1.42825
HRAS	0.328333333333333
KLRC4	-2.4275
JAGN1	0.314
BSDC1	0.15675
RNF43	-0.7443
NDUFAF1	-0.55425
PHF12	0.364
OR1L3	0.08725
FOLR2	1.70741666666667
LYZL6	0.149833333333333
tcag7.1260	-1.3205
WSB1	-1.228
PROS1	0.2325
OSTN	0.4
PSMB8	0.8
SOCS4	0.137875
DDIT4L	1.0475
MAS1	-0.1095
MGC34796	0.89225
CSHL1	-0.078
TBCCD1	0.625
ZBTB7C	-0.0605
AP2S1	-0.545375
P15RS	0.0359
VAT1	-0.1964
SHANK3	0.407833333333333
TUFM	-0.266166666666667
THEG	-0.41525
KRT34	-1.486
SGSM3	-0.1115
TOMM22	-0.596875
SOCS3	1.55333333333333
CPO	-0.1445
POP4	0.178
BHLHB3	2.30225
MALL	1.68525
OR1B1	0.3995
PARK2	0.645666666666667
GPR124	0.94425
LCE1E	0.2725
RUVBL2	-1.17625
CGRRF1	0.8902
ACPL2	0.8875
WNT10B	-1.128375
BAIAP2L2	-2.646375
ISCA1	0.481
C1orf125	0.14875
RPAP1	-0.767
RAI16	-0.8775
RPL27	-0.657625
NLRP9	0.2555
EPN1	0.0295
LOC388610	-0.183375
SLC35A1	0.8509
GAL	-3.765
SLC14A2	-0.125
RDH11	-1.0305
FAM138F	-0.998
AUH	0.40225
FLJ40243	-0.111
C14orf129	0.558
MBD2	-0.229833333333333
ABHD14B	0.3735
PIGT	0.133875
ALS2CR4	0.026375
ALAS1	0.4954
FOXO1	1.90383333333333
CRLF3	0.243375
C20orf107	-0.133
FARS2	1.07375
CCDC28A	0.0905
NPHP3	-0.34975
OR13F1	0.191
TSEN54	-0.31725
DEFB106B	-0.3324
OR8B4	0.437
STH	-0.19525
ZC3H14	-0.310125
CBX2	-0.3715
TMEM49	0.06775
C6orf21	0.6795
FLJ20920	0.196875
CRTAP	0.887714285714286
DDX50	0.1775
STYXL1	0.513
BLVRB	-0.846
LOC147650	-0.551833333333333
MMP24	-0.0465
GRID1	1.66516666666667
BANF1	0.0218333333333333
CTAGEP	0.02275
HMBS	-2.406
SLC25A24	0.683166666666667
C14orf50	0.13625
MRO	1.56
SLC25A15	-1.505
FAM84B	2.3576
TDP1	-0.4395
C16orf78	-0.234333333333333
C11orf57	-0.389375
RFK	-0.535125
ZFYVE9	0.129
STCH	-0.3508
WIBG	0.878
LOC283871	-0.3895
GBA2	-0.8402
NDUFB3	-1.0965
HSD17B13	-0.18625
GRIN3A	0.982166666666667
FMNL1	0.2275
SEPT7	0.1236
GNLY	2.3215
GRAMD1C	0.406166666666667
ZNF165	0.04575
USP38	1.329
FAM83A	-2.65683333333333
C14orf24	0.325916666666667
ARMCX3	0.9165
ARHGDIB	0.0955
AK1	-0.01
KIAA1045	0.0635
DNAJB13	-0.276166666666667
NEU2	0.6415
HIST1H4B	-1.59633333333333
FAM20B	0.0106
HES2	0.963785714285714
FAM73B	-0.3755
LOC388381	-0.09575
INTS7	-0.936454545454546
AMPH	2.97275
ZNF775	-0.844875
UCKL1	-0.852333333333333
C10orf97	-0.11775
C1orf161	-0.156
ALDH1L1	-0.91125
FLJ39378	0.29775
SLC23A1	-0.1945
RBM4B	0.65975
THAP4	0.288
OGFRL1	0.508
KIAA0831	0.5305
PPP1R15A	0.086
C1orf96	-0.509642857142857
C12orf11	-1.34125
BMF	1.255375
MAN1A1	-0.545875
KIAA1600	1.26566666666667
NLGN4X	2.3635
ALOX12	-1.25166666666667
RB1CC1	0.6653
NEIL2	-0.0076
EIF4E	0.169954545454545
ABHD5	0.14175
EXOC4	-0.412666666666667
CIP29	0.597666666666667
BATF2	1.3135
SLC29A4	-0.637125
HTR4	0.06575
EMB	0.17825
TRAF6	0.8355
LMNB1	-1.64125
FAM19A5	-0.961125
SHE	2.75025
PIK3C2B	1.065
C15orf15	-0.788
USP15	0.1871
TCEAL2	1.12525
C5orf39	-1.47233333333333
PTGER2	0.215
SLC31A1	-0.34425
IFT172	0.39375
ADAM29	0.35925
GFOD1	0.162
ST7L	0.853833333333333
C15orf26	-1.23125
