Hybridization REF	TCGA-A2-A0YH-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.12625
CREB3L1	0.6525
RPS11	0.1195
PNMA1	0.86675
MMP2	1.31566666666667
C10orf90	-2.431
ZHX3	-0.296666666666667
ERCC5	-0.22125
GPR98	-0.3505
RXFP3	0.126
APBB2	1.77875
PRO0478	-0.728625
KLHL13	-1.521
PRSSL1	-0.686333333333333
PDCL3	0.403333333333333
DECR1	0.498
SALL1	-2.74566666666667
CADM4	0.158166666666667
RPS18	-0.622928571428572
HNRPD	-0.227833333333333
CFHR5	0.474833333333333
SLC10A7	0.128125
OR2K2	0.7295
LMAN1	-0.18425
SUHW1	-3.064
CHD8	0.3223
SUMO1	-0.3518
GP1BA	0.0117
DDB1	0.179666666666667
MYO9B	0.1422
MMP7	5.60225
CRNKL1	1.353125
C9orf45	-2.07433333333333
XAB2	-0.13425
RTN1	2.307375
KLHL14	-0.6155
TBX10	-0.496
CENPQ	-1.05875
UTY	-1.36014285714286
ZBTB12	-0.406
DTNBP1	-0.3645
KBTBD8	-0.479833333333333
ZEB1	0.637833333333333
ZG16	1.21075
MIER1	0.3251
ADAM5P	-0.471
CHD9	-0.300625
STK16	-0.1555
KIAA1486	0.003
TOB2	-0.0248333333333333
BANK1	2.71525
OR2V2	0.3865
GRM2	0.0468333333333333
PROSC	2.981125
SPIN2B	0.29625
PIR	-1.43755555555556
IPO9	0.2561
EVC	0.824166666666667
CXCL13	6.30933333333333
KIAA1199	-0.8547
SORL1	0.1525
NAT10	-0.12975
CHD1	0.16925
SYN3	0.19725
SLC22A2	-0.72575
SERPINF1	1.25983333333333
WDR34	-0.46875
OR7A17	0.37675
C9orf11	-0.152
RNF216L	-0.2788
LHB	-0.016
STK25	-0.47
TAOK3	1.484125
LOC152573	-3.02775
C3orf39	0.683125
C14orf108	1.3047
CDC25B	-1.03781818181818
BMP3	0.356
TMEM180	0.412
MAP1LC3C	0.12925
CRYGC	0.0885
POU3F1	-1.1243
C20orf32	-0.9325
CCDC95	-0.299
HIGD1B	3.158
USP6NL	0.0745
ABCD4	-0.2025
DIMT1L	-0.992416666666666
TEK	0.95525
SLC25A46	-0.723
LARP7	-1.6764
CD160	0.517166666666667
MT1JP	-0.837666666666667
PHF20	-0.13775
CPNE4	-1.332
GTPBP1	-0.218428571428571
RAB33B	1.024
ALDOC	-1.4775
ZNF212	-0.3215
NUDT1	-0.879166666666667
RFPL2	0.2925
ZNF83	0.1905
GDPD5	-1.33575
PDCD4	2.1866
CEP350	0.52725
OR10A2	0.36275
CST7	1.7305
CIAO1	-0.797
SELL	1.68675
OR8J3	0.289
LTBP4	-0.52
SIRT6	-0.41025
CCL19	2.43
PPIL1	-0.591
GBP7	1.01916666666667
STK17A	-0.8015
ABR	0.033
OR9G1	-0.1745
FOXE1	-0.385625
CNGA3	3.036
GML	0.507
CD38	1.57
ZDHHC6	0.5415
NEFH	-1.12275
CTDSP2	1.10291666666667
PGBD5	-0.659833333333333
CCNY	0.632142857142857
RMND5B	0.853916666666667
ZNF257	-0.2225
FLJ22167	-0.4095
