Hybridization REF	TCGA-BH-A0EI-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.867833333333333
CREB3L1	1.15725
RPS11	-0.192375
PNMA1	0.3445
MMP2	1.30833333333333
C10orf90	-2.65925
ZHX3	0.0783333333333333
ERCC5	-0.26475
GPR98	0.144125
RXFP3	0.3355
APBB2	2.484
PRO0478	-0.66575
KLHL13	-0.265
PRSSL1	-0.8435
PDCL3	0.686333333333333
DECR1	-0.17425
SALL1	-3.75266666666667
CADM4	0.915666666666667
RPS18	-0.152
HNRPD	-0.714166666666667
CFHR5	1.14175
SLC10A7	-0.102857142857143
OR2K2	-0.983
LMAN1	-1.285625
SUHW1	-3.68525
CHD8	0.4631
SUMO1	0.1727
GP1BA	0.6073
DDB1	-0.4045
MYO9B	-0.1066
MMP7	7.1945
CRNKL1	1.394
C9orf45	-1.60316666666667
XAB2	0.622375
RTN1	1.212625
KLHL14	-0.9045
TBX10	-0.9915
CENPQ	-1.58975
UTY	-1.40963636363636
ZBTB12	0.8705
DTNBP1	-0.302375
KBTBD8	-1.838
ZEB1	1.256
ZG16	-0.3645
MIER1	0.3594
ADAM5P	2.008
CHD9	0.1459375
STK16	-0.1515
KIAA1486	-0.4065
TOB2	0.621583333333333
BANK1	3.18575
OR2V2	-0.15775
GRM2	0.344833333333333
PROSC	0.38075
SPIN2B	-0.34725
PIR	-2.29755555555556
IPO9	-0.4021
EVC	1.5165
CXCL13	3.27466666666667
KIAA1199	-0.3261
SORL1	0.879
NAT10	-0.46225
CHD1	0.51475
SYN3	-0.36375
SLC22A2	-0.74375
SERPINF1	0.968333333333333
WDR34	-0.43225
OR7A17	0.24825
C9orf11	-0.42
RNF216L	-0.2634
LHB	0.2655
STK25	-0.142
TAOK3	0.979125
LOC152573	-1.65075
C3orf39	0.705
C14orf108	0.356
CDC25B	-0.991545454545455
BMP3	-0.211
TMEM180	-0.3535
MAP1LC3C	0.21625
CRYGC	-2.393
POU3F1	-1.5144
C20orf32	-1.4655
CCDC95	-0.446
