Hybridization REF	TCGA-AR-A0TT-01A-31R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.389916666666667
CREB3L1	0.3445
RPS11	0.16
PNMA1	0.01025
MMP2	0.483333333333333
C10orf90	-1.82825
ZHX3	-0.9975
ERCC5	0.58575
GPR98	-0.10675
RXFP3	0.474
APBB2	0.55
PRO0478	-0.642875
KLHL13	-2.72225
PRSSL1	-0.691666666666667
PDCL3	0.868666666666667
DECR1	-0.036875
SALL1	-2.87616666666667
CADM4	0.314666666666667
RPS18	-0.196357142857143
HNRPD	-0.292416666666667
CFHR5	0.557833333333333
SLC10A7	-0.06675
OR2K2	0.1325
LMAN1	0.11125
SUHW1	-2.213
CHD8	-0.0587
SUMO1	0.1936
GP1BA	2.5465
DDB1	0.023
MYO9B	0.4784
MMP7	4.93975
CRNKL1	0.77225
C9orf45	-0.979666666666667
XAB2	-0.535625
RTN1	1.807625
KLHL14	-1.05825
TBX10	-0.951
CENPQ	-1.33375
UTY	-0.941
ZBTB12	0.5295
DTNBP1	0.182
KBTBD8	0.0825
ZEB1	0.698833333333333
ZG16	-0.1135
MIER1	0.5602
ADAM5P	0.1425
CHD9	-0.3095625
STK16	1.372
KIAA1486	-0.3085
TOB2	0.7045
BANK1	4.67075
OR2V2	0.35225
GRM2	0.101
PROSC	0.13725
SPIN2B	0.16775
PIR	-1.76433333333333
IPO9	-0.0291
EVC	0.403
CXCL13	6.93383333333333
KIAA1199	0.6267
SORL1	0.8345
NAT10	-0.35675
CHD1	-0.51675
SYN3	-0.05975
SLC22A2	0.028
SERPINF1	1.86133333333333
WDR34	-0.7155
OR7A17	0.254
C9orf11	-0.9865
RNF216L	-0.204
LHB	-0.0105
STK25	0.04975
TAOK3	0.7795
LOC152573	-2.315
C3orf39	-0.8275
C14orf108	0.354
CDC25B	-0.85
BMP3	-0.1115
TMEM180	-0.0855
MAP1LC3C	-0.05425
CRYGC	-0.556
POU3F1	-0.7186
C20orf32	-1.2015
CCDC95	0.529
HIGD1B	3.5975
USP6NL	-0.1675
ABCD4	-0.291333333333333
DIMT1L	-0.711666666666667
TEK	0.938625
SLC25A46	-0.4045
LARP7	-1.5074
CD160	0.578666666666667
MT1JP	-0.7575
PHF20	0.1085
CPNE4	-1.51425
GTPBP1	-0.324571428571429
RAB33B	0.886166666666667
ALDOC	-1.728125
ZNF212	-0.404
NUDT1	-0.731333333333333
RFPL2	-0.3625
ZNF83	0.0338333333333333
GDPD5	-0.988
PDCD4	0.9825
CEP350	0.08425
OR10A2	0.09075
CST7	2.46325
CIAO1	-0.57875
SELL	2.414625
OR8J3	0.1465
LTBP4	-0.418833333333333
SIRT6	-0.43125
CCL19	5.21175
PPIL1	-1.00416666666667
GBP7	0.639666666666667
STK17A	-0.0115
ABR	1.02875
OR9G1	-0.1455
FOXE1	-0.729625
CNGA3	1.646
GML	0.1475
CD38	1.80925
ZDHHC6	-0.4595
NEFH	-2.444
CTDSP2	0.70875
PGBD5	-0.140833333333333
CCNY	0.743571428571429
RMND5B	0.874333333333333
ZNF257	-2.07175
FLJ22167	-0.54275
EXOSC7	-1.04283333333333
ROR2	1.764875
MAOA	-0.57225
TNNT3	0.646333333333333
GYPC	-0.407
C7orf33	-0.0955
PLIN	3.38366666666667
LOC90826	-0.33025
RNF4	0.169
F8A1	0.1395
PLEKHG4	0.6695
GRB2	0.75405
HIST1H2AD	-1.14475
DUS3L	-1.08716666666667
EIF1	-0.278833333333333
RP5-1077B9.4	-0.611666666666667
FPGT	1.0595
GDF10	0.848666666666667
COQ9	0.0335
GCC2	0.517214285714286
RARRES3	2.811375
PLXNA1	-0.23
KIAA0100	1.3078
PMF1	-0.5555
FNDC1	5.638
HS2ST1	-0.0831666666666667
CRELD2	0.285
C8G	-1.1755
CD82	0.83675
LIM2	-0.671
UNQ6490	-0.7045
MMP16	-0.16025
DRD3	-0.107
C5orf26	-1.106
C11orf73	0.27125
PTP4A2	0.73525
OR4M2	0.4005
HPCA	-1.04016666666667
SEC14L1	-0.126666666666667
CHFR	0.57925
EMILIN1	1.066125
NDUFS4	-0.81925
COL18A1	-0.61475
PDZD3	-0.2194
C9orf16	-0.369833333333333
ERBB2IP	-0.136833333333333
EMX2	3.36275
FUS	-0.55325
TF	-4.0193
CLCN4	0.185833333333333
CXorf56	-0.43225
C11orf72	0.24125
ELAC2	-0.37525
NPR1	-0.94875
ASS1	-0.568666666666667
USP42	0.463375
POLR2J	-0.7575
SEC23IP	0.77
UQCRC1	-0.55075
LOC729603	-0.138
C1orf71	-0.49975
POLG	-1.632
ADAM23	-3.08525
TFR2	-1.426
RICTOR	-0.4016
MGC39606	-0.3095
C19orf55	-0.405375
SNAPC1	-1.09616666666667
GNA11	0.442375
CCDC52	0.0906666666666667
FSIP1	2.8895
UPF3A	0.335375
IGSF11	-1.18066666666667
LAGE3	-0.29275
CHST6	-1.5775
UNC13B	0.164375
TTLL4	-0.691375
ZNF687	0.24825
SDC2	-0.0411
COX7A2	0.04225
LAMB4	0.2415
FAM24A	0.576
LRRTM3	-0.557
GPHB5	0.0715
OR4C13	0.224
EIF3EIP	-0.302428571428571
HABP4	-0.1005
TMEM125	2.93975
CNTN2	-0.1065
ASNSD1	-0.15875
FUT4	0.4975
ACF	-3.37925
LOC158381	2.1165
CDH8	0.7815
AGPS	-0.6325
C4orf18	1.955
PECI	-0.242416666666667
UNG	-0.46775
GSTP1	-1.266875
DCUN1D5	-1.68566666666667
DKFZP564J0863	-0.9805
SLC9A3R1	1.13375
BCDO2	-0.370875
CHMP7	-0.25675
REM2	0.4045
DNHD1	-0.4695
FKBP4	0.13275
ZNF350	2.25
MGC11102	0.30925
BST1	2.78
KISS1R	0.6275
NCR2	0.175
DEFB125	-0.356
UBE2W	1.038875
KRT15	-3.098875
C10orf99	0.278
SCN11A	-0.13075
GFI1	-0.313
RDHE2	-0.554666666666667
FHL1	-0.625
OSGEP	0.172
GATA1	-3.47666666666667
SMC6	-0.89025
TTTY14	-0.91
LPIN3	-0.3445
RPL4	0.1721
RBPMS	-0.3531
PRPF3	-0.181333333333333
EMR1	-1.297
SPATA19	0.196
XCR1	0.2765
IRX3	2.1663
RBM6	-0.474
KLF4	-1.298
UNC5CL	-0.76075
SEBOX	0.108
BTK	0.77375
KRCC1	0.16275
C6orf27	0.202
SYTL5	-0.2015
PRND	1.3165
LOC653319	-0.573
PIGL	-1.600625
HUS1	-0.076
SFRS6	-0.130416666666667
C17orf77	0.2505
UIMC1	-0.5985
FXYD2	-1.4773
LOC283152	-1.01475
ZNF667	-1.274
ZCCHC12	-0.129
TFEC	4.8122
ATP7B	1.0575
POLD2	-0.557666666666667
RG9MTD1	0.029
