Hybridization REF	TCGA-C8-A130-01A-31R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.274833333333333
CREB3L1	0.689
RPS11	0.583375
PNMA1	0.21675
MMP2	0.415333333333333
C10orf90	-2.125
ZHX3	-0.219
ERCC5	-0.43725
GPR98	-0.42775
RXFP3	0.452
APBB2	1.7005
PRO0478	-0.691625
KLHL13	-1.48875
PRSSL1	-0.878
PDCL3	0.893666666666667
DECR1	-0.102
SALL1	-3.42316666666667
CADM4	0.895166666666667
RPS18	0.226
HNRPD	-0.523333333333333
CFHR5	0.185666666666667
SLC10A7	-0.26425
OR2K2	-0.4865
LMAN1	-1.594
SUHW1	-3.339
CHD8	0.6837
SUMO1	0.7667
GP1BA	0.5315
DDB1	0.470833333333333
MYO9B	0.2692
MMP7	5.55375
CRNKL1	1.369125
C9orf45	0.282666666666667
XAB2	0.690125
RTN1	0.2545
KLHL14	-1.121
TBX10	-0.862
CENPQ	-1.37425
UTY	-1.58342857142857
ZBTB12	0.25
DTNBP1	0.389125
KBTBD8	-2.07666666666667
ZEB1	-0.727333333333333
ZG16	-1.086
MIER1	-0.1826
ADAM5P	-0.1765
CHD9	-0.820625
STK16	-0.6085
KIAA1486	-0.378
TOB2	0.87025
BANK1	1.551
OR2V2	0.17675
GRM2	0.178833333333333
PROSC	-0.7865
SPIN2B	0.019
PIR	0.228
IPO9	-0.0962
EVC	1.79166666666667
CXCL13	3.05133333333333
KIAA1199	-1.1007
SORL1	1.058
NAT10	0.09775
CHD1	-1.14225
SYN3	-0.37575
SLC22A2	0.072
SERPINF1	0.736166666666667
WDR34	0.21325
OR7A17	0.14625
C9orf11	0.234
RNF216L	-0.1925
LHB	0.183
STK25	-0.1465
TAOK3	0.217625
LOC152573	-2.933
C3orf39	0.486375
C14orf108	0.3748
CDC25B	-1.75454545454545
BMP3	0.1785
TMEM180	0.129
MAP1LC3C	-0.12225
CRYGC	-0.9075
POU3F1	-1.0117
C20orf32	-1.071
CCDC95	0.1365
HIGD1B	4.664
USP6NL	0.497375
ABCD4	-0.119166666666667
DIMT1L	-1.17141666666667
TEK	1.153375
SLC25A46	-1.19375
LARP7	-1.2147
CD160	0.561
MT1JP	0.450166666666667
PHF20	-0.0859375
CPNE4	-1.8505
GTPBP1	-0.0468571428571429
RAB33B	0.232833333333333
ALDOC	-2.7935
ZNF212	0.19575
NUDT1	-0.196166666666667
RFPL2	-0.59875
ZNF83	-0.107666666666667
GDPD5	-0.00612499999999998
PDCD4	0.8775
CEP350	-0.2145
OR10A2	0.033
CST7	0.83975
CIAO1	-0.416
SELL	0.791375
OR8J3	0.5135
LTBP4	-0.0965
SIRT6	0.20875
CCL19	4.42325
PPIL1	-0.1075
GBP7	-0.167666666666667
STK17A	-1.386
ABR	-0.1685
OR9G1	0.2705
FOXE1	-0.664
CNGA3	2.774
GML	0.6735
CD38	-1.63475
ZDHHC6	0.778833333333333
NEFH	-2.2865
CTDSP2	-0.42
PGBD5	-2.19216666666667
CCNY	0.646
RMND5B	0.0175
ZNF257	-0.039
FLJ22167	-0.915625
EXOSC7	-0.848833333333333
ROR2	1.061
MAOA	-1.141125
TNNT3	0.398166666666667
GYPC	-1.12975
C7orf33	0.97
PLIN	2.7735
LOC90826	-0.1875
RNF4	0.6276
F8A1	0.690833333333333
PLEKHG4	-1.59475
GRB2	-0.09265
HIST1H2AD	0.8775
DUS3L	-1.27583333333333
EIF1	0.514333333333333
RP5-1077B9.4	-0.289166666666667
FPGT	0.844
GDF10	-0.9365
COQ9	0.064
GCC2	-0.816714285714286
RARRES3	2.903125
PLXNA1	0.0352
KIAA0100	-0.0926
PMF1	0.575
FNDC1	5.2985
HS2ST1	-0.248083333333333
CRELD2	0.44475
C8G	-0.579
CD82	1.15125
LIM2	-1.3085
UNQ6490	-0.2285
MMP16	-0.245
DRD3	-0.38475
C5orf26	-1.62325
C11orf73	-0.288875
PTP4A2	0.972125
OR4M2	0.185
HPCA	-0.690333333333333
SEC14L1	-0.699833333333333
CHFR	0.263375
EMILIN1	1.343875
NDUFS4	-1.00225
COL18A1	0.98275
PDZD3	0.013
C9orf16	-0.0108333333333333
ERBB2IP	-0.00216666666666667
EMX2	4.171
FUS	-0.6565
TF	-1.9399
CLCN4	-0.7155
CXorf56	0.2025
C11orf72	0.34475
ELAC2	-0.263833333333333
NPR1	-0.58325
ASS1	-2.08916666666667
USP42	-0.281375
POLR2J	-0.1735
SEC23IP	1.09216666666667
UQCRC1	-0.34725
LOC729603	-0.93675
C1orf71	0.156625
POLG	-0.968
ADAM23	-3.5325
TFR2	-0.7525
RICTOR	-0.9945
MGC39606	1.48575
C19orf55	0.0805
SNAPC1	-1.01883333333333
GNA11	0.3505
CCDC52	-0.438666666666667
FSIP1	1.1755
UPF3A	-1.026125
IGSF11	-2.4205
LAGE3	0.91125
CHST6	-2.073
UNC13B	-0.145625
TTLL4	-0.4595
ZNF687	0.850875
SDC2	0.5577
COX7A2	1.79325
LAMB4	0.10025
FAM24A	-0.1775
LRRTM3	-1.17966666666667
GPHB5	1.67
OR4C13	-0.2985
EIF3EIP	0.0747142857142857
HABP4	-0.5705
TMEM125	3.39475
CNTN2	-0.010875
ASNSD1	-0.36075
FUT4	-0.1315
ACF	-3.613
LOC158381	0.178
CDH8	-0.139
AGPS	-0.874833333333333
C4orf18	1.789625
PECI	0.314833333333333
UNG	0.168625
GSTP1	-0.182625
DCUN1D5	-0.805
DKFZP564J0863	-0.27375
SLC9A3R1	1.1265
BCDO2	-0.76325
CHMP7	-0.187125
REM2	0.259
DNHD1	-0.18125
FKBP4	0.61325
ZNF350	0.96325
MGC11102	0.98525
BST1	0.756
KISS1R	0.241
NCR2	-0.1545
DEFB125	-0.997
UBE2W	0.96125
KRT15	-0.51275
C10orf99	0.397
SCN11A	0.26675
GFI1	-1.72525
RDHE2	-0.151333333333333
FHL1	-0.810333333333333
OSGEP	0.6365
GATA1	-3.26966666666667
SMC6	-0.5345
TTTY14	-0.92225
LPIN3	0.13225
RPL4	-1.3638
RBPMS	0.2781
PRPF3	-0.3375
EMR1	-2.0065
SPATA19	-0.16225
XCR1	0.382
IRX3	2.1299
RBM6	-0.34525
KLF4	-1.4094
UNC5CL	1.647
SEBOX	0.1305
BTK	-0.512
KRCC1	0.1305
C6orf27	0.5835
SYTL5	-0.4735
PRND	4.29375
LOC653319	-0.414
PIGL	-1.188125
HUS1	0.0536666666666667
SFRS6	-1.29208333333333
C17orf77	0.317
UIMC1	-1.1945
FXYD2	-1.6128
LOC283152	1.968
ZNF667	-1.392
ZCCHC12	-0.76125
TFEC	2.6906
ATP7B	-0.0205
POLD2	-0.133166666666667
RG9MTD1	-0.283
ACOT2	0.6545
HIST1H4I	-0.8385
PPARGC1A	-2.542
ETFA	-0.7994
POLRMT	-0.25025
ZNF146	0.401625
MIA2	-2.847
KLHL6	-0.791166666666667
HOXB5	2.118625
NENF	1.664
CUGBP1	0.69175
PRSS22	1.71333333333333
CASC4	0.8155
CUL4B	-0.0961
CENPJ	-0.991
PITX1	1.91783333333333
FLJ31033	0.388333333333333
CELSR3	-2.01166666666667
ZNF568	-0.06925
ITSN1	-0.315416666666667
EHBP1L1	-0.0351666666666667
C19orf2	-0.15625
DCTN1	-0.311
LIN28B	-4.26166666666667
TNKS2	-1.01525
C1QBP	-0.15975
CADPS2	0.414
SRMS	0.89675
GJA9	-0.023
MGC24975	0.004
TRIM45	-0.626833333333333
TSP50	0.966
TCP1	-1.257
TMED7	-0.9957
CMA1	0.037
CENPL	-1.107
PTCRA	0.423
FST	-3.325
VWCE	-3.4825
PAWR	0.0235
ABCC12	0.0295
LDLR	-1.4235
ASTN2	1.2478
LOC441212	-0.247
GPATCH8	0.204
TANC2	-0.505916666666667
KIF4A	-0.79025
C18orf18	-0.62725
PGM1	-1.49025
