Hybridization REF	TCGA-AO-A125-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.462083333333333
CREB3L1	1.2565
RPS11	0.501625
PNMA1	-1.03975
MMP2	-2.00716666666667
C10orf90	-1.916
ZHX3	0.187
ERCC5	0.87075
GPR98	-0.08525
RXFP3	0.8575
APBB2	1.491
PRO0478	0.0955
KLHL13	-3.27275
PRSSL1	-0.988166666666666
PDCL3	-0.5885
DECR1	-0.55175
SALL1	-4.81
CADM4	1.95433333333333
RPS18	0.384857142857143
HNRPD	-1.10975
CFHR5	0.262
SLC10A7	0.428625
OR2K2	-0.0655
LMAN1	-1.330125
SUHW1	-3.81875
CHD8	0.2071
SUMO1	0.4567
GP1BA	-0.1657
DDB1	-0.299666666666667
MYO9B	-0.2375
MMP7	-1.131
CRNKL1	0.400375
C9orf45	-0.4195
XAB2	0.4975
RTN1	3.6065
KLHL14	-1.82475
TBX10	-1.0095
CENPQ	-2.18125
UTY	-1.22385714285714
ZBTB12	-0.148
DTNBP1	0.55325
KBTBD8	-3.27783333333333
ZEB1	-1.2115
ZG16	-1.77325
MIER1	0.5626
ADAM5P	0.0675
CHD9	-0.1114375
STK16	1.55725
KIAA1486	-0.727
TOB2	1.6675
BANK1	0.58375
OR2V2	0.4695
GRM2	-0.116166666666667
PROSC	0.044
SPIN2B	0.1315
PIR	-2.11966666666667
IPO9	0.1935
EVC	-0.0331666666666667
CXCL13	7.01216666666667
KIAA1199	-4.6984
SORL1	1.89275
NAT10	-0.4225
CHD1	0.04575
SYN3	-0.867
SLC22A2	-0.638
SERPINF1	-2.80566666666667
WDR34	-0.1245
OR7A17	0.231
C9orf11	-0.7545
RNF216L	0.6269
LHB	-0.0215
STK25	-0.2675
TAOK3	0.872375
LOC152573	-3.6715
C3orf39	0.233375
C14orf108	-0.448
CDC25B	-2.29918181818182
BMP3	0.0215
TMEM180	-0.4795
MAP1LC3C	-0.301
CRYGC	-0.3535
POU3F1	-1.3726
C20orf32	-1.868
CCDC95	1.0295
HIGD1B	4.41625
USP6NL	-0.00912499999999999
ABCD4	-0.1755
DIMT1L	-1.30825
TEK	-0.04325
SLC25A46	-1.7125
LARP7	-0.905
CD160	-0.1175
MT1JP	-1.3625
PHF20	-0.1586875
CPNE4	-1.1
GTPBP1	0.173571428571429
RAB33B	0.988166666666667
ALDOC	-2.95225
ZNF212	0.031
NUDT1	-1.01483333333333
RFPL2	-0.586
ZNF83	0.0871666666666667
GDPD5	-1.81325
PDCD4	2.17665
CEP350	0.6
OR10A2	0.28625
CST7	-1.28375
CIAO1	-1.14075
SELL	0.425375
OR8J3	0.3055
LTBP4	0.126333333333333
SIRT6	0.3085
CCL19	0.745
PPIL1	-1.85616666666667
GBP7	-0.138
STK17A	-1.8242
ABR	0.705
OR9G1	0.011
FOXE1	-1.008625
CNGA3	-0.0195
GML	0.5505
CD38	-5.043
ZDHHC6	-0.0545
NEFH	-3.55575
CTDSP2	0.0663333333333333
PGBD5	-3.06483333333333
CCNY	-0.0127857142857143
