Hybridization REF	TCGA-A8-A08G-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.68241666666667
CREB3L1	0.63475
RPS11	-0.61125
PNMA1	0.17975
MMP2	1.19766666666667
C10orf90	-1.96375
ZHX3	0.205333333333333
ERCC5	0.37825
GPR98	0.288875
RXFP3	0.052
APBB2	2.5245
PRO0478	-0.439375
KLHL13	-1.85975
PRSSL1	-1.08516666666667
PDCL3	0.675
DECR1	-0.5275
SALL1	-2.576
CADM4	0.319666666666667
RPS18	-1.69957142857143
HNRPD	-0.37125
CFHR5	0.619
SLC10A7	-0.07975
OR2K2	0.3165
LMAN1	-0.719625
SUHW1	-3.563
CHD8	0.1591
SUMO1	-0.1859
GP1BA	-0.4495
DDB1	-0.326833333333333
MYO9B	0.0706
MMP7	5.09
CRNKL1	0.66625
C9orf45	0.117833333333333
XAB2	-0.009625
RTN1	1.25325
KLHL14	-0.916875
TBX10	-1.2825
CENPQ	-1.4495
UTY	-1.01053846153846
ZBTB12	-0.104
DTNBP1	-0.3
KBTBD8	-1.12866666666667
ZEB1	0.195
ZG16	-1.107
MIER1	0.1869
ADAM5P	0.433
CHD9	-0.5349375
STK16	0.733
KIAA1486	-0.471
TOB2	-0.0735000000000001
BANK1	1.31225
OR2V2	0.47525
GRM2	0.106333333333333
PROSC	2.221375
SPIN2B	0.447
PIR	-1.83411111111111
IPO9	0.2005
EVC	0.758333333333333
CXCL13	3.979
KIAA1199	-0.8323
SORL1	-0.78675
NAT10	-0.094
CHD1	-0.48125
SYN3	-0.819
SLC22A2	-0.46175
SERPINF1	0.546666666666667
WDR34	-0.03625
OR7A17	0.336
C9orf11	-0.4255
RNF216L	-0.7991
LHB	-0.3165
STK25	0.329625
TAOK3	1.056
LOC152573	-3.473
C3orf39	0.86425
C14orf108	0.2223
CDC25B	-0.0655454545454546
BMP3	0.2685
TMEM180	0.544
MAP1LC3C	0.0395
CRYGC	-0.616
POU3F1	-1.5092
C20orf32	-1.6345
CCDC95	0.0995
HIGD1B	3.704
USP6NL	-0.234
ABCD4	-0.742333333333333
DIMT1L	-0.389666666666667
TEK	0.753875
SLC25A46	-0.8915
LARP7	-1.7708
CD160	-0.0495
MT1JP	-1.47566666666667
PHF20	0.5663125
CPNE4	-1.53275
GTPBP1	-0.276428571428571
RAB33B	0.342333333333333
ALDOC	-1.227
ZNF212	-0.25775
NUDT1	-0.695
RFPL2	-0.30425
ZNF83	0.1075
GDPD5	-0.514625
PDCD4	0.61895
CEP350	1.07075
OR10A2	0.131
CST7	0.887
CIAO1	-1.1265
SELL	0.996625
OR8J3	0.3385
LTBP4	-0.668
SIRT6	-0.0385
CCL19	1.8395
PPIL1	-1.43733333333333
GBP7	0.173
STK17A	-1.249
ABR	-0.05775
OR9G1	0.301
FOXE1	-1.031
CNGA3	0.257
GML	0.46
CD38	-2.40575
ZDHHC6	0.7635
NEFH	-2.5805
CTDSP2	1.6155
PGBD5	0.245666666666667
CCNY	0.7695
RMND5B	1.15233333333333
ZNF257	-0.05475
FLJ22167	0.9595
EXOSC7	-0.929
ROR2	1.9605
MAOA	-0.49225
TNNT3	0.610666666666667
GYPC	-1.281
C7orf33	-0.12
PLIN	3.30866666666667
LOC90826	-0.08125
RNF4	0.4297
F8A1	3.9235
PLEKHG4	-2.163
GRB2	0.80155
HIST1H2AD	0.05125
DUS3L	-0.630666666666667
EIF1	0.0331666666666667
RP5-1077B9.4	-0.459166666666667
FPGT	1.50375
GDF10	-1.71183333333333
COQ9	0.248
GCC2	-0.789071428571429
RARRES3	2.463625
PLXNA1	-0.0699
KIAA0100	0.747
PMF1	0.4555
FNDC1	5.21
HS2ST1	-1.02375
CRELD2	0.63725
C8G	-1.055
CD82	-0.15425
LIM2	-0.802
UNQ6490	-0.088
MMP16	1.05475
DRD3	0.173
C5orf26	-1.32625
C11orf73	-1.02375
PTP4A2	0.37775
OR4M2	0.2895
HPCA	-0.633
SEC14L1	-1.0155
CHFR	0.607625
EMILIN1	0.272125
NDUFS4	-0.22325
COL18A1	0.12525
PDZD3	-0.1292
C9orf16	-0.549166666666667
ERBB2IP	-0.0906666666666667
EMX2	2.7565
FUS	-0.52625
TF	-3.9149
CLCN4	-0.229
CXorf56	0.8975
C11orf72	0.214
ELAC2	-1.52641666666667
NPR1	-0.8195
ASS1	-1.247
USP42	0.537875
POLR2J	-0.205
SEC23IP	1.08266666666667
UQCRC1	0.5085
LOC729603	0.09725
C1orf71	0.555375
POLG	-1.2815
ADAM23	-3.8
TFR2	-0.48275
RICTOR	-0.6543
MGC39606	0.06675
C19orf55	-0.2255
SNAPC1	-2.0115
GNA11	1.445375
CCDC52	0.652333333333333
FSIP1	4.373
UPF3A	1.168875
IGSF11	-2.84966666666667
LAGE3	1.1995
CHST6	-2.8015
UNC13B	0.212
TTLL4	-0.582375
ZNF687	0.428
SDC2	0.2091
COX7A2	-0.03425
LAMB4	-0.2645
FAM24A	-0.115
LRRTM3	-0.833166666666667
GPHB5	-0.54225
OR4C13	-1.191
EIF3EIP	-0.881
HABP4	0.392
TMEM125	3.289
CNTN2	0.274625
ASNSD1	-0.076
FUT4	0.19275
ACF	-3.6715
LOC158381	0.0355
CDH8	-0.26275
AGPS	-1.0315
C4orf18	2.989875
PECI	-1.51583333333333
UNG	0.181625
GSTP1	-2.639875
DCUN1D5	-1.89233333333333
DKFZP564J0863	-1.99
SLC9A3R1	2.4655
BCDO2	-0.64175
