Hybridization REF	TCGA-A8-A08I-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.952416666666667
CREB3L1	-0.89025
RPS11	0.082875
PNMA1	0.688
MMP2	-1.15816666666667
C10orf90	-2.11575
ZHX3	-0.0261666666666667
ERCC5	0.892
GPR98	0.78275
RXFP3	0.5
APBB2	0.431
PRO0478	-0.5515
KLHL13	-4.1225
PRSSL1	-1.1605
PDCL3	0.0475
DECR1	0.431
SALL1	-3.93333333333333
CADM4	0.561666666666667
RPS18	-0.314571428571429
HNRPD	-1.03491666666667
CFHR5	0.066
SLC10A7	-0.0700000000000001
OR2K2	0.188
LMAN1	0.535125
SUHW1	-3.35575
CHD8	0.1877
SUMO1	0.3068
GP1BA	3.8891
DDB1	-0.191833333333333
MYO9B	-0.1063
MMP7	6.5645
CRNKL1	1.005875
C9orf45	-1.4355
XAB2	-0.479375
RTN1	2.19625
KLHL14	0.058375
TBX10	-1.1335
CENPQ	-0.38325
UTY	-1.28525
ZBTB12	0.2245
DTNBP1	-0.310125
KBTBD8	-0.1725
ZEB1	-0.125333333333333
ZG16	-1.70675
MIER1	1.315
ADAM5P	-0.4
CHD9	0.5593125
STK16	0.74675
KIAA1486	-0.4465
TOB2	0.508083333333333
BANK1	3.49125
OR2V2	0.438
GRM2	0.137833333333333
PROSC	0.325
SPIN2B	-0.0805
PIR	0.360333333333333
IPO9	0.1903
EVC	-0.2615
CXCL13	6.21383333333333
KIAA1199	-2.9065
SORL1	0.924
NAT10	0.0845
CHD1	-0.7075
SYN3	0.06725
SLC22A2	-0.62775
SERPINF1	-0.3175
WDR34	-0.51975
OR7A17	0.37225
C9orf11	-0.6725
RNF216L	-0.9516
LHB	-0.1185
STK25	-2.320375
TAOK3	0.487
LOC152573	-3.5575
C3orf39	1.070875
C14orf108	0.8243
CDC25B	-0.706909090909091
BMP3	-0.646
TMEM180	0.318
MAP1LC3C	0.615
CRYGC	-0.563
POU3F1	-0.4305
C20orf32	-1.02
CCDC95	-0.628
HIGD1B	2.7665
USP6NL	-0.4125
ABCD4	-0.3315
DIMT1L	-0.735416666666667
TEK	-0.515625
SLC25A46	-0.08025
LARP7	-1.2805
CD160	2.38566666666667
MT1JP	1.48483333333333
PHF20	-0.2405625
CPNE4	-0.8145
GTPBP1	-0.647357142857143
RAB33B	0.777166666666667
ALDOC	-2.647625
ZNF212	0.0075
NUDT1	-1.21866666666667
RFPL2	-0.9335
ZNF83	2.2115
GDPD5	-1.69425
PDCD4	0.79665
CEP350	0.52975
OR10A2	0.32225
CST7	2.36725
CIAO1	-0.94925
SELL	1.587125
OR8J3	0.5265
LTBP4	-0.658833333333333
SIRT6	-0.42625
CCL19	4.969
PPIL1	-0.452166666666667
GBP7	4.63866666666667
STK17A	-0.7635
ABR	0.427
OR9G1	0.2595
FOXE1	-1.151625
CNGA3	-0.3025
GML	-0.037
CD38	1.83425
ZDHHC6	0.190833333333333
NEFH	-2.032
CTDSP2	0.475
PGBD5	0.285666666666667
CCNY	0.339071428571429
RMND5B	0.3205
ZNF257	1.25175
FLJ22167	0.825125
EXOSC7	-0.508166666666667
ROR2	0.497125
MAOA	0.562625
TNNT3	-0.509833333333333
GYPC	-1.04675
C7orf33	0.1705
PLIN	0.664833333333333
LOC90826	-0.51625
RNF4	0.2556
F8A1	0.684833333333333
PLEKHG4	0.44175
GRB2	0.86165
HIST1H2AD	1.85025
DUS3L	-1.25733333333333
EIF1	-0.340833333333333
RP5-1077B9.4	-0.261666666666667
FPGT	1.3685
GDF10	-1.28833333333333
COQ9	0.4495
GCC2	0.307785714285714
RARRES3	3.7115
PLXNA1	-0.5256
KIAA0100	-0.0562
PMF1	-0.54975
FNDC1	4.15025
HS2ST1	-0.119666666666667
CRELD2	0.613
C8G	-1.723
CD82	1.51825
LIM2	-1.2235
UNQ6490	-0.048
MMP16	-0.08775
DRD3	0.10675
C5orf26	-1.01375
C11orf73	-0.813
PTP4A2	1.60475
OR4M2	0.406
HPCA	-1.14233333333333
SEC14L1	0.192833333333333
CHFR	0.02725
EMILIN1	0.36
NDUFS4	0.26075
COL18A1	-1.816625
PDZD3	0.9015
C9orf16	-0.89
ERBB2IP	0.307
EMX2	0.83175
FUS	-0.54275
TF	2.3807
CLCN4	-0.826333333333333
CXorf56	0.82775
C11orf72	0.154
ELAC2	-0.2235
NPR1	-1.6215
ASS1	-2.38766666666667
USP42	0.3015
POLR2J	-1.1195
SEC23IP	0.2985
UQCRC1	-0.1975
LOC729603	-0.90025
C1orf71	0.64125
POLG	-1.6195
ADAM23	-3.96625
TFR2	-1.118
RICTOR	-0.4517
MGC39606	0.578
C19orf55	0.51875
SNAPC1	-0.903
GNA11	0.271625
CCDC52	0.253333333333333
FSIP1	2.0795
UPF3A	-0.004625
IGSF11	-2.65433333333333
LAGE3	0.6185
CHST6	-2.0845
UNC13B	1.75325
TTLL4	-1.084
ZNF687	-0.391
SDC2	0.2433
COX7A2	-0.17425
LAMB4	-0.00824999999999999
FAM24A	-0.1485
LRRTM3	-1.0096
GPHB5	-0.09275
OR4C13	0.2395
EIF3EIP	-0.460571428571429
HABP4	-1.0395
TMEM125	4.51175
CNTN2	-0.070375
ASNSD1	-0.3865
FUT4	0.3095
ACF	-2.50025
LOC158381	0.2085
CDH8	-0.546
AGPS	-1.10733333333333
C4orf18	3.82575
PECI	-0.634
UNG	-0.105875
GSTP1	-1.90175
DCUN1D5	-1.483
DKFZP564J0863	0.2325
SLC9A3R1	0.966625
BCDO2	-1.558125
CHMP7	-0.151
REM2	0.366
DNHD1	0.342125
FKBP4	-0.1225
ZNF350	3.80925
MGC11102	-0.45325
BST1	2.416
KISS1R	0.735
NCR2	0.1235
DEFB125	-0.0755
UBE2W	1.495125
KRT15	-1.82775
C10orf99	0.429
SCN11A	0.191125
GFI1	-0.46025
RDHE2	3.29383333333333
FHL1	-2.7195
OSGEP	-0.0266666666666667
GATA1	-3.59166666666667
SMC6	-0.355
TTTY14	-0.35125
LPIN3	0.2925
RPL4	-0.9632
RBPMS	-0.4368
PRPF3	-1.01183333333333
EMR1	-1.741
SPATA19	-0.0185
XCR1	0.194
IRX3	1.9902
RBM6	-0.46425
KLF4	-0.9343
UNC5CL	0.9375
SEBOX	0.4235
BTK	0.74
KRCC1	0.7505
C6orf27	0.264
SYTL5	-0.0915
PRND	-0.143375
LOC653319	-1.105
PIGL	-1.216625
HUS1	-0.4075
SFRS6	-0.666416666666667
C17orf77	0.202
UIMC1	-0.475166666666667
FXYD2	-0.8722
LOC283152	0.57175
ZNF667	2.06575
ZCCHC12	-0.847
TFEC	5.2058
ATP7B	-1.5625
POLD2	-1.0865
RG9MTD1	0.143
