Hybridization REF	TCGA-B6-A0RL-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.23908333333333
CREB3L1	0.624
RPS11	-0.081
PNMA1	0.37275
MMP2	-2.251
C10orf90	-1.79325
ZHX3	0.519333333333333
ERCC5	-0.553
GPR98	-2.509625
RXFP3	0.615
APBB2	1.05025
PRO0478	-0.547875
KLHL13	-2.92925
PRSSL1	0.833
PDCL3	0.3015
DECR1	-0.27125
SALL1	-4.515
CADM4	0.593666666666667
RPS18	-0.378
HNRPD	-0.516416666666667
CFHR5	0.424666666666667
SLC10A7	-0.084625
OR2K2	0.081
LMAN1	-0.22625
SUHW1	-4.076
CHD8	0.2292
SUMO1	0.1124
GP1BA	0.0782
DDB1	0.720666666666667
MYO9B	-0.4285
MMP7	4.382
CRNKL1	0.347125
C9orf45	-0.777
XAB2	-0.5725
RTN1	0.116625
KLHL14	-1.5245
TBX10	-1.3345
CENPQ	-0.75725
UTY	-0.878230769230769
ZBTB12	0.853
DTNBP1	0.6005
KBTBD8	-2.87583333333333
ZEB1	-1.9525
ZG16	-0.78875
MIER1	0.1543
ADAM5P	0.612
CHD9	-0.05
STK16	1.873
KIAA1486	0.0445
TOB2	0.757416666666667
BANK1	0.59225
OR2V2	0.0445
GRM2	-0.235166666666667
PROSC	2.540125
SPIN2B	0.657
PIR	-1.37877777777778
IPO9	0.0477
EVC	-0.557333333333333
CXCL13	2.36566666666667
KIAA1199	-1.7771
SORL1	1.03225
NAT10	0.0265
CHD1	0.4375
SYN3	-0.373
SLC22A2	-0.084
SERPINF1	-3.2715
WDR34	0.48025
OR7A17	0.4725
C9orf11	0.2235
RNF216L	0.4344
LHB	-0.393
STK25	-0.93375
TAOK3	1.473125
LOC152573	-2.91675
C3orf39	1.035375
C14orf108	0.033
CDC25B	-1.36345454545455
BMP3	-0.0505
TMEM180	-0.0065
MAP1LC3C	-0.4515
CRYGC	0.1175
POU3F1	-1.2801
C20orf32	-1.517
CCDC95	-0.0285
HIGD1B	1.4785
USP6NL	0.189125
ABCD4	0.0273333333333333
DIMT1L	-0.81475
TEK	-1.425625
SLC25A46	-0.81175
LARP7	-1.778
CD160	0.371333333333333
MT1JP	0.748666666666667
PHF20	0.846125
CPNE4	-0.571
GTPBP1	-0.869428571428571
RAB33B	0.424166666666667
ALDOC	-3.15525
ZNF212	0.3615
NUDT1	-0.299666666666667
RFPL2	-0.982
ZNF83	0.785166666666667
GDPD5	-2.253375
PDCD4	0.0508
CEP350	0.6095
OR10A2	0.43825
CST7	-1.032
CIAO1	-1.011
SELL	-0.270375
OR8J3	1.387
LTBP4	-1.27866666666667
SIRT6	-0.135
CCL19	2.893
PPIL1	-0.0296666666666667
GBP7	-0.0355
STK17A	-2.3347
ABR	-0.1125
OR9G1	0.2755
FOXE1	0.1255
CNGA3	3.1515
GML	0.436
CD38	-5.185
ZDHHC6	-0.354166666666667
NEFH	-3.8515
CTDSP2	1.11825
PGBD5	-0.571
CCNY	0.966214285714286
RMND5B	0.931583333333333
ZNF257	0.809
FLJ22167	-0.337125
EXOSC7	-0.238333333333333
ROR2	0.453875
MAOA	-1.15625
TNNT3	0.287666666666667
GYPC	-2.812
C7orf33	-0.011
PLIN	1.18616666666667
LOC90826	0.7955
RNF4	0.2499
F8A1	0.558833333333333
PLEKHG4	-0.9215
GRB2	0.65245
HIST1H2AD	0.05225
DUS3L	-0.549166666666667
EIF1	0.0685
RP5-1077B9.4	-0.868166666666666
FPGT	1.4255
GDF10	-1.57083333333333
COQ9	-0.29825
GCC2	0.275357142857143
RARRES3	2.679
PLXNA1	-0.4994
KIAA0100	0.6329
PMF1	-0.2525
FNDC1	0.9155
HS2ST1	-1.31133333333333
CRELD2	-0.2215
C8G	-1.4955
CD82	-1.153
LIM2	-1.6845
UNQ6490	-1.462
MMP16	-0.50275
DRD3	-0.03725
C5orf26	0.17175
C11orf73	-1.43825
PTP4A2	0.785625
OR4M2	-0.051
HPCA	-1.2782
SEC14L1	-1.12616666666667
CHFR	-0.366
EMILIN1	-0.13775
NDUFS4	-0.30425
COL18A1	-2.21675
PDZD3	0.2288
C9orf16	-1.09716666666667
ERBB2IP	0.3515
EMX2	0.1
FUS	-0.22775
TF	-4.2058
CLCN4	-0.309333333333333
CXorf56	1.18675
C11orf72	0.6335
ELAC2	-1.08658333333333
NPR1	-2.6045
ASS1	-3.80183333333333
USP42	0.702375
POLR2J	-0.582
SEC23IP	-0.162333333333333
UQCRC1	0.5225
LOC729603	-0.87
C1orf71	0.60725
POLG	-0.4705
ADAM23	-4.27825
TFR2	-2.36166666666667
RICTOR	-0.506
MGC39606	-0.843
C19orf55	0.248
SNAPC1	-0.875333333333333
GNA11	0.3515
CCDC52	0.729666666666667
FSIP1	3.985
UPF3A	-0.173375
IGSF11	-2.48533333333333
LAGE3	-0.26825
CHST6	-0.874
UNC13B	3.21375
TTLL4	-0.495875
ZNF687	0.5175
SDC2	-3.3158
COX7A2	0.714
LAMB4	0.26325
FAM24A	-0.03
LRRTM3	-0.694333333333333
GPHB5	-0.04425
OR4C13	0.031
EIF3EIP	-0.731785714285714
HABP4	-1.4265
TMEM125	3.62875
CNTN2	0.03125
ASNSD1	-1.03425
FUT4	-0.624375
ACF	-3.972
LOC158381	0.6535
CDH8	-0.53575
AGPS	1.87783333333333
C4orf18	-2.791375
PECI	0.107166666666667
UNG	0.116125
GSTP1	-4.01075
DCUN1D5	-2.29383333333333
DKFZP564J0863	-1.761
SLC9A3R1	1.158
BCDO2	-0.77425
CHMP7	-0.495375
REM2	-0.233
DNHD1	0.426125
FKBP4	0.529875
ZNF350	2.5215
MGC11102	-0.915125
BST1	0.502
KISS1R	-0.0295
NCR2	0.332
DEFB125	0.1245
UBE2W	1.40371428571429
KRT15	3.619375
C10orf99	0.454
SCN11A	0.295625
GFI1	-3.47775
RDHE2	1.50433333333333
FHL1	-3.38416666666667
OSGEP	-0.214833333333333
GATA1	-3.57083333333333
SMC6	-0.8465
TTTY14	-1.0415
LPIN3	0.61575
RPL4	-0.707
RBPMS	-1.5199
PRPF3	0.185
EMR1	-3.059
SPATA19	0.28075
XCR1	0.382
IRX3	2.1737
RBM6	0.70075
KLF4	-1.0396
UNC5CL	0.44075
SEBOX	0.2025
BTK	-2.31575
KRCC1	1.589
C6orf27	-0.1145
SYTL5	-1.3315
PRND	0.233
LOC653319	-1.7135
PIGL	-0.832875
HUS1	-0.812333333333333
SFRS6	0.4495
C17orf77	0.6535
UIMC1	0.0295
FXYD2	-2.0069
LOC283152	-1.3915
ZNF667	0.355
ZCCHC12	-0.00574999999999999
TFEC	1.5739
ATP7B	-0.436
POLD2	-0.515333333333333
RG9MTD1	0.09625
ACOT2	-0.0236666666666667
HIST1H4I	-0.288875
PPARGC1A	-3.5571
ETFA	-1.4118
POLRMT	-0.72925
ZNF146	0.527875
MIA2	-0.5205
KLHL6	-2.27783333333333
HOXB5	-2.302125
NENF	1.2735
CUGBP1	-0.094
PRSS22	1.42666666666667
CASC4	2.2417
CUL4B	-0.3327
CENPJ	-0.5571
PITX1	-0.313333333333333
FLJ31033	1.89266666666667
CELSR3	-0.1225
ZNF568	1.48025
ITSN1	-0.0794166666666667
EHBP1L1	-2.4185
C19orf2	0.7
DCTN1	0.252
LIN28B	-3.41266666666667
TNKS2	-0.98025
C1QBP	-1.248125
CADPS2	-1.4295
SRMS	0.6915
GJA9	0.417
MGC24975	1.16616666666667
TRIM45	1.2385
TSP50	2.90825
TCP1	-0.5695
TMED7	0.3707
CMA1	0.641
CENPL	-0.135
PTCRA	-0.4905
FST	-5.13175
VWCE	-4.04075
PAWR	0.6625
ABCC12	0.621
LDLR	-1.0562
ASTN2	0.2207
LOC441212	-0.14275
GPATCH8	0.14175
TANC2	0.1005
KIF4A	-0.71425
C18orf18	-0.792
PGM1	-0.9535
KIAA0258	1.99725
CPD	0.481375
SNCAIP	-2.19875
DCT	-4.48166666666667
HLA-DOA	1.33827272727273
OR11L1	0.3545
UPK1B	-0.352166666666667
DNAJB4	-2.04625
UGT1A8	-0.5635
HIST1H4L	-0.6575
PECR	-1.53766666666667
HSPA2	-0.58325
WFIKKN1	0.8105
SERP1	0.3055
SYDE2	2.09125
TACR2	1.1645
NUP85	-0.0255
CD177	-0.444833333333333
LGR5	-1.85116666666667
PIGG	0.21825
PTHR1	-2.3415
RAB5A	0.2647
FLJ13224	-0.1295
USP9Y	-1.21566666666667
C7orf53	-0.035
LRP1B	-0.85475
XAF1	1.4113
ABCG8	-0.1185
ANKDD1A	-0.304333333333333
DAND5	-1.2605
SPAG6	0.837833333333333
LINCR	0.00700000000000001
ZDHHC22	-1.548125
CCDC60	-0.0485
THOC7	-0.566
TCTA	-0.1708
OR8K3	0.30925
NY-REN-7	-0.412
B2M	0.7615
C6orf141	2.47225
LPPR4	-0.7955
SQLE	-0.88075
SEPHS1	0.003
BTBD14B	0.276
PLRG1	-0.12725
SPG7	-0.8231875
ZNF614	0.528
PARD6G	0.632166666666667
INPP5B	-1.0466
GRPEL2	0.096875
PPID	-0.3367
TRIM56	0.155
UBE2J1	-0.79675
IL20RA	1.39425
LOC387856	1.10075
C1orf107	0.85775
UTS2R	-0.1295
C19orf22	-0.7055
SAFB2	0.431125
KIAA0652	-0.094125
KLRG1	-1.3605
MS4A8B	2.7455
FRAG1	1.154
KIAA1546	0.06825
E2F4	-1.5337
CLEC4M	-0.055
BTBD14A	-0.9505
KIAA0999	-0.0518
GYPA	-3.44116666666667
TAC1	0.0112
TRAIP	0.000666666666666668
KIAA0232	0.9263
ERCC8	-0.492875
GPX4	0.149875
KIAA0368	-0.206625
GPR157	-1.0585
CTAGE4	0.7425
C9orf30	-1.4265
OR52A1	0.3095
HSP90B3P	-0.18
ALG9	-1.1631
BTBD10	0.7115
SDK2	-0.3525
BAIAP3	2.675
RABGGTB	-1.003375
ANKRD40	0.747
KRT74	1.0955
CALCOCO2	1.14214285714286
SNCA	-4.265
TMSL8	-1.7165
C2orf53	0.0975
ESRRB	-0.165
ARHGAP26	-2.555375
TDRD9	-3.37525
HRAS	0.568
KLRC4	-2.6465
JAGN1	-0.0598333333333333
BSDC1	0.54175
RNF43	0.7832
NDUFAF1	0.2255
PHF12	0.525
OR1L3	0.5695
FOLR2	0.582416666666667
LYZL6	0.306166666666667
tcag7.1260	-0.07
WSB1	-0.901333333333333
PROS1	-3.4348
OSTN	0.675
PSMB8	0.4655
SOCS4	-0.217125
DDIT4L	2.06866666666667
MAS1	0.0765
MGC34796	1.57125
CSHL1	0.161166666666667
TBCCD1	0.0466666666666667
ZBTB7C	0.4505
AP2S1	-0.466875
P15RS	-0.1023
VAT1	-0.5405
SHANK3	0.417333333333333
TUFM	0.0351666666666667
THEG	0.002
KRT34	-1.518
SGSM3	-0.411125
TOMM22	-0.812375
SOCS3	0.792833333333333
CPO	0.3035
POP4	0.13475
BHLHB3	-2.175
MALL	-1.20325
OR1B1	0.537
PARK2	0.7845
GPR124	-2.11025
LCE1E	0.3585
RUVBL2	-0.322
CGRRF1	0.4337
ACPL2	0.8625
WNT10B	-2.202
BAIAP2L2	-2.35525
ISCA1	0.152
C1orf125	0.906142857142857
RPAP1	0.14275
RAI16	-0.321666666666667
RPL27	-0.53175
NLRP9	-0.776
EPN1	0.1895
LOC388610	0.551125
SLC35A1	1.0241
GAL	-4.303
SLC14A2	0.1975
RDH11	-1.0375
FAM138F	-0.5045
AUH	-0.036
FLJ40243	-0.19875
C14orf129	0.0136666666666667
MBD2	-0.612
ABHD14B	-0.436625
PIGT	1.868625
ALS2CR4	-0.866875
ALAS1	0.2724
FOXO1	-0.319833333333333
CRLF3	-0.045375
C20orf107	0.4635
FARS2	1.056
CCDC28A	0.29625
NPHP3	-0.20775
OR13F1	0.828
TSEN54	-0.14975
DEFB106B	-0.0421
OR8B4	0.4975
STH	0.23675
ZC3H14	-0.128625
CBX2	-0.3165
TMEM49	-0.828
C6orf21	0.601
FLJ20920	0.759125
CRTAP	-0.161571428571429
DDX50	-0.52125
STYXL1	-0.2445
BLVRB	0.417333333333333
LOC147650	-0.782166666666667
MMP24	0.60275
GRID1	0.335333333333333
BANF1	-0.877666666666666
CTAGEP	0.325
HMBS	-2.5335
SLC25A24	1.43533333333333
C14orf50	1.844
MRO	-0.100666666666667
SLC25A15	-0.59375
FAM84B	1.4079
TDP1	-0.0925
C16orf78	0.381833333333333
C11orf57	-0.22775
RFK	0.16525
ZFYVE9	0.848375
STCH	-1.5229
WIBG	0.6135
LOC283871	0.189166666666667
GBA2	-0.0751
NDUFB3	-0.98575
HSD17B13	-0.523
GRIN3A	0.0205
FMNL1	-1.56683333333333
SEPT7	-0.2908
GNLY	0.062
GRAMD1C	1.293
ZNF165	1.19125
USP38	1.0625
FAM83A	-3.839
C14orf24	0.771333333333333
ARMCX3	0.15975
ARHGDIB	-0.217833333333333
AK1	0.409625
KIAA1045	-0.27475
DNAJB13	1.47333333333333
NEU2	0.363
HIST1H4B	-0.606166666666667
