Hybridization REF	TCGA-E2-A15R-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.18716666666667
CREB3L1	-0.312
RPS11	0.04525
PNMA1	1.33525
MMP2	-0.136333333333333
C10orf90	-1.9895
ZHX3	0.9535
ERCC5	-1.1205
GPR98	-2.112125
RXFP3	0.322
APBB2	1.3735
PRO0478	-0.622
KLHL13	-1.593
PRSSL1	-1.14233333333333
PDCL3	0.492166666666667
DECR1	0.430875
SALL1	-3.447
CADM4	0.482
RPS18	-0.417357142857143
HNRPD	-0.321166666666667
CFHR5	0.195666666666667
SLC10A7	0.727
OR2K2	0.3445
LMAN1	0.179625
SUHW1	-3.41975
CHD8	0.335
SUMO1	0.5293
GP1BA	-0.0994
DDB1	0.433333333333333
MYO9B	-0.5208
MMP7	6.053
CRNKL1	1.773375
C9orf45	-0.142333333333333
XAB2	0.944625
RTN1	0.89175
KLHL14	-1.2405
TBX10	-0.909
CENPQ	-0.90125
UTY	-1.26114285714286
ZBTB12	0.095
DTNBP1	-0.82975
KBTBD8	-2.21816666666667
ZEB1	-0.448833333333333
ZG16	-0.43375
MIER1	0.4638
ADAM5P	0.1975
CHD9	-0.4949375
STK16	1.0195
KIAA1486	-0.31
TOB2	0.180916666666667
BANK1	2.00675
OR2V2	0.22925
GRM2	0.291333333333333
PROSC	2.92075
SPIN2B	0.4545
PIR	-3.556
IPO9	-0.0098
EVC	-0.0236666666666667
CXCL13	0.576166666666667
KIAA1199	-0.9906
SORL1	-0.34125
NAT10	0.69775
CHD1	-0.4275
SYN3	-0.191
SLC22A2	-0.37825
SERPINF1	-1.29833333333333
WDR34	-0.078
OR7A17	0.35025
C9orf11	-0.152
RNF216L	-0.0453
LHB	-0.2525
STK25	-0.291
TAOK3	0.881125
LOC152573	-3.2765
C3orf39	1.153
C14orf108	0.351
CDC25B	-0.823363636363636
BMP3	0.417
TMEM180	0.234
MAP1LC3C	-0.1115
CRYGC	-0.232
POU3F1	-1.3071
C20orf32	-1.5205
CCDC95	-0.0245
HIGD1B	3.47875
USP6NL	-1.923125
ABCD4	-0.837333333333333
DIMT1L	-0.39025
TEK	1.033375
SLC25A46	-0.1635
LARP7	-1.2223
CD160	-0.119333333333333
MT1JP	-0.640166666666667
PHF20	0.1881875
CPNE4	-1.749
GTPBP1	-0.0874285714285714
RAB33B	1.20033333333333
ALDOC	-3.2495
ZNF212	0.08675
NUDT1	-0.6985
RFPL2	-0.25725
ZNF83	0.646666666666667
GDPD5	-2.0105
PDCD4	2.3072
CEP350	0.79475
OR10A2	0.252
CST7	-0.71
CIAO1	-0.895
SELL	-0.126625
OR8J3	0.1165
LTBP4	-0.638833333333333
SIRT6	-0.2
CCL19	3.3825
PPIL1	-0.356
GBP7	1.846
STK17A	-1.4128
ABR	0.3805
OR9G1	0.073
FOXE1	-0.583625
CNGA3	1.673
GML	0.2905
CD38	-4.03875
ZDHHC6	0.1805
NEFH	-2.73325
CTDSP2	0.733416666666667
PGBD5	0.948166666666667
CCNY	-0.483642857142857
RMND5B	0.97625
ZNF257	-1.51225
FLJ22167	0.665125
EXOSC7	-0.3045
ROR2	2.017375
MAOA	0.214
TNNT3	-0.161166666666667
GYPC	-1.996
C7orf33	0.237
PLIN	1.83533333333333
LOC90826	0.1245
RNF4	0.4827
F8A1	-0.8055
PLEKHG4	-1.38475
GRB2	0.58615
HIST1H2AD	1.6875
DUS3L	-0.347666666666667
EIF1	0.231166666666667
RP5-1077B9.4	-1.23016666666667
FPGT	2.3415
GDF10	-0.819333333333333
COQ9	-0.815
GCC2	0.663071428571429
RARRES3	1.0215
PLXNA1	0.1722
KIAA0100	0.935
PMF1	0.19325
FNDC1	4.28325
HS2ST1	-0.213416666666667
CRELD2	0.0275
C8G	-1.838
CD82	0.172
LIM2	-1.034
UNQ6490	0.537
MMP16	1.17625
DRD3	-0.1845
C5orf26	-0.02375
C11orf73	-0.866
PTP4A2	-0.195375
OR4M2	0.3525
HPCA	-0.729333333333333
SEC14L1	-0.647666666666667
CHFR	-0.313
EMILIN1	0.850875
NDUFS4	-0.1805
COL18A1	-0.173625
PDZD3	0.1332
C9orf16	-1.069
ERBB2IP	-0.166333333333333
EMX2	2.65025
FUS	-0.76875
TF	-3.7581
CLCN4	-1.08016666666667
CXorf56	1.01325
C11orf72	0.18525
ELAC2	-0.4835
NPR1	-1.2495
ASS1	-1.60933333333333
USP42	0.439125
POLR2J	0.089
SEC23IP	0.447166666666667
UQCRC1	0.047
LOC729603	-0.905
C1orf71	-0.842
POLG	-1.4855
ADAM23	-3.63175
TFR2	-1.51875
RICTOR	-0.7264
MGC39606	-0.5185
C19orf55	-0.280125
SNAPC1	-1.52566666666667
GNA11	0.947375
CCDC52	0.194833333333333
FSIP1	4.05
UPF3A	-0.735125
IGSF11	-2.5225
LAGE3	-0.14825
CHST6	-2.5545
UNC13B	1.694
TTLL4	-1.21975
ZNF687	0.384625
SDC2	-0.1532
COX7A2	-0.492
LAMB4	-0.26575
FAM24A	0.4285
LRRTM3	-0.861166666666667
GPHB5	-0.3145
OR4C13	0.5645
EIF3EIP	-0.0797142857142857
HABP4	-0.4805
TMEM125	0.8865
CNTN2	-0.286125
ASNSD1	0.3395
FUT4	-0.94375
ACF	-3.606
LOC158381	0.7645
CDH8	-0.28375
AGPS	-0.817833333333333
C4orf18	3.00675
PECI	-0.220416666666667
UNG	-0.00462499999999999
GSTP1	-2.91175
DCUN1D5	-2.25516666666667
DKFZP564J0863	-2.0235
SLC9A3R1	2.266875
BCDO2	-1.769625
CHMP7	-0.47425
REM2	1.2035
DNHD1	-0.236625
FKBP4	1.08375
ZNF350	1.0955
MGC11102	-0.84425
BST1	-0.035
KISS1R	0.294
NCR2	0.428
DEFB125	-0.5245
UBE2W	1.923625
KRT15	0.691375
C10orf99	0.0905
SCN11A	0.1975
GFI1	-3.42525
RDHE2	-0.459166666666667
FHL1	-1.649
OSGEP	-0.729
GATA1	-3.50066666666667
SMC6	-1.24675
TTTY14	-0.9505
LPIN3	0.08125
RPL4	-0.43
RBPMS	-0.6326
PRPF3	-0.494833333333333
EMR1	-1.8175
SPATA19	0.0605
XCR1	0.0445
IRX3	1.7386
RBM6	-0.8665
KLF4	-1.1355
UNC5CL	-0.01525
SEBOX	-0.0695
BTK	-1.81175
KRCC1	1.8455
C6orf27	0.194
SYTL5	-0.328
PRND	0.897625
LOC653319	-1.7905
PIGL	-0.00937499999999999
HUS1	-0.6575
SFRS6	-0.526833333333333
C17orf77	0.1785
UIMC1	-0.651333333333333
FXYD2	-1.9618
LOC283152	-1.5095
ZNF667	-1.3715
ZCCHC12	-0.652
TFEC	1.704
ATP7B	0.188666666666667
POLD2	-0.427833333333333
RG9MTD1	0.307
ACOT2	0.9645
HIST1H4I	-0.54175
PPARGC1A	-3.0143
ETFA	-1.8998
POLRMT	-0.044
ZNF146	-0.074875
MIA2	-1.712
KLHL6	-2.02866666666667
HOXB5	0.32725
NENF	1.19183333333333
CUGBP1	-0.482
PRSS22	0.472
CASC4	1.945
CUL4B	-0.0486
CENPJ	-1.3313
PITX1	0.108
FLJ31033	0.685
CELSR3	0.721333333333333
ZNF568	1.12525
ITSN1	-0.101166666666667
EHBP1L1	-2.5695
C19orf2	0.17175
DCTN1	0.49275
LIN28B	-4.021
TNKS2	0.13775
C1QBP	-0.5375
CADPS2	-1.318
SRMS	0.5955
GJA9	0.362166666666667
MGC24975	-0.0113333333333333
TRIM45	-0.115
TSP50	0.07925
TCP1	-1.122
TMED7	0.8358
CMA1	0.291
CENPL	-0.1135
PTCRA	0.0005
FST	-4.175
VWCE	-4.1365
PAWR	-0.865
ABCC12	0.203166666666667
LDLR	-1.1558
ASTN2	2.0052
LOC441212	-0.220125
GPATCH8	0.089
TANC2	-0.400416666666667
KIF4A	-1.50925
C18orf18	-2.09725
PGM1	0.2025
KIAA0258	-0.2745
CPD	1.65875
SNCAIP	-1.17175
DCT	-4.4555
HLA-DOA	2.06159090909091
OR11L1	0.322
UPK1B	-0.143666666666667
DNAJB4	-0.16275
UGT1A8	0.0295
HIST1H4L	-4.394
PECR	-0.320333333333333
HSPA2	-0.49
WFIKKN1	-1.19
SERP1	0.86475
SYDE2	2.94125
TACR2	0.128
NUP85	-0.78275
CD177	-0.587333333333333
LGR5	-1.91033333333333
PIGG	-0.0639166666666667
PTHR1	-1.73933333333333
RAB5A	0.8204
FLJ13224	-0.0615
USP9Y	-1.5265
C7orf53	-1.369
LRP1B	-0.552
XAF1	0.4748
ABCG8	-0.407
ANKDD1A	-0.992
DAND5	-1.075
SPAG6	1.28433333333333
LINCR	-0.3975
ZDHHC22	0.757875
CCDC60	0.6195
THOC7	-0.972833333333333
TCTA	1.34
OR8K3	0.07825
NY-REN-7	-0.2745
B2M	-0.610833333333333
C6orf141	-0.60775
LPPR4	3.56725
SQLE	0.6315
SEPHS1	-1.49975
BTBD14B	0.565857142857143
PLRG1	-0.5135
SPG7	-0.572375
ZNF614	-0.0158333333333333
PARD6G	0.679333333333333
INPP5B	-1.1672
GRPEL2	-0.369625
PPID	-0.5136
TRIM56	-0.262
UBE2J1	-1.1315
IL20RA	5.57325
LOC387856	1.1345
C1orf107	1.04758333333333
UTS2R	0.258
C19orf22	0.44725
SAFB2	-0.608
KIAA0652	1.609625
KLRG1	-1.90516666666667
MS4A8B	3.5
FRAG1	1.41175
KIAA1546	0.24175
E2F4	-1.3993
CLEC4M	0.194666666666667
BTBD14A	-0.71
KIAA0999	0.4548
GYPA	-3.76283333333333
TAC1	1.2727
TRAIP	-0.578166666666667
KIAA0232	1.5416
ERCC8	-0.969125
GPX4	1.789625
KIAA0368	0.6075
GPR157	-0.806833333333333
CTAGE4	0.2435
C9orf30	-1.17283333333333
OR52A1	0.19
HSP90B3P	-0.3935
ALG9	-0.4111
BTBD10	1.788
SDK2	-0.40975
BAIAP3	1.95575
RABGGTB	1.009375
ANKRD40	0.298833333333333
KRT74	0.296
CALCOCO2	0.424857142857143
SNCA	-3.66875
