Hybridization REF	TCGA-A2-A04V-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.238166666666667
CREB3L1	1.007
RPS11	0.705
PNMA1	0.435
MMP2	1.00166666666667
C10orf90	-1.665
ZHX3	-0.0201666666666667
ERCC5	0.658
GPR98	0.846375
RXFP3	0.4195
APBB2	1.53
PRO0478	-1.06625
KLHL13	-2.8575
PRSSL1	-0.702833333333333
PDCL3	-0.130666666666667
DECR1	-0.310875
SALL1	-3.97216666666667
CADM4	0.837833333333333
RPS18	0.619785714285714
HNRPD	-0.5035
CFHR5	-0.0126666666666667
SLC10A7	-0.191
OR2K2	0.1435
LMAN1	-1.66175
SUHW1	-4.03675
CHD8	0.6466
SUMO1	0.6421
GP1BA	0.1438
DDB1	0.101
MYO9B	-0.1018
MMP7	5.65375
CRNKL1	1.12
C9orf45	-0.7315
XAB2	0.78275
RTN1	1.676875
KLHL14	-1.305125
TBX10	-1.383
CENPQ	-1.06775
UTY	-1.28116666666667
ZBTB12	-1.0565
DTNBP1	-0.685875
KBTBD8	-2.25116666666667
ZEB1	0.6695
ZG16	-1.01925
MIER1	0.6499
ADAM5P	null
CHD9	-0.59
STK16	-0.02025
KIAA1486	-0.294
TOB2	0.312916666666667
BANK1	2.016
OR2V2	0.5565
GRM2	-0.2245
PROSC	1.32825
SPIN2B	0.341
PIR	-3.31444444444444
IPO9	-0.0843
EVC	0.800833333333333
CXCL13	2.451
KIAA1199	-0.1511
SORL1	1.53275
NAT10	-0.1845
CHD1	1.5295
SYN3	-1.088
SLC22A2	-0.00324999999999999
SERPINF1	1.265
WDR34	-0.2795
OR7A17	0.1585
C9orf11	-0.7905
RNF216L	-0.053
LHB	0.5545
STK25	-0.01725
TAOK3	1.642125
LOC152573	-2.917
C3orf39	-0.113625
C14orf108	-0.1198
CDC25B	-1.836
BMP3	-0.3135
TMEM180	0.156
MAP1LC3C	-0.13175
CRYGC	-0.442
POU3F1	-1.4408
C20orf32	-1.6055
CCDC95	-0.0495
HIGD1B	4.1575
USP6NL	-0.406375
ABCD4	0.245166666666667
DIMT1L	-0.919083333333333
TEK	1.26275
SLC25A46	-1.1725
LARP7	-1.1615
CD160	0.18
MT1JP	-0.144166666666667
PHF20	0.310875
CPNE4	-1.7705
GTPBP1	-0.787714285714286
RAB33B	1.56533333333333
ALDOC	-1.963875
ZNF212	-0.32025
NUDT1	-1.24683333333333
RFPL2	-0.632
ZNF83	0.830333333333333
GDPD5	-1.785
PDCD4	1.427
CEP350	0.47375
OR10A2	-0.29225
CST7	-0.13025
CIAO1	-1.20525
SELL	0.734
OR8J3	-0.835
LTBP4	-0.226666666666667
SIRT6	0.00299999999999999
CCL19	4.627
PPIL1	-2.05
GBP7	-0.4335
STK17A	-1.0341
ABR	-0.2305
OR9G1	0.724
FOXE1	-0.98225
CNGA3	1.6265
GML	0.5925
CD38	-3.0945
ZDHHC6	0.261333333333333
NEFH	-2.51475
CTDSP2	1.47908333333333
PGBD5	-2.32016666666667
CCNY	0.719142857142857
RMND5B	0.5895
ZNF257	-1.19
FLJ22167	-0.9475
EXOSC7	-0.538333333333333
ROR2	1.703375
MAOA	-0.134
TNNT3	2.0405
GYPC	-1.217
C7orf33	1.3745
PLIN	4.06233333333333
LOC90826	0.36075
RNF4	0.1585
F8A1	0.5395
PLEKHG4	-0.2215
GRB2	1.546
HIST1H2AD	-0.4075
DUS3L	-0.837166666666667
EIF1	-0.360833333333333
RP5-1077B9.4	-0.945833333333333
FPGT	0.77575
GDF10	-0.650166666666667
COQ9	-0.743
GCC2	0.4915
RARRES3	3.020125
PLXNA1	-0.4658
KIAA0100	0.0596
PMF1	-0.258
FNDC1	5.84
HS2ST1	-0.583083333333333
CRELD2	-0.39725
C8G	-1.8655
CD82	0.99025
LIM2	-1.069
UNQ6490	0.6555
MMP16	0.28375
DRD3	-0.26475
C5orf26	-0.20875
C11orf73	-0.853125
PTP4A2	1.164875
OR4M2	0.442
HPCA	-1.07583333333333
SEC14L1	-1.384
CHFR	-0.166
EMILIN1	1.2675
NDUFS4	-0.456
COL18A1	0.0675
PDZD3	-0.2272
C9orf16	0.018
ERBB2IP	0.738833333333333
EMX2	4.54025
FUS	-0.41425
TF	-4.5644
CLCN4	-1.03183333333333
CXorf56	-0.95575
C11orf72	0.14925
ELAC2	-1.17608333333333
NPR1	-0.442
ASS1	-3.04016666666667
USP42	0.770875
POLR2J	-0.5975
SEC23IP	0.968666666666667
UQCRC1	-0.33325
LOC729603	-0.9915
C1orf71	-0.076125
POLG	-1.7815
ADAM23	-3.001
TFR2	-1.6895
RICTOR	-0.929888888888889
MGC39606	-0.07825
C19orf55	-0.255375
SNAPC1	-1.68516666666667
GNA11	1.12125
CCDC52	0.86
FSIP1	6.906
UPF3A	0.186875
IGSF11	-2.6542
LAGE3	-0.667
CHST6	-0.2175
UNC13B	1.133125
TTLL4	-1.2755
ZNF687	0.189
SDC2	-0.2947
COX7A2	-0.018
LAMB4	-0.46825
FAM24A	-0.571
LRRTM3	-0.885
GPHB5	0.455
OR4C13	-0.5445
EIF3EIP	-0.0685
HABP4	-0.948
TMEM125	2.4695
CNTN2	-0.0784285714285714
ASNSD1	-0.12025
FUT4	-0.244625
ACF	-3.86575
LOC158381	0.044
CDH8	0.6895
AGPS	-0.197833333333333
C4orf18	2.850625
PECI	0.147666666666667
UNG	-0.54875
GSTP1	-2.34525
DCUN1D5	-2.4055
DKFZP564J0863	-0.94575
SLC9A3R1	0.782375
BCDO2	-0.8685
CHMP7	-0.73675
REM2	0.584
DNHD1	-0.801625
FKBP4	0.120125
ZNF350	2.0745
MGC11102	0.251875
BST1	1.32175
KISS1R	1.272
NCR2	1.427
DEFB125	-0.3255
UBE2W	1.2715
KRT15	0.687375
C10orf99	0.069
SCN11A	-0.269
GFI1	-2.97475
RDHE2	1.98083333333333
