Hybridization REF	TCGA-BH-A0B7-11A-34R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.271083333333333
CREB3L1	-0.18925
RPS11	0.607875
PNMA1	-0.2635
MMP2	0.38
C10orf90	0.69225
ZHX3	-0.480333333333333
ERCC5	0.46375
GPR98	0.592
RXFP3	0.1595
APBB2	0.64875
PRO0478	-0.2085
KLHL13	2.2285
PRSSL1	-1.30883333333333
PDCL3	0.1715
DECR1	-0.38025
SALL1	-4.04916666666667
CADM4	0.199833333333333
RPS18	0.241642857142857
HNRPD	0.07575
CFHR5	-0.163333333333333
SLC10A7	0.47375
OR2K2	0.5055
LMAN1	-1.307875
SUHW1	-3.04925
CHD8	-0.3047
SUMO1	-0.3746
GP1BA	0.3351
DDB1	-0.368166666666667
MYO9B	-0.2921
MMP7	6.90225
CRNKL1	0.20675
C9orf45	-0.766333333333333
XAB2	0.00925
RTN1	1.715
KLHL14	-0.56075
TBX10	-1.612
CENPQ	-1.755
UTY	-1.59807692307692
ZBTB12	-0.332
DTNBP1	-0.141125
KBTBD8	-1.9835
ZEB1	-1.48266666666667
ZG16	-1.4205
MIER1	-0.2368
ADAM5P	0.6045
CHD9	0.2145
STK16	-0.94475
KIAA1486	0.176
TOB2	0.468833333333333
BANK1	2.563
OR2V2	-0.148666666666667
GRM2	0.290666666666667
PROSC	0.312375
SPIN2B	0.03725
PIR	-2.60133333333333
IPO9	-0.9454
EVC	0.918333333333333
CXCL13	6.82883333333333
KIAA1199	-4.3665
SORL1	1.36775
NAT10	-0.474
CHD1	-0.84425
SYN3	-1.24075
SLC22A2	-0.2965
SERPINF1	0.409
WDR34	-0.8085
OR7A17	-0.0145
C9orf11	-1.087
RNF216L	-0.5044
LHB	-0.2755
STK25	0.3665
TAOK3	0.934625
LOC152573	-2.68675
C3orf39	0.768
C14orf108	0.3301
CDC25B	-1.74654545454545
BMP3	0.7125
TMEM180	-0.429
MAP1LC3C	1.3115
CRYGC	-0.204
POU3F1	-1.4172
C20orf32	-2.111
CCDC95	-0.088
HIGD1B	3.59575
USP6NL	-0.095125
ABCD4	0.29
DIMT1L	-0.2585
TEK	1.116875
SLC25A46	-0.718
LARP7	-1.2084
CD160	1.295
MT1JP	0.655833333333333
PHF20	-0.3298125
CPNE4	-2.547
GTPBP1	-0.118428571428571
RAB33B	0.734
ALDOC	-1.2615
ZNF212	0.111
NUDT1	-1.23316666666667
RFPL2	-1.02475
ZNF83	0.687333333333333
GDPD5	0.079875
PDCD4	2.34395
CEP350	-0.34575
OR10A2	0.05
CST7	-0.38025
CIAO1	-1.13425
SELL	0.1505
OR8J3	0.6845
LTBP4	0.497666666666667
SIRT6	-0.2745
CCL19	3.27525
PPIL1	-1.50383333333333
GBP7	0.4745
STK17A	-0.7098
ABR	0.8235
OR9G1	0.377
FOXE1	-0.951875
CNGA3	-0.0565
GML	-0.1855
CD38	-2.658
ZDHHC6	-0.0266666666666667
NEFH	-1.172
CTDSP2	1.61816666666667
PGBD5	-1.4345
CCNY	0.241571428571429
RMND5B	0.041
ZNF257	-1.71425
FLJ22167	0.507
EXOSC7	-0.2385
ROR2	1.35525
MAOA	2.316375
TNNT3	1.735
GYPC	0.0085
C7orf33	-1.4095
PLIN	4.36333333333333
LOC90826	-0.10425
RNF4	-0.3064
F8A1	0.2955
PLEKHG4	0.5775
GRB2	-0.4831
HIST1H2AD	-1.0095
DUS3L	-0.211833333333333
EIF1	-0.2655
RP5-1077B9.4	-0.784166666666667
FPGT	0.72925
GDF10	3.2865
COQ9	-0.054
GCC2	0.256285714285714
RARRES3	2.04
PLXNA1	0.0062
KIAA0100	-0.536
PMF1	-0.159
FNDC1	3.00225
HS2ST1	0.103833333333333
CRELD2	0.16375
C8G	-1.8485
CD82	1.53125
LIM2	-1.4425
UNQ6490	-0.745
MMP16	0.57825
DRD3	0.0425
C5orf26	0.55225
C11orf73	-0.747375
PTP4A2	-0.147375
OR4M2	0.6155
HPCA	-0.552666666666667
SEC14L1	-0.569833333333333
CHFR	-0.599125
EMILIN1	0.306625
NDUFS4	-0.52175
COL18A1	-0.064125
PDZD3	-0.0861
C9orf16	-0.607166666666667
ERBB2IP	0.104333333333333
EMX2	3.8725
FUS	0.01925
TF	-2.2624
CLCN4	0.216666666666667
CXorf56	0.972
C11orf72	0.631
ELAC2	-0.28525
NPR1	0.81225
ASS1	-0.919666666666667
USP42	-0.060375
POLR2J	-0.7005
SEC23IP	0.148333333333333
UQCRC1	-0.16425
LOC729603	-0.51775
C1orf71	-1.02675
POLG	-2.524
ADAM23	-4.12025
TFR2	-1.5105
RICTOR	-0.4432
MGC39606	1.995
C19orf55	-0.508125
SNAPC1	-1.3335
GNA11	1.32125
CCDC52	-0.157666666666667
FSIP1	2.5245
UPF3A	0.137375
IGSF11	-2.22966666666667
LAGE3	-1.047
CHST6	-3.4045
UNC13B	0.6135
TTLL4	0.02125
ZNF687	0.36175
SDC2	-0.2041
COX7A2	-1.057
LAMB4	-0.6195
FAM24A	0.3785
LRRTM3	-1.77983333333333
GPHB5	0.07225
OR4C13	-0.778
EIF3EIP	0.341428571428571
HABP4	0.079
TMEM125	3.406
CNTN2	0.764
ASNSD1	-0.16
FUT4	0.50275
ACF	-2.8355
LOC158381	0.324
CDH8	-0.1635
AGPS	-1.50583333333333
C4orf18	3.094
PECI	-0.36325
UNG	-0.25775
GSTP1	-0.266
DCUN1D5	-1.3725
DKFZP564J0863	-1.88925
SLC9A3R1	0.89225
BCDO2	0.183125
CHMP7	0.521625
REM2	0.043
DNHD1	-0.473875
FKBP4	-0.1615
ZNF350	1.2915
MGC11102	-0.603375
BST1	0.49575
KISS1R	0.714
NCR2	-0.1085
DEFB125	1.47
UBE2W	-0.12025
KRT15	4.6255
C10orf99	0.579
SCN11A	0.640375
GFI1	-1.39825
RDHE2	1.90866666666667
FHL1	0.797333333333333
OSGEP	-0.188166666666667
GATA1	-3.95
SMC6	-1.8125
TTTY14	-1.10325
LPIN3	0.25325
RPL4	0.4791
RBPMS	0.5161
PRPF3	-0.207333333333333
EMR1	-3.0175
SPATA19	0.00275000000000001
XCR1	1.1085
IRX3	2.878
RBM6	0.54775
