Hybridization REF	TCGA-B6-A0IJ-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.587
CREB3L1	0.11425
RPS11	0.2685
PNMA1	-0.692
MMP2	-0.849333333333333
C10orf90	-1.67225
ZHX3	-0.0673333333333333
ERCC5	0.2905
GPR98	-1.95025
RXFP3	0.065
APBB2	-0.3355
PRO0478	-1.925875
KLHL13	-1.48925
PRSSL1	-0.702333333333333
PDCL3	0.428833333333333
DECR1	-0.517625
SALL1	-4.56416666666667
CADM4	-0.361
RPS18	0.448071428571428
HNRPD	-0.44
CFHR5	1.2854
SLC10A7	-0.3195
OR2K2	0.655
LMAN1	-0.264375
SUHW1	-4.156
CHD8	-0.7317
SUMO1	1.0104
GP1BA	2.0424
DDB1	-0.391
MYO9B	0.1108
MMP7	8.00875
CRNKL1	-0.02
C9orf45	-1.86183333333333
XAB2	-0.552375
RTN1	2.03875
KLHL14	-0.8415
TBX10	-0.422
CENPQ	-0.14725
UTY	-0.626166666666667
ZBTB12	0.09
DTNBP1	0.00112500000000001
KBTBD8	-0.540833333333333
ZEB1	-1.0065
ZG16	-1.59625
MIER1	0.3941
ADAM5P	1.1705
CHD9	-1.1183125
STK16	1.08325
KIAA1486	-0.371
TOB2	0.715
BANK1	4.5465
OR2V2	0.18575
GRM2	-0.157333333333333
PROSC	0.019125
SPIN2B	0.41375
PIR	-1.06688888888889
IPO9	-0.1783
EVC	-0.889166666666667
CXCL13	7.77266666666667
KIAA1199	-1.7972
SORL1	0.60975
NAT10	-0.4595
CHD1	-0.41975
SYN3	-0.73975
SLC22A2	-0.968
SERPINF1	-0.349166666666667
WDR34	-0.4725
OR7A17	-0.69325
C9orf11	0.433
RNF216L	-0.4394
LHB	0.3565
STK25	0.189625
TAOK3	0.996
LOC152573	-1.73675
C3orf39	-0.163
C14orf108	-0.1689
CDC25B	0.127818181818182
BMP3	0.7015
TMEM180	-0.5615
MAP1LC3C	-0.0345
CRYGC	-0.6815
POU3F1	-0.8415
C20orf32	-1.443
CCDC95	-0.517
HIGD1B	2.69525
USP6NL	1.28925
ABCD4	-0.734666666666667
DIMT1L	-0.35625
TEK	0.57025
SLC25A46	-0.1315
LARP7	-1.5993
CD160	1.32983333333333
MT1JP	-0.964166666666667
PHF20	-0.6859375
CPNE4	-1.39275
GTPBP1	0.368928571428571
RAB33B	0.996
ALDOC	-2.606875
ZNF212	-0.49475
NUDT1	-0.644833333333333
RFPL2	-0.448
ZNF83	-1.139
GDPD5	-0.812625
PDCD4	1.22895
CEP350	0.6555
OR10A2	-0.5035
CST7	2.1245
CIAO1	-0.0185
SELL	1.98675
OR8J3	0.3635
LTBP4	-0.486166666666667
SIRT6	0.20675
CCL19	5.2615
PPIL1	-0.555333333333333
GBP7	2.095
STK17A	-0.7289
ABR	0.0985
OR9G1	0.4875
FOXE1	-0.961375
CNGA3	-1.3995
GML	0.319
CD38	2.5715
ZDHHC6	-0.2475
NEFH	-2.3575
CTDSP2	0.0109166666666667
PGBD5	3.39016666666667
CCNY	0.585928571428571
RMND5B	-0.0948333333333333
ZNF257	-3.255
FLJ22167	0.0245
EXOSC7	-0.439
ROR2	-0.108125
MAOA	-0.997875
TNNT3	-0.681166666666667
GYPC	0.54475
C7orf33	0.7905
PLIN	0.0721666666666667
LOC90826	-0.92775
RNF4	-0.4031
F8A1	0.692166666666667
PLEKHG4	0.262
GRB2	-0.16055
HIST1H2AD	0.60225
DUS3L	-0.857833333333333
EIF1	-0.0601666666666667
RP5-1077B9.4	-0.300833333333333
FPGT	0.86925
GDF10	-2.00766666666667
COQ9	-0.40575
GCC2	-0.143571428571429
RARRES3	2.47425
PLXNA1	0.3777
KIAA0100	-0.9249
PMF1	0.0285
FNDC1	5.76875
HS2ST1	0.0786666666666666
CRELD2	0.5695
C8G	0.8845
CD82	0.999
LIM2	-3.1145
UNQ6490	0.068
MMP16	-0.5435
DRD3	-0.589
C5orf26	-0.791
C11orf73	0.181125
PTP4A2	0.43225
OR4M2	0.9245
HPCA	-1.39133333333333
SEC14L1	-0.078
CHFR	-0.181625
EMILIN1	0.637875
NDUFS4	-0.051
COL18A1	-0.22625
PDZD3	-0.1728
C9orf16	0.2005
ERBB2IP	-0.3235
EMX2	-0.957
FUS	-1.31475
TF	-2.6464
CLCN4	2.05166666666667
CXorf56	-0.09825
C11orf72	0.57325
ELAC2	-0.32525
NPR1	-0.667
ASS1	1.28066666666667
USP42	-0.33925
POLR2J	-0.8255
SEC23IP	0.00533333333333332
UQCRC1	-0.53225
LOC729603	-1.17875
C1orf71	-0.22
POLG	-0.8475
ADAM23	-3.6115
TFR2	-1.32425
RICTOR	-0.7864
MGC39606	1.18
C19orf55	-0.3135
SNAPC1	-0.8185
GNA11	0.361
CCDC52	-0.212833333333333
FSIP1	-0.5595
UPF3A	-0.566
IGSF11	-2.57416666666667
LAGE3	0.67225
CHST6	-1.912
UNC13B	-0.626875
TTLL4	0.847625
ZNF687	0.223625
SDC2	-1.0085
COX7A2	0.0285
LAMB4	0.49275
FAM24A	-1.208
LRRTM3	-1.405
GPHB5	0.13225
OR4C13	-0.251
EIF3EIP	1.36435714285714
HABP4	-1.868
TMEM125	0.89375
CNTN2	0.646875
ASNSD1	0.208
FUT4	-0.408
ACF	-3.32825
LOC158381	-0.283
CDH8	-0.598
AGPS	-0.0373333333333333
C4orf18	-0.014
PECI	-2.31791666666667
UNG	-0.705625
GSTP1	0.13
DCUN1D5	-0.710666666666667
DKFZP564J0863	0.226
SLC9A3R1	-0.10375
BCDO2	0.034
CHMP7	-1.0265
REM2	0.03
DNHD1	-0.31925
FKBP4	-0.540375
ZNF350	1.52375
MGC11102	0.514375
BST1	0.942
KISS1R	1.625
NCR2	0.437
DEFB125	0.426
UBE2W	0.589
KRT15	2.44625
C10orf99	0.4735
