Hybridization REF	TCGA-AO-A0J3-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.507916666666667
CREB3L1	0.2015
RPS11	-0.334125
PNMA1	1.6005
MMP2	-1.53233333333333
C10orf90	-0.74025
ZHX3	0.1135
ERCC5	0.06175
GPR98	0.654625
RXFP3	0.2905
APBB2	1.883
PRO0478	-0.756875
KLHL13	0.04025
PRSSL1	-0.752
PDCL3	0.740833333333333
DECR1	0.171875
SALL1	-4.06316666666667
CADM4	1.1435
RPS18	0.203142857142857
HNRPD	-0.550333333333333
CFHR5	0.785333333333333
SLC10A7	0.74125
OR2K2	-2.545
LMAN1	-1.888
SUHW1	-3.775
CHD8	0.622
SUMO1	0.9039
GP1BA	0.7684
DDB1	0.985833333333333
MYO9B	-0.8452
MMP7	4.34125
CRNKL1	1.277625
C9orf45	-1.96066666666667
XAB2	-0.2205
RTN1	2.29628571428571
KLHL14	0.2615
TBX10	-1.2115
CENPQ	-1.34225
UTY	-1.0815
ZBTB12	0.3825
DTNBP1	-0.0747500000000001
KBTBD8	-2.79666666666667
ZEB1	-1.008
ZG16	0.41125
MIER1	-0.0407
ADAM5P	-0.266
CHD9	0.205625
STK16	1.9165
KIAA1486	-0.431
TOB2	0.619916666666667
BANK1	0.00274999999999997
OR2V2	0.2145
GRM2	0.00516666666666667
PROSC	3.07925
SPIN2B	1.8385
PIR	-0.428666666666667
IPO9	0.1612
EVC	-1.66
CXCL13	2.539
KIAA1199	-0.4133
SORL1	1.0525
NAT10	0.19925
CHD1	-0.0755
SYN3	-0.691
SLC22A2	-0.69075
SERPINF1	-2.17233333333333
WDR34	0.54275
OR7A17	0.165
C9orf11	1.6825
RNF216L	0.1537
LHB	-0.3365
STK25	-0.381625
TAOK3	0.6335
LOC152573	-3.07
C3orf39	0.5145
C14orf108	0.7755
CDC25B	0.588363636363636
BMP3	0.0765
TMEM180	0.01
MAP1LC3C	-1.17175
CRYGC	0.4365
POU3F1	-0.4984
C20orf32	-1.5545
CCDC95	-0.1845
HIGD1B	4.4
USP6NL	-0.928125
ABCD4	-0.212833333333333
DIMT1L	-0.326583333333333
TEK	0.879125
SLC25A46	-0.61775
LARP7	-0.6931
CD160	0.692833333333333
MT1JP	-1.90033333333333
PHF20	-0.1886875
CPNE4	-2.11125
GTPBP1	-0.424428571428571
RAB33B	2.0335
ALDOC	-2.096875
ZNF212	0.282
NUDT1	-0.665
RFPL2	-1.34125
ZNF83	-0.301
GDPD5	-2.2435
PDCD4	1.61525
CEP350	-0.10075
OR10A2	0.66175
CST7	-0.3355
CIAO1	-1.018
SELL	0.0655
OR8J3	0.676
LTBP4	-0.996
SIRT6	0.425
CCL19	1.8255
PPIL1	-0.576
GBP7	0.497666666666667
STK17A	-1.176
ABR	0.044
OR9G1	0.5775
FOXE1	-1.047875
CNGA3	2.5115
GML	-0.058
CD38	-2.98575
ZDHHC6	0.292166666666667
NEFH	-3.55625
CTDSP2	-0.311
PGBD5	-2.32866666666667
CCNY	0.765714285714286
RMND5B	0.592083333333333
ZNF257	-1.59375
FLJ22167	0.4405
EXOSC7	-0.929833333333333
ROR2	-1.377875
MAOA	0.40325
TNNT3	-0.341333333333333
GYPC	-2.029
C7orf33	0.331
PLIN	0.169333333333333
LOC90826	0.882
RNF4	-0.386
F8A1	1.3405
PLEKHG4	-0.83525
GRB2	-0.0504
HIST1H2AD	1.12
DUS3L	-1.38116666666667
EIF1	-1.04583333333333
RP5-1077B9.4	-0.663833333333333
FPGT	1.99075
GDF10	-2.94016666666667
COQ9	0.051
GCC2	0.0187142857142857
RARRES3	2.008125
PLXNA1	-0.8302
KIAA0100	-0.00570000000000001
PMF1	-0.06675
FNDC1	3.224
HS2ST1	-0.4105
CRELD2	0.535
C8G	-1.7645
CD82	-0.581
LIM2	-1.1145
UNQ6490	0.105
MMP16	-0.74775
DRD3	-0.138
C5orf26	0.048
C11orf73	-0.1225
PTP4A2	0.43725
OR4M2	0.6145
HPCA	-0.443
SEC14L1	-1.05283333333333
CHFR	0.235125
EMILIN1	0.4745
NDUFS4	0.25975
COL18A1	-1.13475
PDZD3	-0.0966
C9orf16	0.672333333333333
ERBB2IP	0.0923333333333333
EMX2	1.60075
FUS	-0.84275
TF	-4.1776
CLCN4	-1.2805
CXorf56	0.124
C11orf72	0.73625
ELAC2	-0.758583333333333
NPR1	-0.95875
ASS1	-4.12966666666667
USP42	0.79875
POLR2J	0.363
SEC23IP	1.07533333333333
UQCRC1	-0.42175
LOC729603	-1.01875
C1orf71	0.863375
POLG	-1.1915
ADAM23	-4.5165
TFR2	-1.86725
RICTOR	-0.6206
MGC39606	2.24075
C19orf55	-0.388625
SNAPC1	-1.20283333333333
GNA11	0.558
CCDC52	-0.196166666666667
FSIP1	5.118
UPF3A	0.8215
IGSF11	-2.476
LAGE3	-0.254
CHST6	-3.432
UNC13B	0.000250000000000007
TTLL4	-1.2165
ZNF687	0.00825
SDC2	-2.8978
COX7A2	0.419
LAMB4	-0.87675
FAM24A	0.143
LRRTM3	-1.12983333333333
GPHB5	-0.06675
OR4C13	-0.0995
EIF3EIP	-0.353357142857143
HABP4	-0.7665
TMEM125	2.77125
CNTN2	0.106375
ASNSD1	-0.3925
FUT4	-1.50125
ACF	-3.80375
LOC158381	0.099
CDH8	-1.3235
AGPS	-0.520666666666667
C4orf18	4.695375
PECI	-0.304416666666667
UNG	-0.43875
GSTP1	-3.975
DCUN1D5	-1.9605
DKFZP564J0863	-1.39725
SLC9A3R1	0.977
BCDO2	-1.3295
CHMP7	-0.9345
REM2	0.1885
DNHD1	-0.636125
FKBP4	-0.0897500000000001
ZNF350	1.54275
MGC11102	-0.417875
BST1	0.95
KISS1R	1.1655
NCR2	-0.411
DEFB125	2.193
UBE2W	1.269875
KRT15	-1.18225
C10orf99	0.2915
SCN11A	0.35175
GFI1	-3.019
RDHE2	3.14283333333333
FHL1	-2.65316666666667
OSGEP	-0.287333333333333
GATA1	-3.34166666666667
SMC6	-0.263
TTTY14	-1.21475
LPIN3	0.0525
RPL4	-0.8104
RBPMS	-0.4495
PRPF3	-0.339166666666667
EMR1	-2.999
SPATA19	-0.071
XCR1	0.8445
IRX3	2.7219
RBM6	-0.4625
KLF4	-2.0626
UNC5CL	-0.05575
SEBOX	0.011
BTK	-1.1365
KRCC1	1.77925
C6orf27	0.3805
SYTL5	-0.375
PRND	2.0065
LOC653319	-0.33
PIGL	-1.956
HUS1	-0.185833333333333
SFRS6	0.488916666666667
C17orf77	0.9355
UIMC1	-0.0416666666666667
FXYD2	-2.1114
LOC283152	-0.37925
ZNF667	-2.6605
ZCCHC12	-0.7565
TFEC	1.8847
ATP7B	0.773833333333333
POLD2	-0.461
RG9MTD1	0.0875
ACOT2	0.369
HIST1H4I	0.843125
PPARGC1A	-1.0215
ETFA	-1.8018
POLRMT	-0.3375
ZNF146	-0.262875
MIA2	-2.1545
KLHL6	-2.0105
HOXB5	-1.856
NENF	1.58916666666667
CUGBP1	0.6735
PRSS22	2.05166666666667
CASC4	1.5693
CUL4B	0.4923
CENPJ	-1.0715
PITX1	-1.77483333333333
FLJ31033	2.71566666666667
CELSR3	0.833166666666667
ZNF568	-1.26875
ITSN1	0.168833333333333
EHBP1L1	-2.231
C19orf2	-1.403
DCTN1	0.4915
LIN28B	-4.86
TNKS2	0.71775
C1QBP	-0.237375
CADPS2	-0.26575
SRMS	0.308666666666667
GJA9	0.0796666666666666
MGC24975	-0.360166666666667
TRIM45	-0.133666666666667
TSP50	2.93
TCP1	-1.685
TMED7	0.3806
CMA1	0.5025
CENPL	-1.2755
PTCRA	-0.067
FST	-5.09675
VWCE	-4.128
PAWR	-0.396
ABCC12	1.68625
LDLR	-2.3427
ASTN2	2.4062
LOC441212	-0.526125
GPATCH8	0.24775
TANC2	0.208833333333333
KIF4A	-0.9035
C18orf18	0.67325
PGM1	-2.52425
KIAA0258	1.84675
CPD	-0.162
SNCAIP	-2.6735
DCT	-4.45283333333333
HLA-DOA	2.044
OR11L1	0.7465
UPK1B	-0.775333333333333
DNAJB4	-2.25775
UGT1A8	-0.725
HIST1H4L	-2.0195
PECR	-1.44233333333333
HSPA2	1.73275
WFIKKN1	-0.021
SERP1	0.090125
SYDE2	1.363
TACR2	0.9505
NUP85	-0.904
CD177	-0.9245
LGR5	-2.109
PIGG	-0.635333333333333
PTHR1	-2.96816666666667
RAB5A	-0.0475999999999999
FLJ13224	-0.1735
USP9Y	-1.41466666666667
C7orf53	0.076
LRP1B	-1.89733333333333
XAF1	1.4507
ABCG8	-0.5
ANKDD1A	-0.7365
DAND5	-2.0825
SPAG6	0.936666666666667
LINCR	-0.06325
ZDHHC22	-1.10675
CCDC60	-1.03
THOC7	-1.54766666666667
TCTA	0.7799
OR8K3	0.364666666666667
NY-REN-7	-0.987
B2M	1.2465
C6orf141	2.452875
LPPR4	0.6265
SQLE	-0.10425
SEPHS1	-0.399
BTBD14B	0.389857142857143
PLRG1	-0.0215
SPG7	-0.3498125
ZNF614	-1.42816666666667
PARD6G	1.342
INPP5B	-0.1468
GRPEL2	0.25175
PPID	0.0361
TRIM56	-0.652
UBE2J1	-1.21525
IL20RA	0.757
LOC387856	1.91825
C1orf107	0.0594166666666666
UTS2R	1.23
C19orf22	0.06975
SAFB2	-0.236125
KIAA0652	0.417375
KLRG1	-0.8485
MS4A8B	1.12983333333333
FRAG1	0.916
KIAA1546	1.1985
E2F4	-1.1681
CLEC4M	-0.0251666666666667
BTBD14A	-0.786
KIAA0999	1.4219
GYPA	-3.24583333333333
TAC1	-0.1482
TRAIP	-1.38083333333333
KIAA0232	0.9342
ERCC8	-0.71025
GPX4	1.47
KIAA0368	0.059625
GPR157	-1.799
CTAGE4	1.551
C9orf30	-1.33733333333333
OR52A1	0.4845
HSP90B3P	-0.1805
ALG9	-0.402
BTBD10	1.5295
SDK2	-0.455
BAIAP3	-0.98125
RABGGTB	-0.608
ANKRD40	1.72283333333333
KRT74	0.568
CALCOCO2	0.637428571428571
SNCA	-4.57275
TMSL8	-2.3045
C2orf53	0.0235
ESRRB	-0.1755
ARHGAP26	-1.9075
TDRD9	-3.5965
HRAS	1.53033333333333
KLRC4	-3.3405
JAGN1	-0.997666666666667
BSDC1	0.36675
RNF43	1.2426
NDUFAF1	1.2215
PHF12	-1.564
OR1L3	0.21425
FOLR2	1.76983333333333
LYZL6	0.7458
tcag7.1260	-2.7895
WSB1	-0.396
PROS1	-1.90811111111111
OSTN	0.541
PSMB8	0.57025
SOCS4	-0.096125
DDIT4L	-0.2585
MAS1	0.1295
MGC34796	1.89975
CSHL1	-0.00850000000000001
TBCCD1	0.438833333333333
ZBTB7C	0.365
AP2S1	-1.141
P15RS	0.4521
VAT1	0.1298
SHANK3	1.25666666666667
TUFM	-0.267666666666667
THEG	-0.3695
KRT34	-2.5855
SGSM3	0.024625
TOMM22	-0.8425
SOCS3	-0.942166666666667
CPO	0.5395
POP4	-0.26675
BHLHB3	-1.6345
MALL	-0.10675
OR1B1	0.6425
PARK2	-0.7415
GPR124	-0.912125
LCE1E	0.986
RUVBL2	-1.05575
CGRRF1	0.8152
ACPL2	1.61
WNT10B	-2.763
BAIAP2L2	-2.109375
ISCA1	0.1075
C1orf125	-0.098625
RPAP1	-0.01925
RAI16	-0.575666666666667
RPL27	-1.114875
NLRP9	0.638
EPN1	0.308
LOC388610	0.071375
SLC35A1	0.056
GAL	-4.937
SLC14A2	0.3825
RDH11	-0.358333333333333
FAM138F	-0.4065
AUH	0.67375
FLJ40243	0.44875
C14orf129	0.532166666666667
MBD2	-0.5975
ABHD14B	-0.217
PIGT	1.054375
ALS2CR4	-0.159375
ALAS1	-0.0466
FOXO1	0.0971666666666667
CRLF3	-0.959
C20orf107	0.909
FARS2	0.6215
CCDC28A	0.28675
NPHP3	-0.38375
OR13F1	0.5675
TSEN54	-0.375
DEFB106B	0.208
OR8B4	0.973
STH	-0.818
ZC3H14	-0.109
CBX2	-0.445
TMEM49	0.277
C6orf21	0.5555
FLJ20920	0.774125
CRTAP	-0.461785714285714
DDX50	-0.47075
STYXL1	0.185
BLVRB	-0.225
LOC147650	-0.191
MMP24	0.58025
GRID1	0.412833333333333
BANF1	-0.924
CTAGEP	0.6895
HMBS	-2.19475
SLC25A24	1.09466666666667
C14orf50	2.294
MRO	0.2945
SLC25A15	0.0155
FAM84B	1.0033
TDP1	-0.329
C16orf78	-0.292333333333333
C11orf57	0.265
RFK	0.395375
ZFYVE9	0.395875
STCH	-1.6642
WIBG	-0.27825
LOC283871	0.186666666666667
GBA2	0.1099
NDUFB3	0.164
HSD17B13	-0.25275
GRIN3A	0.5925
FMNL1	-1.7415
SEPT7	-0.6349
GNLY	2.01
GRAMD1C	1.04383333333333
ZNF165	1.436
USP38	2.15525
FAM83A	-3.21466666666667
C14orf24	1.57625
ARMCX3	0.933
ARHGDIB	-1.128
AK1	1.1985
KIAA1045	0.3265
DNAJB13	-0.358166666666667
NEU2	-0.33
HIST1H4B	-0.850666666666667
FAM20B	-0.3336
HES2	-0.901857142857143
FAM73B	-0.0429
LOC388381	-0.04375
INTS7	-0.097
AMPH	3.4325
ZNF775	0.30975
UCKL1	0.019
C10orf97	-0.613
C1orf161	-0.50725
ALDH1L1	-1.94825
FLJ39378	0.79575
SLC23A1	-1.6935
RBM4B	0.31275
THAP4	0.168666666666667
OGFRL1	-0.72975
KIAA0831	0.576375
PPP1R15A	-0.872
C1orf96	0.720357142857143
C12orf11	-2.243
BMF	1.368875
MAN1A1	-0.752125
KIAA1600	0.669666666666667
NLGN4X	0.22
ALOX12	-1.33433333333333
RB1CC1	1.208
NEIL2	0.0615
EIF4E	0.182272727272727
ABHD5	-0.39925
EXOC4	0.645666666666667
CIP29	-0.255
BATF2	-0.43775
SLC29A4	-0.09275
HTR4	0.24175
EMB	-2.879
TRAF6	1.1915
LMNB1	-0.74275
FAM19A5	-2.393375
SHE	1.4715
PIK3C2B	0.759
C15orf15	-0.3881
USP15	-0.1564
TCEAL2	1.1165
C5orf39	-0.4765
PTGER2	2.432
SLC31A1	-1.66925
IFT172	0.1135
ADAM29	0.13625
GFOD1	-0.26825
ST7L	0.901833333333333
C15orf26	-3.01425
PKN3	-1.80675
CNTD1	1.611
COMMD1	0.267125
NTRK2	1.22733333333333
FOXN3	-0.045875
MFGE8	-2.1374
PFKFB2	-0.947833333333333
TAS2R4	-0.39025
ENTHD1	3.49766666666667
PRMT5	-0.6815
MGC16384	-0.912
LOC442229	-0.26125
TSKU	1.516125
KRTCAP3	3.415125
PDLIM1	-1.2085
KCNS2	0.335
RNF126	-0.528166666666667
CEP63	0.740625
CLIC4	-1.3055
hCG_1990170	-1.07
ACR	1.1016
KLK7	0.3185
ALOX5AP	0.534875
RIPK3	3.80175
TAS2R9	0.4635
C19orf18	0.318
BIRC6	0.360785714285714
ZNF16	1.829
RFT1	-1.0325
SLC8A2	-0.43075
TACC1	-1.929
ITGAD	1.1175
SAMHD1	0.32125
SH3PXD2B	0.5693
EPC2	-0.18975
C20orf85	0.127
ATP13A2	0.4735
KRT4	0.24925
CAPNS1	-0.375
MDM2	-0.419666666666667
PCDH20	2.35875
KCNK9	0.3265
OR2C1	-0.9895
KLHDC3	-0.887
IPPK	-0.1475
EFHD2	-0.11025
GALR3	1.28375
NBEA	2.32666666666667
ABCA6	0.7197
CLDN3	2.19883333333333
AKT2	0.412071428571429
EGFR	-3.8957
RBM16	0.495875
ZDHHC3	-0.4876
SLC25A4	-3.04416666666667
CYB5B	-1.52716666666667
CPXM1	-2.3635
NDRG1	0.101615384615385
FLJ43826	0.2505
OR5L2	-0.295166666666667
FARP2	1.0278
MRPL46	-0.575333333333333
LDHAL6B	0.292
MAPKAPK3	-0.789
NCAM2	-1.37325
PRKD2	0.0445
ZFP36L1	-0.6682
CYSLTR1	-1.92875
OR4C3	0.2075
HIST1H2AJ	3.461
CCNB2	-1.39788888888889
ZNF10	-2.8865
TMEM175	0.5665
FAM134A	1.63
TIGD4	1.1355
PCNP	-0.39775
MGC39715	-0.0395
LQK1	-2.19925
CREB1	-0.0815
TMPRSS3	-1.35525
C4orf32	2.309625
LAT	-2.19825
KCNA3	-0.8485
SKIV2L2	-0.37775
ROPN1B	-2.9875
tcag7.23	-1.1545
CDT1	-2.69775
ZHX2	1.064625
CD28	-3.38575
ZNF624	0.893
SEPT2	-0.600333333333333
SOHLH2	-1.30975
MCOLN3	1.1275
UNQ1945	0.2815
MASP2	-0.904
ZNRF3	0.4663
GPATCH3	-0.01225
AGL	0.454875
QRICH2	-0.595
PSD4	1.149
CCNB1IP1	-1.7595
ENPP7	-0.14325
OBFC1	0.5235
