Hybridization REF	TCGA-AN-A049-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.00733333333333333
CREB3L1	0.87425
RPS11	0.13175
PNMA1	0.361
MMP2	0.61
C10orf90	-1.65375
ZHX3	-0.4005
ERCC5	0.30425
GPR98	0.011125
RXFP3	0.6275
APBB2	1.38125
PRO0478	-1.02975
KLHL13	-2.50675
PRSSL1	-0.327
PDCL3	0.567833333333333
DECR1	0.349625
SALL1	-3.01016666666667
CADM4	0.524666666666667
RPS18	-0.0572142857142857
HNRPD	-0.917333333333333
CFHR5	0.4995
SLC10A7	0.671375
OR2K2	0.6435
LMAN1	0.175125
SUHW1	-3.815
CHD8	0.1149
SUMO1	0.6731
GP1BA	0.568
DDB1	-0.3005
MYO9B	-0.2061
MMP7	6.12625
CRNKL1	0.552625
C9orf45	-1.13083333333333
XAB2	0.191125
RTN1	2.3485
KLHL14	-0.7595
TBX10	-0.719
CENPQ	-0.893
UTY	-1.12708333333333
ZBTB12	-0.004
DTNBP1	0.050875
KBTBD8	-1.8965
ZEB1	0.441333333333333
ZG16	-1.53825
MIER1	0.6202
ADAM5P	0.2955
CHD9	-0.3646875
STK16	0.5795
KIAA1486	-0.0575
TOB2	0.423666666666667
BANK1	2.94275
OR2V2	0.3945
GRM2	0.0525
PROSC	-0.418125
SPIN2B	-0.5835
PIR	-0.433666666666667
IPO9	-0.2284
EVC	0.657
CXCL13	3.0525
KIAA1199	-0.4283
SORL1	-0.23775
NAT10	-0.682
CHD1	-0.40175
SYN3	-0.2805
SLC22A2	0.039
SERPINF1	0.3795
WDR34	-0.89975
OR7A17	0.5425
C9orf11	0.229
RNF216L	-0.0115
LHB	-0.25
STK25	-0.96075
TAOK3	0.56475
LOC152573	-2.355
C3orf39	-0.256
C14orf108	0.7077
CDC25B	-1.76727272727273
BMP3	0.6925
TMEM180	0.459
MAP1LC3C	0.23725
CRYGC	-0.2485
POU3F1	-1.3661
C20orf32	-0.7695
CCDC95	0.347
HIGD1B	4.08175
USP6NL	-0.83075
ABCD4	-0.445333333333333
DIMT1L	-0.71475
TEK	1.338625
SLC25A46	-0.26475
LARP7	-1.1973
CD160	0.784
MT1JP	-0.5965
PHF20	-0.37875
CPNE4	-1.49075
GTPBP1	-0.801214285714286
RAB33B	1.12566666666667
ALDOC	-2.3125
ZNF212	-0.96825
NUDT1	-0.239
RFPL2	-0.02725
ZNF83	0.0625
GDPD5	-0.787125
PDCD4	1.47975
CEP350	0.246
OR10A2	-0.05925
CST7	0.63975
CIAO1	-0.65425
SELL	1.50625
OR8J3	0.422
LTBP4	-0.490833333333333
SIRT6	0.0805
CCL19	4.70625
PPIL1	-0.740666666666667
GBP7	0.2015
STK17A	-0.00139999999999996
ABR	-0.46225
OR9G1	0.337
FOXE1	-0.696625
CNGA3	0.5
GML	0.4745
CD38	-2.07175
ZDHHC6	0.0731666666666667
NEFH	-1.816
CTDSP2	0.15475
PGBD5	-1.57616666666667
CCNY	0.286642857142857
RMND5B	1.26958333333333
ZNF257	-0.56425
FLJ22167	-0.837625
EXOSC7	-1.12583333333333
ROR2	1.00575
MAOA	-0.3085
TNNT3	1.17233333333333
GYPC	-0.9715
C7orf33	0.977
PLIN	3.50183333333333
LOC90826	0.3275
RNF4	0.0423
F8A1	0.0793333333333333
PLEKHG4	-2.3635
GRB2	0.40575
HIST1H2AD	0.564
DUS3L	-0.703666666666667
EIF1	0.720666666666667
RP5-1077B9.4	-1.10916666666667
FPGT	1.672
GDF10	-0.0635
COQ9	-0.6795
GCC2	0.0665
RARRES3	3.402625
PLXNA1	-1.1446
KIAA0100	-0.7517
PMF1	-0.092
FNDC1	5.13875
HS2ST1	-0.11075
CRELD2	0.33225
C8G	-1.67
CD82	0.5945
LIM2	-0.135
UNQ6490	0.049
MMP16	0.04575
DRD3	-0.036
C5orf26	-1.4075
C11orf73	0.7935
PTP4A2	2.44225
OR4M2	0.0175
HPCA	-1.4125
SEC14L1	-0.534166666666667
CHFR	-0.18725
EMILIN1	0.671875
NDUFS4	0.204
COL18A1	0.373625
PDZD3	-0.0507
C9orf16	-0.676333333333333
ERBB2IP	0.195
EMX2	2.608
FUS	-1.077
