Hybridization REF	TCGA-BH-A0DZ-11A-22R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.117083333333333
CREB3L1	0.3865
RPS11	0.80775
PNMA1	-0.051
MMP2	0.105666666666667
C10orf90	0.67125
ZHX3	-0.3225
ERCC5	0.35025
GPR98	0.25425
RXFP3	0.0155
APBB2	0.18125
PRO0478	-1.0005
KLHL13	3.08625
PRSSL1	-0.613
PDCL3	0.583333333333333
DECR1	0.11875
SALL1	-3.22533333333333
CADM4	0.729666666666667
RPS18	0.582857142857143
HNRPD	-0.0371666666666667
CFHR5	0.149166666666667
SLC10A7	0.276
OR2K2	-0.3345
LMAN1	-0.657375
SUHW1	-2.46525
CHD8	-0.3984
SUMO1	-0.0539
GP1BA	0.225
DDB1	-0.201166666666667
MYO9B	-0.3228
MMP7	6.85225
CRNKL1	0.652375
C9orf45	-0.3405
XAB2	0.547125
RTN1	1.626125
KLHL14	-0.469375
TBX10	-0.8735
CENPQ	-1.53025
UTY	-1.11014285714286
ZBTB12	-0.274
DTNBP1	0.049
KBTBD8	-1.2785
ZEB1	-0.189666666666667
ZG16	-1.42225
MIER1	0.279
ADAM5P	-0.8235
CHD9	0.13175
STK16	0.1205
KIAA1486	-0.1335
TOB2	-0.00250000000000004
BANK1	1.74875
OR2V2	0.2625
GRM2	0.119666666666667
PROSC	0.52975
SPIN2B	0.142
PIR	-1.67244444444444
IPO9	-0.8091
EVC	0.951333333333333
CXCL13	4.37916666666667
KIAA1199	-4.5299
SORL1	1.3225
NAT10	-0.71225
CHD1	-0.347
SYN3	-0.25875
SLC22A2	-0.47575
SERPINF1	0.0846666666666667
WDR34	-0.73275
OR7A17	0.145
C9orf11	0.2825
RNF216L	-0.2853
LHB	-0.379
STK25	-0.544375
TAOK3	0.847875
LOC152573	-1.95525
C3orf39	0.265625
C14orf108	1.0369
CDC25B	-2.09245454545455
BMP3	-0.3045
TMEM180	0.1315
MAP1LC3C	1.35325
CRYGC	-0.55
POU3F1	-1.4036
C20orf32	-1.2285
CCDC95	-0.937
HIGD1B	3.88675
USP6NL	0.5675
ABCD4	0.0936666666666667
DIMT1L	-0.1145
TEK	1.069875
SLC25A46	-0.44325
LARP7	-1.5926
CD160	1.69183333333333
MT1JP	0.287666666666667
PHF20	-0.20275
CPNE4	0.21475
GTPBP1	-0.293071428571429
RAB33B	1.40866666666667
ALDOC	-1.237375
ZNF212	-0.20175
NUDT1	-0.725666666666667
RFPL2	-0.8655
ZNF83	0.212333333333333
GDPD5	-0.604875
PDCD4	2.17175
CEP350	0.16575
OR10A2	0.105
CST7	0.1765
CIAO1	-0.88975
SELL	0.39025
OR8J3	-0.4125
LTBP4	0.1565
SIRT6	-0.48825
CCL19	3.82
PPIL1	-0.925333333333333
GBP7	-0.158333333333333
STK17A	-0.362
ABR	0.7015
OR9G1	-0.1
FOXE1	-0.432625
CNGA3	0.7455
GML	0.535
CD38	-2.0385
ZDHHC6	0.0483333333333333
NEFH	-1.00725
CTDSP2	1.15708333333333
PGBD5	-0.906833333333333
CCNY	0.282571428571429
RMND5B	-0.1255
ZNF257	-1.18625
FLJ22167	0.32825
EXOSC7	-0.0783333333333333
ROR2	1.187125
MAOA	1.213
TNNT3	1.37566666666667
GYPC	-0.60375
C7orf33	0.775
PLIN	3.59516666666667
LOC90826	0.563
RNF4	-0.009
F8A1	0.372666666666667
PLEKHG4	-0.585
GRB2	-0.5371
HIST1H2AD	0.03
DUS3L	-0.558666666666667
EIF1	1.0495
RP5-1077B9.4	-1.43983333333333
FPGT	1.29525
GDF10	2.523
COQ9	-0.44775
GCC2	0.459571428571429
RARRES3	2.255125
PLXNA1	-0.1581
KIAA0100	0.4303
PMF1	-0.083
FNDC1	2.4175
HS2ST1	-0.333416666666667
CRELD2	0.08725
C8G	-1.8715
CD82	0.9795
LIM2	-1.0435
UNQ6490	-0.303
MMP16	0.09575
DRD3	-0.19725
C5orf26	0.23325
C11orf73	-0.357875
PTP4A2	0.393875
OR4M2	0.1985
HPCA	-1.41183333333333
SEC14L1	-0.447166666666667
CHFR	-0.469875
EMILIN1	0.734125
NDUFS4	0.0495
COL18A1	-0.122875
PDZD3	0.2137
C9orf16	-0.00116666666666666
ERBB2IP	0.0249999999999999
EMX2	2.96525
FUS	-0.7615
TF	-2.3779
CLCN4	0.604333333333333
CXorf56	0.60725
C11orf72	-0.044
ELAC2	-0.462916666666667
NPR1	0.93325
ASS1	-1.29583333333333
USP42	-0.156375
POLR2J	-0.812
SEC23IP	0.787
UQCRC1	-0.137
LOC729603	-0.3305
C1orf71	-1.01125
POLG	-2.3435
ADAM23	-3.28
TFR2	-1.2025
RICTOR	-0.4963
MGC39606	2.23875
C19orf55	-0.47425
SNAPC1	-1.1435
GNA11	0.773
CCDC52	-0.0758333333333333
FSIP1	3.198
UPF3A	-0.297
IGSF11	-1.5495
LAGE3	-0.96925
CHST6	-2.033
UNC13B	0.6505
TTLL4	-0.657375
ZNF687	0.261
SDC2	0.3725
COX7A2	-0.4895
LAMB4	0.039
FAM24A	-0.3435
LRRTM3	-0.6404
GPHB5	0.43075
OR4C13	0.4805
EIF3EIP	0.587785714285714
HABP4	-0.6445
TMEM125	3.47175
CNTN2	0.798125
ASNSD1	0.23825
FUT4	0.08475
ACF	-3.49775
LOC158381	0.5395
CDH8	-0.6065
AGPS	-1.64583333333333
C4orf18	3.314125
PECI	0.0911666666666667
UNG	-0.176875
GSTP1	0.807875
DCUN1D5	-1.15816666666667
DKFZP564J0863	-0.9205
SLC9A3R1	1.306625
BCDO2	-0.27975
CHMP7	-0.212125
REM2	-0.1075
DNHD1	-0.435
FKBP4	-0.572625
ZNF350	1.543
MGC11102	-0.5415
BST1	0.90275
KISS1R	-1.071
NCR2	0.371
DEFB125	-0.1275
UBE2W	0.699625
KRT15	4.0295
C10orf99	-0.1205
SCN11A	0.50675
GFI1	-1.89
RDHE2	4.71166666666667
FHL1	-0.424166666666667
OSGEP	0.1275
GATA1	-3.4235
SMC6	-1.455
TTTY14	-1.17375
LPIN3	-0.02625
RPL4	0.4711
RBPMS	0.4184
PRPF3	-0.763
EMR1	-1.708
SPATA19	-0.08575
XCR1	0.148
IRX3	1.728
RBM6	-0.25675
KLF4	-0.1654
UNC5CL	-0.34875
SEBOX	0.1185
BTK	-1.284
KRCC1	1.48325
C6orf27	0.3125
SYTL5	-0.499
PRND	2.027875
LOC653319	-1.3065
PIGL	-1.919125
HUS1	-0.487666666666667
SFRS6	0.354166666666667
C17orf77	0.828
UIMC1	-0.424666666666667
FXYD2	-1.7398
LOC283152	-0.02575
ZNF667	0.87125
ZCCHC12	0.3855
TFEC	1.4769
ATP7B	1.0925
POLD2	-1.03133333333333
RG9MTD1	0.24525
ACOT2	0.289833333333333
HIST1H4I	-1.459875
PPARGC1A	-1.1423
ETFA	-0.3985
POLRMT	-0.658
ZNF146	0.10225
MIA2	-0.6165
KLHL6	-2.16516666666667
HOXB5	-1.1495
NENF	0.462833333333333
CUGBP1	-0.29375
PRSS22	0.886833333333333
CASC4	0.9766
CUL4B	0.0818
CENPJ	-1.1616
PITX1	-0.776333333333333
FLJ31033	0.584166666666667
CELSR3	-1.7205
ZNF568	1.0385
ITSN1	-0.39775
EHBP1L1	-1.10583333333333
C19orf2	-0.0295
DCTN1	-0.14625
LIN28B	-2.73883333333333
TNKS2	-0.9415
C1QBP	-0.3985
CADPS2	2.0795
SRMS	-0.048
GJA9	0.442666666666667
MGC24975	-0.889
TRIM45	-0.490166666666667
TSP50	0.95125
