Hybridization REF	TCGA-C8-A132-01A-31R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.840083333333333
CREB3L1	0.68575
RPS11	-0.211125
PNMA1	-0.21475
MMP2	1.00733333333333
C10orf90	-1.502
ZHX3	-0.1135
ERCC5	0.371
GPR98	1.490375
RXFP3	0.0345
APBB2	2.11825
PRO0478	-0.858625
KLHL13	-0.963
PRSSL1	-0.837833333333333
PDCL3	0.272833333333333
DECR1	-0.05725
SALL1	-2.409
CADM4	0.0771666666666667
RPS18	-0.218928571428571
HNRPD	-0.203166666666667
CFHR5	-0.113166666666667
SLC10A7	0.2295
OR2K2	0.1255
LMAN1	-0.49175
SUHW1	-3.642
CHD8	0.2672
SUMO1	0.2293
GP1BA	2.5048
DDB1	0.592166666666667
MYO9B	-0.0549
MMP7	6.55275
CRNKL1	1.079875
C9orf45	-0.989833333333333
XAB2	-0.24475
RTN1	1.79725
KLHL14	-0.63425
TBX10	-0.932
CENPQ	-0.87275
UTY	-1.52735714285714
ZBTB12	0.029
DTNBP1	-0.247
KBTBD8	-0.933166666666667
ZEB1	1.75983333333333
ZG16	-0.579
MIER1	0.375
ADAM5P	-0.188
CHD9	0.26925
STK16	0.38425
KIAA1486	0.016
TOB2	0.51475
BANK1	4.55375
OR2V2	0.47875
GRM2	0.0108333333333333
PROSC	1.37625
SPIN2B	0.48325
PIR	-2.88666666666667
IPO9	-0.3087
EVC	1.29416666666667
CXCL13	6.14366666666667
KIAA1199	-1.2216
SORL1	0.77325
NAT10	0.728
CHD1	0.43875
SYN3	-0.61825
SLC22A2	-0.4565
SERPINF1	1.46116666666667
WDR34	-0.58375
OR7A17	0.462
C9orf11	-0.199
RNF216L	-0.4673
LHB	-0.2125
STK25	-0.204
TAOK3	1.17275
LOC152573	-3.0525
C3orf39	0.253625
C14orf108	0.2852
CDC25B	-1.66972727272727
BMP3	0.298
TMEM180	-0.1255
MAP1LC3C	0.902
CRYGC	-0.9665
POU3F1	-1.4478
C20orf32	-1.3955
CCDC95	-0.419
HIGD1B	3.55625
USP6NL	-0.06225
ABCD4	-0.440833333333333
DIMT1L	-0.45275
TEK	1.795125
SLC25A46	-0.27525
LARP7	-1.366
CD160	1.09133333333333
MT1JP	1.0345
PHF20	0.1670625
CPNE4	0.185
