Hybridization REF	TCGA-AV-A03E-20A-01R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.142666666666667
CREB3L1	2.44075
RPS11	-0.76
PNMA1	0.7645
MMP2	3.08066666666667
C10orf90	2.5805
ZHX3	1.31583333333333
ERCC5	1.69025
GPR98	-2.037875
RXFP3	1.2035
APBB2	0.2055
PRO0478	-0.323875
KLHL13	0.49175
PRSSL1	-1.17916666666667
PDCL3	-0.601666666666667
DECR1	-0.8385
SALL1	0.822
CADM4	-0.763333333333333
RPS18	-0.401071428571429
HNRPD	-0.490333333333333
CFHR5	0.781333333333333
SLC10A7	-0.414
OR2K2	0.4075
LMAN1	-1.48475
SUHW1	-2.5825
CHD8	-0.7445
SUMO1	0.9232
GP1BA	0.6879
DDB1	-0.4875
MYO9B	0.4468
MMP7	2.101
CRNKL1	-1.285625
C9orf45	-0.88
XAB2	1.01775
RTN1	1.827875
KLHL14	-0.8795
TBX10	-1.0745
CENPQ	-1.32375
UTY	-1.313
ZBTB12	-0.264
DTNBP1	-0.55525
KBTBD8	-1.31183333333333
ZEB1	-0.2125
ZG16	-2.484
MIER1	0.3332
ADAM5P	0.491
CHD9	0.6169375
STK16	0.9105
KIAA1486	0.392
TOB2	0.343583333333333
BANK1	0.421
OR2V2	0.024
GRM2	-0.00866666666666667
PROSC	-0.50175
SPIN2B	0.414
PIR	-0.835
IPO9	-0.0412
EVC	3.37416666666667
CXCL13	0.436166666666667
KIAA1199	-2.9608
SORL1	-4.839
NAT10	-0.2495
CHD1	-0.63025
SYN3	-0.22175
SLC22A2	-0.47375
SERPINF1	-3.813
WDR34	-0.071
OR7A17	0.069
C9orf11	-0.31
RNF216L	0.9548
LHB	0.898
STK25	-0.268875
TAOK3	1.75925
LOC152573	-2.89325
C3orf39	0.4965
C14orf108	-0.4193
CDC25B	-0.800363636363636
BMP3	0.3195
TMEM180	0.976
MAP1LC3C	-0.40375
