Hybridization REF	TCGA-A8-A08T-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.343083333333333
CREB3L1	0.79425
RPS11	0.7395
PNMA1	0.284
MMP2	-0.435833333333333
C10orf90	-2.1535
ZHX3	-0.027
ERCC5	0.312
GPR98	-0.472
RXFP3	0.309
APBB2	1.29975
PRO0478	-0.881875
KLHL13	-1.42625
PRSSL1	-0.963333333333333
PDCL3	0.4805
DECR1	0.526125
SALL1	-3.56266666666667
CADM4	0.799
RPS18	0.496285714285714
HNRPD	-0.677916666666667
CFHR5	0.676166666666667
SLC10A7	0.367
OR2K2	1.2475
LMAN1	-0.45275
SUHW1	-3.872
CHD8	0.3047
SUMO1	0.8887
GP1BA	-0.0474
DDB1	-0.248
MYO9B	-0.3788
MMP7	5.48
CRNKL1	0.5415
C9orf45	-0.380833333333333
XAB2	0.5555
RTN1	1.558875
KLHL14	-1.377625
TBX10	-1.357
CENPQ	-1.7375
UTY	-1.71892307692308
ZBTB12	0.204
DTNBP1	-0.142
KBTBD8	-1.9385
ZEB1	1.084
ZG16	-1.282
MIER1	0.3365
ADAM5P	0.13
CHD9	-0.362
STK16	1.49625
KIAA1486	-0.3655
TOB2	1.28791666666667
BANK1	2.75175
OR2V2	0.43525
GRM2	0.252
PROSC	1.981625
SPIN2B	0.39175
PIR	-1.97177777777778
IPO9	-0.0226
EVC	1.492
CXCL13	3.92466666666667
KIAA1199	-0.612
SORL1	1.51075
NAT10	0.19875
CHD1	-0.37975
SYN3	-1.34125
SLC22A2	-0.143
SERPINF1	0.711
WDR34	0.07575
OR7A17	-0.12425
C9orf11	-0.142
RNF216L	-0.5784
LHB	-0.215
STK25	0.21175
TAOK3	1.615625
LOC152573	-3.51425
C3orf39	0.798375
C14orf108	0.2487
CDC25B	-2.15254545454545
BMP3	-0.426
TMEM180	0.304
MAP1LC3C	-0.119
CRYGC	-0.2345
POU3F1	-1.1985
C20orf32	-1.9165
CCDC95	-0.076
HIGD1B	4.41525
USP6NL	-0.055375
ABCD4	-0.367833333333333
DIMT1L	-1.50266666666667
TEK	0.843125
SLC25A46	-1.11825
LARP7	-0.8121
CD160	0.281166666666667
MT1JP	-0.619166666666667
PHF20	-0.0628125
CPNE4	-1.9005
GTPBP1	-0.134857142857143
RAB33B	1.35066666666667
ALDOC	-2.243125
ZNF212	-0.02975
NUDT1	-1.5375
RFPL2	-1.4445
ZNF83	-0.0446666666666667
GDPD5	-0.609375
PDCD4	2.3194
CEP350	0.389
OR10A2	0.059
CST7	0.1685
CIAO1	-0.9485
SELL	0.287375
OR8J3	-0.1295
LTBP4	-0.1155
SIRT6	-0.0565
CCL19	3.7045
PPIL1	-0.815333333333333
GBP7	0.872833333333333
STK17A	-1.7037
ABR	-0.0165
OR9G1	0.732
FOXE1	-0.883875
CNGA3	3.8375
GML	0.46
CD38	-2.83575
ZDHHC6	0.192166666666667
NEFH	-3.17075
CTDSP2	0.680916666666667
PGBD5	-1.4835
CCNY	0.673071428571428
RMND5B	0.382583333333333
ZNF257	-2.01225
FLJ22167	-0.117375
EXOSC7	-0.249166666666667
ROR2	0.806125
MAOA	-1.87
TNNT3	1.03416666666667
GYPC	-1.3475
C7orf33	0.3605
PLIN	1.92333333333333
LOC90826	0.653
RNF4	0.1049
F8A1	-0.1115
PLEKHG4	-1.93425
GRB2	0.60465
HIST1H2AD	0.28275
DUS3L	-0.350333333333333
EIF1	-0.256166666666667
RP5-1077B9.4	-0.621166666666667
FPGT	1.3715
GDF10	2.39683333333333
COQ9	-0.5625
GCC2	0.151571428571429
RARRES3	1.572
PLXNA1	-0.5173
KIAA0100	0.3169
PMF1	0.809
FNDC1	5.458
HS2ST1	-0.35925
CRELD2	0.24675
C8G	-2.4945
CD82	1.0105
LIM2	-1.237
UNQ6490	0.3945
MMP16	-0.721
DRD3	-0.042
C5orf26	0.671
C11orf73	-0.510625
PTP4A2	0.3095
OR4M2	0.071
HPCA	-0.421666666666667
SEC14L1	-1.035
CHFR	-0.48425
EMILIN1	0.640875
NDUFS4	-0.42525
COL18A1	-0.476375
PDZD3	-0.0539
C9orf16	-0.285333333333333
ERBB2IP	-0.637833333333333
EMX2	4.23775
FUS	-0.2365
TF	-3.6524
CLCN4	-1.2575
CXorf56	0.12075
C11orf72	0.328
ELAC2	-0.304083333333333
NPR1	-0.85675
ASS1	-2.03816666666667
USP42	-0.43775
POLR2J	-1.137
SEC23IP	0.383833333333333
UQCRC1	0.1685
LOC729603	-0.35475
C1orf71	0.0985
POLG	-2.494
ADAM23	-3.48825
TFR2	-1.0755
RICTOR	-1.334
MGC39606	1.41825
C19orf55	-0.239875
SNAPC1	-1.21016666666667
GNA11	1.27275
CCDC52	0.301666666666667
FSIP1	0.1095
UPF3A	-0.53675
IGSF11	-2.3165
LAGE3	-0.12775
CHST6	-2.384
UNC13B	1.153125
TTLL4	-0.682125
ZNF687	0.570625
SDC2	-0.6432
COX7A2	-0.41525
LAMB4	-0.3635
FAM24A	0.3975
LRRTM3	-0.6785
GPHB5	0.3645
OR4C13	-0.3485
EIF3EIP	0.678071428571429
HABP4	-0.5475
TMEM125	3.5605
CNTN2	-0.1745
ASNSD1	-0.04775
