Hybridization REF	TCGA-A8-A07Z-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.53583333333333
CREB3L1	0.888
RPS11	0.118
PNMA1	0
MMP2	0.0351666666666667
C10orf90	-2.146
ZHX3	0.623166666666667
ERCC5	-0.336
GPR98	-0.57475
RXFP3	0.9755
APBB2	2.0685
PRO0478	-0.718625
KLHL13	-3.03575
PRSSL1	0.5045
PDCL3	0.449833333333333
DECR1	-0.698
SALL1	-4.31666666666667
CADM4	2.05133333333333
RPS18	-0.620571428571429
HNRPD	-0.924166666666667
CFHR5	0.181333333333333
SLC10A7	-0.139375
OR2K2	-1.182
LMAN1	-1.15525
SUHW1	-3.04625
CHD8	-0.4659
SUMO1	0.493
GP1BA	0.2205
DDB1	-0.145333333333333
MYO9B	-0.112
MMP7	3.64675
CRNKL1	0.88125
C9orf45	-1.02683333333333
XAB2	0.570625
RTN1	1.569875
KLHL14	-1.0115
TBX10	-0.4145
CENPQ	-1.6135
UTY	-0.900357142857143
ZBTB12	0.4725
DTNBP1	-0.3885
KBTBD8	-1.65083333333333
ZEB1	0.00983333333333333
ZG16	-0.7175
MIER1	0.9183
ADAM5P	-0.1135
CHD9	-0.2693125
STK16	1.4215
KIAA1486	-0.2885
TOB2	0.9815
BANK1	2.248
OR2V2	-0.135
GRM2	0.293
PROSC	0.581375
SPIN2B	0.19025
PIR	-2.36422222222222
IPO9	0.1822
EVC	-0.038
CXCL13	2.4085
KIAA1199	-3.1114
SORL1	0.29775
NAT10	-0.376
CHD1	0.4195
SYN3	-0.265
SLC22A2	-0.57175
SERPINF1	-1.00433333333333
WDR34	0.31675
OR7A17	0.73825
C9orf11	0.194
RNF216L	-0.5919
LHB	0.277
STK25	-0.521125
TAOK3	0.932875
LOC152573	-1.2475
C3orf39	0.489875
C14orf108	0.034
CDC25B	-0.249909090909091
BMP3	0.6215
TMEM180	-0.22
MAP1LC3C	0.1665
CRYGC	0.0485
POU3F1	-0.8656
C20orf32	-0.9725
CCDC95	-0.204
HIGD1B	3.84275
USP6NL	-0.033125
ABCD4	-0.855166666666667
DIMT1L	-0.189166666666667
TEK	0.832625
SLC25A46	-0.73825
LARP7	-1.7604
CD160	0.258
MT1JP	-0.7345
PHF20	0.712625
CPNE4	-1.77125
GTPBP1	0.202285714285714
RAB33B	1.29783333333333
ALDOC	-0.9495
ZNF212	-0.1835
NUDT1	-1.08933333333333
RFPL2	-0.06175
ZNF83	-0.239333333333333
GDPD5	-1.32975
PDCD4	1.3254
CEP350	0.18575
OR10A2	0.35625
CST7	0.852
CIAO1	-0.95225
SELL	1.367125
OR8J3	0.3255
LTBP4	0.470333333333333
SIRT6	-0.194
CCL19	2.98675
PPIL1	-0.671
GBP7	0.323333333333333
STK17A	-1.3647
ABR	0.47375
OR9G1	0.613
FOXE1	-0.094125
CNGA3	1.2455
GML	0.5695
CD38	-2.4105
ZDHHC6	-0.3495
NEFH	-2.29475
CTDSP2	0.916166666666667
PGBD5	-1.86516666666667
CCNY	0.0909285714285714
RMND5B	0.975583333333333
ZNF257	-3.082
FLJ22167	0.709875
EXOSC7	-0.923666666666667
ROR2	1.368125
MAOA	3.3665
TNNT3	0.355666666666667
GYPC	-1.34375
C7orf33	0.5765
PLIN	1.38883333333333
LOC90826	-0.54725
RNF4	-0.0352
F8A1	1.05083333333333
PLEKHG4	-1.41925
GRB2	1.0782
HIST1H2AD	1.51425
DUS3L	-0.737833333333333
EIF1	-0.728333333333333
RP5-1077B9.4	-0.691
FPGT	1.77075
GDF10	-0.701166666666667
COQ9	-0.20575
GCC2	-0.0207857142857143
RARRES3	2.96525
PLXNA1	-0.9242
KIAA0100	-0.4371
PMF1	0.27125
FNDC1	3.93225
HS2ST1	0.143416666666667
CRELD2	0.75525
C8G	-1.3215
CD82	0.32075
LIM2	-0.8165
UNQ6490	-0.809
MMP16	0.65475
DRD3	0.2305
C5orf26	-1.55625
C11orf73	-0.098625
PTP4A2	0.855
OR4M2	0.713
HPCA	-0.596
SEC14L1	-0.986666666666667
CHFR	-0.469625
EMILIN1	0.550375
NDUFS4	-0.424
COL18A1	-0.36075
PDZD3	0.1272
C9orf16	0.3045
ERBB2IP	0.330166666666667
EMX2	2.02125
FUS	-0.94375
TF	-3.6307
CLCN4	-0.873833333333333
CXorf56	0.917
