Hybridization REF	TCGA-AN-A0FJ-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.24875
CREB3L1	-0.25275
RPS11	1.147875
PNMA1	-1.1295
MMP2	0.9545
C10orf90	-2.251
ZHX3	-1.7375
ERCC5	0.58275
GPR98	-0.34225
RXFP3	0.3755
APBB2	0.098
PRO0478	-1.322125
KLHL13	-4.38025
PRSSL1	-1.45716666666667
PDCL3	0.396333333333333
DECR1	0.10825
SALL1	-4.45
CADM4	1.32466666666667
RPS18	-0.725928571428571
HNRPD	-0.1615
CFHR5	0.6814
SLC10A7	0.674125
OR2K2	0.1035
LMAN1	-0.75375
SUHW1	-0.2215
CHD8	-0.6894
SUMO1	0.8305
GP1BA	1.6671
DDB1	-0.3055
MYO9B	0.7501
MMP7	7.3785
CRNKL1	0.75825
C9orf45	-0.961333333333333
XAB2	0.646
RTN1	1.5815
KLHL14	0.591125
TBX10	-1.1145
CENPQ	-1.0375
UTY	-1.35792307692308
ZBTB12	-0.4725
DTNBP1	-1.00975
KBTBD8	-0.895833333333333
ZEB1	-1.20583333333333
ZG16	-1.983
MIER1	1.5306
ADAM5P	0.15
CHD9	-0.051875
STK16	0.74475
KIAA1486	-0.498
TOB2	0.8105
BANK1	2.093
OR2V2	0.54
GRM2	1.015
PROSC	0.1605
SPIN2B	0.117
PIR	0.0464444444444444
IPO9	-0.0164
EVC	-0.352833333333333
CXCL13	3.467
KIAA1199	-1.3773
SORL1	3.40925
NAT10	0.8615
CHD1	-0.77825
SYN3	-1.56125
SLC22A2	-0.7635
SERPINF1	0.386333333333333
WDR34	-1.49025
OR7A17	0.46675
C9orf11	0.332
RNF216L	0.0814
LHB	0.1215
STK25	1.111125
TAOK3	1.113875
LOC152573	-2.0625
C3orf39	0.277625
C14orf108	-0.1565
CDC25B	-1.27081818181818
BMP3	0.6435
TMEM180	0.7735
MAP1LC3C	0.2255
CRYGC	-0.283
POU3F1	-1.653
C20orf32	-1.7135
CCDC95	0.025
HIGD1B	4.47325
USP6NL	0.998
ABCD4	-1.33033333333333
DIMT1L	-0.658416666666667
TEK	1.47825
SLC25A46	-1.3295
LARP7	-2.2771
CD160	0.405
MT1JP	-2.03683333333333
PHF20	-0.00218749999999996
CPNE4	-1.387
GTPBP1	-0.0491428571428572
RAB33B	1.41733333333333
ALDOC	-0.54
ZNF212	0.2185
NUDT1	-0.498333333333333
RFPL2	0.12175
ZNF83	-1.68866666666667
GDPD5	-1.334625
PDCD4	1.46495
CEP350	0.17125
OR10A2	0.23
CST7	0.65575
CIAO1	-1.098
SELL	0.341
OR8J3	0.0805
LTBP4	0.456833333333333
SIRT6	0.27975
CCL19	5.16925
PPIL1	-1.33416666666667
GBP7	-0.0034
STK17A	0.0848000000000001
ABR	0.84225
OR9G1	-0.076
FOXE1	-1.162125
CNGA3	-0.515
GML	0.6875
CD38	-3.61625
ZDHHC6	0.437833333333333
NEFH	-3.261
CTDSP2	1.17566666666667
PGBD5	0.5845
CCNY	1.15864285714286
RMND5B	-1.00533333333333
ZNF257	-4.17175
FLJ22167	1.154875
EXOSC7	-0.566333333333333
ROR2	-0.014875
MAOA	-0.335625
TNNT3	1.262
GYPC	0.14375
C7orf33	-0.6255
PLIN	-0.5385
LOC90826	-0.36375
RNF4	-0.3332
F8A1	1.15833333333333
