Hybridization REF	TCGA-A2-A0T2-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.393333333333333
CREB3L1	0.7605
RPS11	0.349125
PNMA1	-0.8345
MMP2	-0.166
C10orf90	-1.26175
ZHX3	-0.189
ERCC5	-0.31475
GPR98	-1.47525
RXFP3	1.0635
APBB2	0.28925
PRO0478	-1.077625
KLHL13	-2.63075
PRSSL1	-0.468833333333333
PDCL3	-0.273833333333333
DECR1	0.1415
SALL1	-2.707
CADM4	1.38633333333333
RPS18	0.260142857142857
HNRPD	-1.94666666666667
CFHR5	1.09583333333333
SLC10A7	-0.15975
OR2K2	0.1245
LMAN1	0.108
SUHW1	-3.2815
CHD8	-0.3953
SUMO1	0.1198
GP1BA	-0.06
DDB1	-0.1245
MYO9B	-0.3094
MMP7	5.587
CRNKL1	0.353
C9orf45	-0.598
XAB2	-0.29375
RTN1	0.212125
KLHL14	-1.33475
TBX10	-1.2155
CENPQ	-1.45575
UTY	-0.914428571428571
ZBTB12	-0.1225
DTNBP1	-0.122
KBTBD8	-1.49783333333333
ZEB1	-0.0521666666666667
ZG16	-1.79825
MIER1	0.5984
ADAM5P	-0.00650000000000001
CHD9	-0.0211875
STK16	0.53775
KIAA1486	-0.3085
TOB2	0.636833333333333
BANK1	0.397
OR2V2	0.5835
GRM2	0.0906666666666667
PROSC	1.163875
SPIN2B	-0.2135
PIR	-0.986
IPO9	-1.1173
EVC	0.297166666666667
CXCL13	3.59233333333333
KIAA1199	-2.4894
SORL1	1.3045
NAT10	0.063
CHD1	-0.7585
SYN3	-0.38025
SLC22A2	-0.43675
SERPINF1	-1.00133333333333
WDR34	-0.816
OR7A17	0.4485
C9orf11	0.1175
RNF216L	0.9802
LHB	0.2475
STK25	-0.869
TAOK3	0.9045
LOC152573	-2.2995
C3orf39	0.384125
C14orf108	-0.3727
CDC25B	-1.30027272727273
BMP3	0.0965
TMEM180	-0.0495
MAP1LC3C	-0.055
CRYGC	-0.6195
POU3F1	-0.9916
C20orf32	-1.2555
CCDC95	0.24
HIGD1B	4.58675
USP6NL	2.041125
ABCD4	-1.04566666666667
DIMT1L	-0.951
TEK	0.303875
SLC25A46	-0.82375
LARP7	-1.9212
CD160	0.1595
MT1JP	-0.240666666666667
PHF20	-0.58125
CPNE4	-1.9365
GTPBP1	-0.715857142857143
RAB33B	0.790166666666667
ALDOC	-1.6275
ZNF212	0.01
NUDT1	-0.354166666666667
RFPL2	-1.08075
ZNF83	-0.088
GDPD5	-0.801
PDCD4	1.26325
CEP350	0.7495
OR10A2	0.48725
CST7	-0.01375
CIAO1	-1.006
SELL	0.390375
OR8J3	0.339
LTBP4	0.451166666666667
SIRT6	-0.127
CCL19	2.68925
PPIL1	-1.08466666666667
GBP7	0.494833333333333
STK17A	-1.0404
ABR	-1.26625
OR9G1	0.6985
FOXE1	-0.68175
CNGA3	0.0905
GML	0.163
CD38	-1.27975
ZDHHC6	-0.635333333333333
NEFH	-2.798
CTDSP2	0.186916666666667
PGBD5	1.18666666666667
CCNY	1.96042857142857
RMND5B	-0.219916666666667
ZNF257	-0.6905
FLJ22167	-0.41975
EXOSC7	-0.572166666666667
ROR2	0.040625
MAOA	-1.96875
TNNT3	-0.5765
GYPC	-1.416
C7orf33	0.0215
PLIN	-0.0446666666666667
LOC90826	-0.589
RNF4	-0.3581
F8A1	1.36516666666667
PLEKHG4	-1.1755
GRB2	-0.48195
HIST1H2AD	1.2815
DUS3L	-1.63833333333333
EIF1	-1.36416666666667
RP5-1077B9.4	-0.902166666666667
FPGT	1.4765
GDF10	1.99016666666667
COQ9	-0.3575
GCC2	-0.197428571428571
RARRES3	2.87375
PLXNA1	0.8131
KIAA0100	-0.4318
PMF1	0.66075
FNDC1	4.64525
HS2ST1	0.546583333333333
CRELD2	0.00375
C8G	-0.6225
CD82	2.93975
LIM2	-0.938
UNQ6490	0.1265
MMP16	-0.52775
DRD3	0.0405
C5orf26	-2.2345
C11orf73	-0.85675
PTP4A2	0.798625
OR4M2	1.0095
HPCA	-1.1885
SEC14L1	-0.191666666666667
CHFR	0.02875
EMILIN1	1.357625
NDUFS4	-1.01025
COL18A1	0.20075
PDZD3	-0.388
C9orf16	0.0335
ERBB2IP	-0.3545
EMX2	1.40275
FUS	-1.2375
TF	-1.9695
CLCN4	1.4575
CXorf56	0.40225
C11orf72	0.22475
ELAC2	-0.889
NPR1	-0.25425
ASS1	0.564166666666667
USP42	0.505375
POLR2J	-0.3025
SEC23IP	1.23016666666667
UQCRC1	-0.32325
LOC729603	-0.84975
C1orf71	-1.279375
POLG	-1.6395
ADAM23	-3.914
TFR2	-1.10725
RICTOR	-1.3636
MGC39606	1.945
C19orf55	-0.313375
SNAPC1	-1.11366666666667
GNA11	0.652625
CCDC52	0.0981666666666667
FSIP1	-0.8395
UPF3A	-1.099875
IGSF11	-2.52416666666667
LAGE3	0.87925
CHST6	-1.9075
UNC13B	0.680875
TTLL4	1.193375
ZNF687	0.827625
SDC2	-0.8623
COX7A2	0.03525
LAMB4	-0.0115
FAM24A	0.4945
LRRTM3	-0.328666666666667
GPHB5	0.46625
OR4C13	-0.047
EIF3EIP	-0.196857142857143
HABP4	-0.7845
TMEM125	4.55025
CNTN2	-0.347375
ASNSD1	-0.595
FUT4	0.504625
ACF	-3.4195
LOC158381	0.296
CDH8	-0.37
AGPS	-1.24
C4orf18	0.46075
PECI	-2.411
UNG	-0.6025
GSTP1	-0.773125
DCUN1D5	-1.07233333333333
DKFZP564J0863	0.531
SLC9A3R1	0.013625
BCDO2	-0.503375
CHMP7	0.138875
REM2	0.301
DNHD1	0.5625
FKBP4	-0.663875
ZNF350	1.49925
MGC11102	0.061
BST1	2.11975
KISS1R	1.376
NCR2	0.615
DEFB125	-0.00549999999999999
UBE2W	0.9065
KRT15	2.2405
C10orf99	2.083
SCN11A	0.343625
GFI1	-2.55
RDHE2	-0.782166666666667
FHL1	-2.3485
OSGEP	0.280833333333333
GATA1	-3.35183333333333
SMC6	-0.198
TTTY14	-1.36475
LPIN3	-0.6705
RPL4	-0.8994
RBPMS	1.0787
PRPF3	-0.2755
EMR1	-3.3205
SPATA19	0.1045
XCR1	0.179
IRX3	2.1882
RBM6	-1.406
KLF4	-1.5885
UNC5CL	0.5235
SEBOX	-0.307
BTK	-1.243
KRCC1	1.5135
C6orf27	0.8085
SYTL5	-1.4195
PRND	1.31175
LOC653319	-1.7555
PIGL	-1.703625
HUS1	0.640833333333333
SFRS6	-0.964166666666667
C17orf77	0.2885
UIMC1	-0.755833333333333
FXYD2	-2.2499
LOC283152	-0.7715
ZNF667	1.088
ZCCHC12	-0.77
TFEC	1.6526
ATP7B	-0.989333333333333
POLD2	-0.914
RG9MTD1	0.048
ACOT2	-0.344333333333333
HIST1H4I	-0.560125
PPARGC1A	-1.7011
ETFA	-1.3646
POLRMT	-0.4715
ZNF146	0.543
MIA2	-1.3805
KLHL6	-1.99083333333333
HOXB5	-1.203625
NENF	0.234
CUGBP1	0.233
PRSS22	3.2255
CASC4	1.0429
CUL4B	0.3662
CENPJ	-1.3055
PITX1	0.982333333333333
FLJ31033	0.51
CELSR3	-0.748333333333333
ZNF568	0.47075
ITSN1	-0.485166666666667
EHBP1L1	-1.17733333333333
C19orf2	0.532
DCTN1	0.17425
LIN28B	-2.071
TNKS2	-0.86425
C1QBP	-1.03175
CADPS2	2.17975
SRMS	0.2635
GJA9	0.5355
MGC24975	-0.617
TRIM45	0.159666666666667
TSP50	0.2705
TCP1	-1.21175
TMED7	0.1229
CMA1	0.289
CENPL	0.409666666666667
PTCRA	0.221
FST	-4.40375
VWCE	-4.5235
PAWR	-0.212
ABCC12	0.021
LDLR	-1.8954
ASTN2	-0.3875
LOC441212	-0.244875
GPATCH8	-0.109
TANC2	-0.803916666666667
KIF4A	-1.697
C18orf18	-0.731
PGM1	0.49075
KIAA0258	1.3485
CPD	0.558375
SNCAIP	-0.381
DCT	-4.03433333333333
HLA-DOA	2.072
OR11L1	0.876
UPK1B	-0.0338333333333333
DNAJB4	-0.16375
UGT1A8	-0.15
HIST1H4L	-1.0745
PECR	-2.391
HSPA2	-0.013
WFIKKN1	-1.1615
SERP1	0.702125
SYDE2	0.4975
TACR2	0.4005
NUP85	-0.88025
CD177	-0.330166666666667
LGR5	-1.435
PIGG	-0.824333333333333
PTHR1	-2.538
RAB5A	0.0964
FLJ13224	0.3655
USP9Y	-0.4315
C7orf53	-0.2345
LRP1B	-0.7565
XAF1	1.5311
ABCG8	-0.299
ANKDD1A	-0.8755
DAND5	-1.616
SPAG6	1.21766666666667
LINCR	0.47675
ZDHHC22	-1.2435
CCDC60	-0.8025
THOC7	-1.02216666666667
