Hybridization REF	TCGA-A2-A0YJ-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.514083333333333
CREB3L1	-0.131
RPS11	-0.688125
PNMA1	-0.63725
MMP2	-0.538166666666667
C10orf90	1.368
ZHX3	-0.0355
ERCC5	-0.3155
GPR98	-1.908875
RXFP3	1.0385
APBB2	-0.4435
PRO0478	-1.27225
KLHL13	0.000999999999999987
PRSSL1	-0.695833333333333
PDCL3	0.826333333333333
DECR1	0.516625
SALL1	-3.12833333333333
CADM4	0.125166666666667
RPS18	0.463571428571428
HNRPD	-0.706333333333333
CFHR5	0.554666666666667
SLC10A7	0.261375
OR2K2	0.1575
LMAN1	0.914125
SUHW1	-4.2705
CHD8	-0.996
SUMO1	0.344
GP1BA	-0.3281
DDB1	0.0666666666666667
MYO9B	0.6589
MMP7	5.204
CRNKL1	0.450125
C9orf45	0.0603333333333333
XAB2	-0.00175
RTN1	0.351625
KLHL14	-2.4865
TBX10	-0.796
CENPQ	-1.19225
UTY	-0.988428571428572
ZBTB12	-0.04
DTNBP1	-0.421
KBTBD8	-0.938833333333333
ZEB1	-1.88166666666667
ZG16	-0.2025
MIER1	-0.2719
ADAM5P	0.003
CHD9	-0.9431875
STK16	-0.50625
KIAA1486	0.0165
TOB2	0.599166666666667
BANK1	0.722333333333333
OR2V2	0.65975
GRM2	0.275
PROSC	-0.2375
SPIN2B	0.0105
PIR	-1.63388888888889
IPO9	-0.1816
EVC	0.168833333333333
CXCL13	1.28033333333333
KIAA1199	-0.7504
SORL1	-3.20425
NAT10	-0.36375
CHD1	-1.724
SYN3	-0.137
SLC22A2	-0.36725
SERPINF1	-0.58
WDR34	-0.42675
OR7A17	0.62925
C9orf11	0.012
RNF216L	0.3896
LHB	0.4525
STK25	-0.06275
TAOK3	0.80625
LOC152573	-2.518
C3orf39	0.771375
C14orf108	0.1341
CDC25B	0.569909090909091
BMP3	-0.195
TMEM180	0.103
MAP1LC3C	0.14375
CRYGC	-1.0085
POU3F1	-1.3586
C20orf32	-1.187
CCDC95	-0.624
HIGD1B	2.55375
USP6NL	1.549
ABCD4	-1.75966666666667
DIMT1L	-1.08
TEK	-0.761
SLC25A46	-1.29466666666667
LARP7	-2.7376
CD160	0.0673333333333333
MT1JP	0.828333333333333
PHF20	-0.2291875
CPNE4	-1.22475
GTPBP1	-0.236642857142857
RAB33B	0.6185
ALDOC	-1.019875
ZNF212	0.105
NUDT1	-0.0691666666666667
RFPL2	-0.60525
ZNF83	-1.64133333333333
GDPD5	0.946375
PDCD4	0.73815
CEP350	0.1135
OR10A2	0.4455
CST7	-0.054
CIAO1	0.0885
SELL	-0.33375
OR8J3	0.647
LTBP4	0.266
SIRT6	-0.47
CCL19	0.377
PPIL1	-0.2985
GBP7	0.153
STK17A	-1.2903
ABR	-0.398
OR9G1	-0.029
FOXE1	-0.408125
CNGA3	-0.4935
GML	0.464
CD38	-3.44375
ZDHHC6	-0.124166666666667
NEFH	-0.48125
CTDSP2	0.612
PGBD5	3.21133333333333
CCNY	1.07242857142857
RMND5B	-0.313333333333333
ZNF257	-0.066
FLJ22167	1.089125
EXOSC7	-0.0035
ROR2	0.109125
MAOA	-2.111375
TNNT3	-0.140333333333333
GYPC	-2.06866666666667
C7orf33	0.4785
PLIN	0.330666666666667
LOC90826	-0.88025
RNF4	-0.3124
F8A1	0.667833333333333
PLEKHG4	-1.1325
GRB2	-0.13625
HIST1H2AD	-1.8725
DUS3L	0.770333333333333
EIF1	-0.664666666666667
RP5-1077B9.4	-0.774833333333333
FPGT	0.59125
GDF10	0.178166666666667
COQ9	0.06725
GCC2	-1.135
RARRES3	0.629125
PLXNA1	0.1732
KIAA0100	-0.301
PMF1	0.30825
FNDC1	5.34625
HS2ST1	0.313666666666667
CRELD2	0.31725
C8G	-1.0255
CD82	1.5445
LIM2	-0.6455
UNQ6490	0.6725
MMP16	-0.1945
DRD3	-0.0635
C5orf26	-2.57725
C11orf73	-0.17575
PTP4A2	-0.96175
OR4M2	0.0515
HPCA	-0.286
SEC14L1	-0.648666666666667
CHFR	0.51975
EMILIN1	1.042625
NDUFS4	-1.6205
COL18A1	-0.437625
PDZD3	0.1501
C9orf16	0.256833333333333
ERBB2IP	-0.901
EMX2	1.575
FUS	-1.3015
TF	-3.5697
CLCN4	2.04983333333333
CXorf56	-0.628
C11orf72	0.30125
ELAC2	-0.229583333333333
NPR1	-0.90175
ASS1	0.262833333333333
USP42	0.636875
POLR2J	-0.3075
SEC23IP	-0.322666666666667
UQCRC1	0.046
LOC729603	-0.341
C1orf71	-0.129875
POLG	-1.639
ADAM23	-4.16975
TFR2	-0.5485
RICTOR	-1.374
MGC39606	1.24025
C19orf55	-0.23525
SNAPC1	-1.512
GNA11	0.52
CCDC52	-0.417833333333333
FSIP1	-0.324
UPF3A	-1.219875
IGSF11	-2.3485
LAGE3	0.166
CHST6	1.895
UNC13B	0.561375
TTLL4	0.537875
ZNF687	0.591571428571429
SDC2	1.5123
COX7A2	-0.713
LAMB4	-0.11175
FAM24A	0.195
LRRTM3	-0.470833333333333
GPHB5	0.3055
OR4C13	0.1415
EIF3EIP	0.498285714285714
HABP4	-0.563
TMEM125	4.0505
CNTN2	0.436875
ASNSD1	-0.6525
FUT4	0.7535
ACF	-4.04075
LOC158381	-0.0455
CDH8	-0.157
AGPS	-2.01033333333333
C4orf18	-0.2305
PECI	-3.55033333333333
UNG	-0.438875
GSTP1	0.263625
DCUN1D5	-0.206
DKFZP564J0863	-0.52725
SLC9A3R1	1.276125
BCDO2	-0.82125
CHMP7	-0.294875
REM2	0.3825
DNHD1	-0.146375
FKBP4	0.076625
ZNF350	-0.49725
MGC11102	0.234875
BST1	0.0395
KISS1R	0.564
NCR2	0.393
DEFB125	-0.2895
UBE2W	1.392375
KRT15	3.37575
C10orf99	0.957
SCN11A	0.01275
GFI1	-3.538
RDHE2	-0.362166666666667
FHL1	-2.55833333333333
OSGEP	-1.07183333333333
GATA1	-3.668
SMC6	-0.094
TTTY14	-1.37075
LPIN3	0.21425
RPL4	-0.1631
RBPMS	-0.3862
PRPF3	0.416333333333333
EMR1	-2.185
SPATA19	0.00549999999999998
XCR1	0.7195
